missing_rate,method_name,method_label,Has0_acc_2,Has0_F1_score,Non0_acc_2,Non0_F1_score,Mult_acc_5,Mult_acc_7,MAE,Corr,Loss
0.0,text,text + legacy LTE,0.7181000000000001,0.7109000000000001,0.7897,0.7896,0.552,0.5361,0.5408,0.7548999999999999,0.5406
0.0,dynamic_rule,dynamic missing + rule router + legacy LTE,0.7820999999999999,0.7764,0.8305,0.831,0.5552,0.5357,0.544,0.7518,0.5437
0.0,text_mstcn,text + MSTCN,0.8039000000000001,0.7988,0.8436,0.8440000000000001,0.5546,0.5379999999999999,0.5329,0.7592,0.5327000000000001
0.0,dynamic_lte_mstcn,dynamic missing + LTE MSTCN + rule router,0.7551000000000001,0.7478,0.8165,0.8162,0.5502,0.5336,0.5462,0.752,0.5459
0.1,text,text + legacy LTE,0.8222,0.8406,0.7875,0.8087000000000001,0.5274,0.5149,0.5903,0.7121,0.5902000000000001
0.1,dynamic_rule,dynamic missing + rule router + legacy LTE,0.8151,0.813,0.8337,0.8359000000000001,0.5158,0.5035000000000001,0.5908,0.7111,0.5904
0.1,text_mstcn,text + MSTCN,0.7535,0.7434000000000001,0.8148000000000001,0.8131,0.5211,0.5032,0.594,0.7095999999999999,0.5939
0.1,dynamic_lte_mstcn,dynamic missing + LTE MSTCN + rule router,0.7805,0.7736,0.8259000000000001,0.8259000000000001,0.5256000000000001,0.5065,0.5856,0.7272,0.5858
0.15,text,text + legacy LTE,,,,,,,,,
0.15,dynamic_rule,dynamic missing + rule router + legacy LTE,,,,,,,,,
0.15,text_mstcn,text + MSTCN,,,,,,,,,
0.15,dynamic_lte_mstcn,dynamic missing + LTE MSTCN + rule router,,,,,,,,,
0.2,text,text + legacy LTE,0.8120999999999999,0.8143,0.8151999999999999,0.8212999999999999,0.5283,0.5114,0.6011,0.6918000000000001,0.6008
0.2,dynamic_rule,dynamic missing + rule router + legacy LTE,0.736,0.7333,0.7787999999999999,0.7842,0.5193,0.5093,0.6019,0.6806,0.6015999999999999
