curve,metric,interval,auilc,better_direction
text,Mult_acc_5,0.0_0.6,0.303495,higher
text,Mult_acc_5,0.1_0.6,0.249525,higher
text,Mult_acc_7,0.0_0.6,0.29653499999999994,higher
text,Mult_acc_7,0.1_0.6,0.24398499999999998,higher
text,MAE,0.0_0.6,0.37686,lower
text,MAE,0.1_0.6,0.320305,lower
text,Corr,0.0_0.6,0.39136499999999996,higher
text,Corr,0.1_0.6,0.318015,higher
text_mstcn,Mult_acc_5,0.0_0.6,0.30448,higher
text_mstcn,Mult_acc_5,0.1_0.6,0.250695,higher
text_mstcn,Mult_acc_7,0.0_0.6,0.29694,higher
text_mstcn,Mult_acc_7,0.1_0.6,0.24488,higher
text_mstcn,MAE,0.0_0.6,0.37610999999999994,lower
text_mstcn,MAE,0.1_0.6,0.31976499999999997,lower
text_mstcn,Corr,0.0_0.6,0.38752999999999993,higher
text_mstcn,Corr,0.1_0.6,0.31409,higher
dynamic_rule,Mult_acc_5,0.0_0.6,0.302125,higher
dynamic_rule,Mult_acc_5,0.1_0.6,0.24857499999999993,higher
dynamic_rule,Mult_acc_7,0.0_0.6,0.29472999999999994,higher
dynamic_rule,Mult_acc_7,0.1_0.6,0.24276999999999996,higher
dynamic_rule,MAE,0.0_0.6,0.378905,lower
dynamic_rule,MAE,0.1_0.6,0.322165,lower
dynamic_rule,Corr,0.0_0.6,0.38623999999999997,higher
dynamic_rule,Corr,0.1_0.6,0.313095,higher
dynamic_lte_mstcn,Mult_acc_5,0.0_0.6,0.30046,higher
dynamic_lte_mstcn,Mult_acc_5,0.1_0.6,0.24667,higher
dynamic_lte_mstcn,Mult_acc_7,0.0_0.6,0.29324,higher
dynamic_lte_mstcn,Mult_acc_7,0.1_0.6,0.24123499999999998,higher
dynamic_lte_mstcn,MAE,0.0_0.6,0.37901999999999997,lower
dynamic_lte_mstcn,MAE,0.1_0.6,0.32243,lower
dynamic_lte_mstcn,Corr,0.0_0.6,0.390785,higher
dynamic_lte_mstcn,Corr,0.1_0.6,0.31682499999999997,higher
oracle_best_point,Mult_acc_5,0.0_0.6,0.30553499999999995,higher
oracle_best_point,Mult_acc_5,0.1_0.6,0.251405,higher
oracle_best_point,Mult_acc_7,0.0_0.6,0.298535,higher
oracle_best_point,Mult_acc_7,0.1_0.6,0.24589,higher
oracle_best_point,MAE,0.0_0.6,0.37475,lower
oracle_best_point,MAE,0.1_0.6,0.31859,lower
oracle_best_point,Corr,0.0_0.6,0.39158,higher
oracle_best_point,Corr,0.1_0.6,0.318015,higher
regime_policy,Mult_acc_5,0.0_0.6,0.30398000000000003,higher
regime_policy,Mult_acc_5,0.1_0.6,0.25043,higher
regime_policy,Mult_acc_7,0.0_0.6,0.296855,higher
regime_policy,Mult_acc_7,0.1_0.6,0.24489499999999997,higher
regime_policy,MAE,0.0_0.6,0.37634499999999993,lower
regime_policy,MAE,0.1_0.6,0.3196049999999999,lower
regime_policy,Corr,0.0_0.6,0.38731,higher
regime_policy,Corr,0.1_0.6,0.31416499999999997,higher
