missing_rate,selected_method,selected_slug,Has0_acc_2,Has0_F1_score,Non0_acc_2,Non0_F1_score,Mult_acc_5,Mult_acc_7,MAE,Corr,Loss
0.0,dynamic_rule,dynamic_missing_router_rule,0.7820999999999999,0.7764,0.8305,0.831,0.5552,0.5357,0.544,0.7518,0.5437
0.1,text,text,0.8222,0.8406,0.7875,0.8087000000000001,0.5274,0.5149,0.5903,0.7121,0.5902000000000001
0.15,text,text,0.6777,0.6640999999999999,0.7702,0.7666,0.5329999999999999,0.5197999999999999,0.5848,0.6958,0.5844
0.2,text,text,0.8120999999999999,0.8143,0.8151999999999999,0.8212999999999999,0.5283,0.5114,0.6011,0.6918000000000001,0.6008
0.25,text,text,0.7343000000000001,0.7243999999999999,0.7929,0.7918000000000001,0.5234000000000001,0.511,0.6076,0.6694,0.607
0.3,text,text,0.7532,0.7501000000000001,0.7867000000000001,0.7896,0.5105,0.4961,0.6286,0.6572,0.6279
0.35,text,text,0.7757999999999999,0.7766,0.7866,0.7934,0.49770000000000003,0.4865,0.636,0.6343,0.6357
0.4,text,text,0.7276,0.7164,0.7802,0.7784,0.48969999999999997,0.4817,0.645,0.6291,0.6444
0.45,text,text,0.7548,0.7622,0.7572,0.7713,0.48619999999999997,0.47850000000000004,0.6633,0.5887,0.6629
0.5,text,text,0.7783,0.7837000000000001,0.7714,0.782,0.478,0.4707,0.6768000000000001,0.5769,0.6766
0.55,text,text,0.722,0.7181000000000001,0.7464,0.7508,0.4654,0.45439999999999997,0.7098,0.5486,0.7098
0.6,text,text,0.6731,0.6648999999999999,0.7182,0.7189,0.4501,0.445,0.7128,0.5382,0.7121
