method_name,metric,r_lo,r_hi,slope
text,Has0_acc_2,0.0,0.1,1.0409999999999997
text,Has0_acc_2,0.1,0.15,
text,Has0_acc_2,0.15,0.2,
text,Has0_acc_2,0.2,0.25,
text,Has0_acc_2,0.25,0.3,
text,Has0_acc_2,0.3,0.35,
text,Has0_acc_2,0.35,0.4,
text,Has0_acc_2,0.4,0.45,
text,Has0_acc_2,0.45,0.5,
text,Has0_acc_2,0.5,0.55,
text,Has0_acc_2,0.55,0.6,
text,Has0_F1_score,0.0,0.1,1.2969999999999993
text,Has0_F1_score,0.1,0.15,
text,Has0_F1_score,0.15,0.2,
text,Has0_F1_score,0.2,0.25,
text,Has0_F1_score,0.25,0.3,
text,Has0_F1_score,0.3,0.35,
text,Has0_F1_score,0.35,0.4,
text,Has0_F1_score,0.4,0.45,
text,Has0_F1_score,0.45,0.5,
text,Has0_F1_score,0.5,0.55,
text,Has0_F1_score,0.55,0.6,
text,Non0_acc_2,0.0,0.1,-0.021999999999999797
text,Non0_acc_2,0.1,0.15,
text,Non0_acc_2,0.15,0.2,
text,Non0_acc_2,0.2,0.25,
text,Non0_acc_2,0.25,0.3,
text,Non0_acc_2,0.3,0.35,
text,Non0_acc_2,0.35,0.4,
text,Non0_acc_2,0.4,0.45,
text,Non0_acc_2,0.45,0.5,
text,Non0_acc_2,0.5,0.55,
text,Non0_acc_2,0.55,0.6,
text,Non0_F1_score,0.0,0.1,0.19100000000000117
text,Non0_F1_score,0.1,0.15,
text,Non0_F1_score,0.15,0.2,
text,Non0_F1_score,0.2,0.25,
text,Non0_F1_score,0.25,0.3,
text,Non0_F1_score,0.3,0.35,
text,Non0_F1_score,0.35,0.4,
text,Non0_F1_score,0.4,0.45,
text,Non0_F1_score,0.45,0.5,
text,Non0_F1_score,0.5,0.55,
text,Non0_F1_score,0.55,0.6,
text,Mult_acc_5,0.0,0.1,-0.24600000000000066
text,Mult_acc_5,0.1,0.15,
text,Mult_acc_5,0.15,0.2,
text,Mult_acc_5,0.2,0.25,
text,Mult_acc_5,0.25,0.3,
text,Mult_acc_5,0.3,0.35,
text,Mult_acc_5,0.35,0.4,
text,Mult_acc_5,0.4,0.45,
text,Mult_acc_5,0.45,0.5,
text,Mult_acc_5,0.5,0.55,
text,Mult_acc_5,0.55,0.6,
text,Mult_acc_7,0.0,0.1,-0.21199999999999997
text,Mult_acc_7,0.1,0.15,
text,Mult_acc_7,0.15,0.2,
text,Mult_acc_7,0.2,0.25,
text,Mult_acc_7,0.25,0.3,
text,Mult_acc_7,0.3,0.35,
text,Mult_acc_7,0.35,0.4,
text,Mult_acc_7,0.4,0.45,
text,Mult_acc_7,0.45,0.5,
text,Mult_acc_7,0.5,0.55,
text,Mult_acc_7,0.55,0.6,
text,MAE,0.0,0.1,0.495000000000001
text,MAE,0.1,0.15,
text,MAE,0.15,0.2,
text,MAE,0.2,0.25,
text,MAE,0.25,0.3,
text,MAE,0.3,0.35,
text,MAE,0.35,0.4,
text,MAE,0.4,0.45,
text,MAE,0.45,0.5,
text,MAE,0.5,0.55,
text,MAE,0.55,0.6,
text,Corr,0.0,0.1,-0.4279999999999995
text,Corr,0.1,0.15,
text,Corr,0.15,0.2,
text,Corr,0.2,0.25,
text,Corr,0.25,0.3,
text,Corr,0.3,0.35,
text,Corr,0.35,0.4,
text,Corr,0.4,0.45,
text,Corr,0.45,0.5,
text,Corr,0.5,0.55,
text,Corr,0.55,0.6,
