missing_rate,method_name,method_label,Has0_acc_2,Has0_F1_score,Non0_acc_2,Non0_F1_score,Mult_acc_5,Mult_acc_7,MAE,Corr,Loss
0.0,text,text + legacy LTE,0.8205625,0.8217,0.8363875000000001,0.8368249999999999,0.478775,0.4219625,0.7771750000000001,0.78545,0.775025
0.0,dynamic_rule,dynamic missing + rule router + legacy LTE,0.8155333333333333,0.8169999999999998,0.8326666666666668,0.8333333333333334,0.4784333333333333,0.41866666666666674,0.7841666666666667,0.7830333333333334,0.7806666666666665
0.0,text_mstcn,text + MSTCN,0.8256,0.8255,0.8359000000000001,0.8353,0.49560000000000004,0.4291,0.753,0.7857,0.75
0.0,dynamic_lte_mstcn,dynamic missing + LTE MSTCN + rule router,0.8192,0.8212,0.8359000000000001,0.8369,0.4966,0.43200000000000005,0.7589,0.7851,0.7559
0.1,text,text + legacy LTE,0.7815,0.7835000000000001,0.7967666666666666,0.7977333333333334,0.4326666666666667,0.3572666666666667,0.9189333333333334,0.7031666666666667,0.9157333333333333
0.1,dynamic_rule,dynamic missing + rule router + legacy LTE,0.7936666666666667,0.7959,0.8133333333333331,0.8146333333333332,0.4491666666666667,0.37316666666666665,0.8809333333333335,0.7295666666666666,0.8774666666666667
0.1,text_mstcn,text + MSTCN,0.7929999999999999,0.7948999999999999,0.8134999999999999,0.8144,0.3804,0.34600000000000003,0.882,0.7321,0.8776999999999999
0.1,dynamic_lte_mstcn,dynamic missing + LTE MSTCN + rule router,0.7901,0.7925,0.8084,0.8099,0.42560000000000003,0.36979999999999996,0.8876000000000001,0.725,0.883
0.15,text,text + legacy LTE,0.7852,0.7868999999999999,0.8023,0.8031,0.41350000000000003,0.3508,0.9127,0.6962,0.9074
0.15,dynamic_rule,dynamic missing + rule router + legacy LTE,0.7794,0.7801,0.7927,0.7927,0.4213,0.3518,0.9651000000000001,0.6793,0.961
0.15,text_mstcn,text + MSTCN,0.7736,0.778,0.7912,0.7943000000000001,0.40869999999999995,0.3396,0.929,0.6873999999999999,0.9240999999999999
0.15,dynamic_lte_mstcn,dynamic missing + LTE MSTCN + rule router,,,,,,,,,
0.2,text,text + legacy LTE,0.7361499999999999,0.7438499999999999,0.7446499999999999,0.7513999999999998,0.3331,0.30445,1.05,0.66405,1.0456500000000002
0.2,dynamic_rule,dynamic missing + rule router + legacy LTE,0.7560499999999999,0.7571,0.76725,0.7674000000000001,0.38534999999999997,0.34065,0.9864999999999999,0.6632,0.9817499999999999
0.2,text_mstcn,text + MSTCN,0.7541,0.7548,0.7663,0.7661,0.3625,0.3246,0.9847,0.6563,0.9798
0.2,dynamic_lte_mstcn,dynamic missing + LTE MSTCN + rule router,0.7493000000000001,0.7501000000000001,0.7551000000000001,0.7548999999999999,0.3435,0.3081,1.0536,0.6725,1.0511
0.25,text,text + legacy LTE,0.7498,0.7513,0.7626999999999999,0.7633,0.3873,0.34450000000000003,0.9670000000000001,0.6404000000000001,0.9601000000000001
0.25,dynamic_rule,dynamic missing + rule router + legacy LTE,0.7551000000000001,0.7559999999999999,0.7631999999999999,0.7631999999999999,0.3761,0.3153,1.0226,0.6403,1.0186
0.25,text_mstcn,text + MSTCN,0.7605,0.7622,0.7768999999999999,0.7777,0.3664,0.33039999999999997,0.9758,0.6441,0.9698
0.25,dynamic_lte_mstcn,dynamic missing + LTE MSTCN + rule router,,,,,,,,,
0.3,text,text + legacy LTE,0.7165333333333334,0.7265,0.7203666666666667,0.7292000000000001,0.3236666666666667,0.28896666666666665,1.0875666666666668,0.5717,1.0803666666666667
0.3,dynamic_rule,dynamic missing + rule router + legacy LTE,0.7120333333333333,0.7172000000000001,0.7145666666666667,0.7183,0.3213333333333333,0.2917,1.0866,0.5989333333333334,1.0794666666666666
0.3,text_mstcn,text + MSTCN,0.7395999999999999,0.7414000000000001,0.7561,0.7569,0.4082,0.3644,0.9721,0.621,0.965
0.3,dynamic_lte_mstcn,dynamic missing + LTE MSTCN + rule router,0.7371,0.7421,0.7556,0.7593000000000001,0.3576,0.3226,0.9897,0.6178,0.9819
0.35,text,text + legacy LTE,0.7279000000000001,0.7293999999999999,0.7358,0.7363,0.3134,0.292,1.0856000000000001,0.5646,1.0768
0.35,dynamic_rule,dynamic missing + rule router + legacy LTE,0.7356999999999999,0.7356,0.7459,0.7451000000000001,0.3037,0.2808,1.07,0.5710999999999999,1.0626
0.35,text_mstcn,text + MSTCN,0.7187,0.7208,0.7276,0.7288,0.30269999999999997,0.2813,1.0967,0.5594,1.089
0.35,dynamic_lte_mstcn,dynamic missing + LTE MSTCN + rule router,,,,,,,,,
0.4,text,text + legacy LTE,0.70455,0.7055,0.7085999999999999,0.70845,0.26725,0.25025,1.1717,0.51295,1.16385
0.4,dynamic_rule,dynamic missing + rule router + legacy LTE,0.69725,0.7015,0.70655,0.7095,0.28425,0.26315,1.1452,0.51775,1.13755
0.4,text_mstcn,text + MSTCN,0.7036,0.7040000000000001,0.7073,0.7066,0.3178,0.29059999999999997,1.1356,0.5423,1.1265
0.4,dynamic_lte_mstcn,dynamic missing + LTE MSTCN + rule router,0.6992,0.7021999999999999,0.6997,0.7012999999999999,0.2959,0.2721,1.2285,0.5146000000000001,1.2207
0.45,text,text + legacy LTE,0.7153,0.7162999999999999,0.7251000000000001,0.7253000000000001,0.275,0.258,1.1525,0.48719999999999997,1.1452
0.45,dynamic_rule,dynamic missing + rule router + legacy LTE,0.7128,0.7139,0.7236,0.7237,0.2847,0.2716,1.1287,0.5138,1.1211
0.45,text_mstcn,text + MSTCN,0.6866,0.6886,0.6915,0.6923999999999999,0.2862,0.2663,1.1508,0.5084000000000001,1.1416
0.45,dynamic_lte_mstcn,dynamic missing + LTE MSTCN + rule router,,,,,,,,,
0.5,text,text + legacy LTE,0.6239,0.6502333333333333,0.6229666666666667,0.6483666666666666,0.2342,0.22516666666666665,1.2995,0.4462,1.2918666666666665
0.5,dynamic_rule,dynamic missing + rule router + legacy LTE,0.6678000000000001,0.6823666666666667,0.6737666666666667,0.6864666666666667,0.25716666666666665,0.2455333333333333,1.2161666666666666,0.4333,1.2085666666666668
0.5,text_mstcn,text + MSTCN,0.6453,0.6556000000000001,0.6433,0.6523,0.2415,0.2274,1.3088,0.4606,1.3003
0.5,dynamic_lte_mstcn,dynamic missing + LTE MSTCN + rule router,0.7012,0.7019,0.7048000000000001,0.7045,0.2731,0.25120000000000003,1.1658,0.4849,1.1574
0.55,text,text + legacy LTE,0.6565000000000001,0.6626000000000001,0.6631,0.6679,0.2532,0.2473,1.2322,0.4122,1.2258
0.55,dynamic_rule,dynamic missing + rule router + legacy LTE,0.6559999999999999,0.657,0.6611,0.6609999999999999,0.26039999999999996,0.2527,1.2126000000000001,0.3995,1.2045000000000001
0.55,text_mstcn,text + MSTCN,0.6701,0.67,0.6773,0.6761,0.2809,0.2565,1.2326000000000001,0.43079999999999996,1.2244
0.55,dynamic_lte_mstcn,dynamic missing + LTE MSTCN + rule router,,,,,,,,,
0.6,text,text + legacy LTE,0.64625,0.6487999999999999,0.6541999999999999,0.6556500000000001,0.25095,0.24345,1.2534999999999998,0.37760000000000005,1.24745
0.6,dynamic_rule,dynamic missing + rule router + legacy LTE,0.63895,0.639,0.6456,0.64445,0.2349,0.22405000000000003,1.2864,0.3619,1.2803499999999999
0.6,text_mstcn,text + MSTCN,0.5922999999999999,0.6492,0.5864,0.6428,0.2284,0.2206,1.3037,0.2725,1.2983000000000002
0.6,dynamic_lte_mstcn,dynamic missing + LTE MSTCN + rule router,0.637,0.6412,0.6437999999999999,0.6469,0.24,0.23129999999999998,1.2687,0.36200000000000004,1.2622
