missing_rate,best_method_name,note,Mult_acc_7,MAE,Corr
0.0,text_mstcn,Mult_acc_7=0.429100,0.4291,0.753,0.7857
0.1,dynamic_rule,Mult_acc_7=0.373167,0.37316666666666665,0.8809333333333335,0.7295666666666666
0.15,text,Mult_acc_7=0.351800; tie-break within ±0.002 using MAE then Corr,0.3508,0.9127,0.6962
0.2,dynamic_rule,Mult_acc_7=0.340650,0.34065,0.9864999999999999,0.6632
0.25,text,Mult_acc_7=0.344500,0.34450000000000003,0.9670000000000001,0.6404000000000001
0.3,text_mstcn,Mult_acc_7=0.364400,0.3644,0.9721,0.621
0.35,text,Mult_acc_7=0.292000,0.292,1.0856000000000001,0.5646
0.4,text_mstcn,Mult_acc_7=0.290600,0.29059999999999997,1.1356,0.5423
0.45,dynamic_rule,Mult_acc_7=0.271600,0.2716,1.1287,0.5138
0.5,dynamic_rule,Mult_acc_7=0.245533,0.2455333333333333,1.2161666666666666,0.4333
0.55,text_mstcn,Mult_acc_7=0.256500,0.2565,1.2326000000000001,0.43079999999999996
0.6,text,Mult_acc_7=0.243450,0.24345,1.2534999999999998,0.37760000000000005
