curve,metric,interval,auilc,better_direction
text,Mult_acc_5,0.0_0.6,0.20269333333333334,higher
text,Mult_acc_5,0.1_0.6,0.15712125,higher
text,Mult_acc_7,0.0_0.6,0.18205104166666666,higher
text,Mult_acc_7,0.1_0.6,0.14308958333333333,higher
text,MAE,0.0_0.6,0.6370545833333334,lower
text,MAE,0.1_0.6,0.5522491666666667,lower
text,Corr,0.0_0.6,0.351225,higher
text,Corr,0.1_0.6,0.2767941666666666,higher
text_mstcn,Mult_acc_5,0.0_0.6,0.20776499999999998,higher
text_mstcn,Mult_acc_5,0.1_0.6,0.163965,higher
text_mstcn,Mult_acc_7,0.0_0.6,0.186975,higher
text_mstcn,Mult_acc_7,0.1_0.6,0.14821999999999996,higher
text_mstcn,MAE,0.0_0.6,0.6256975,lower
text_mstcn,MAE,0.1_0.6,0.5439475,lower
text_mstcn,Corr,0.0_0.6,0.35652,higher
text_mstcn,Corr,0.1_0.6,0.28063,higher
dynamic_rule,Mult_acc_5,0.0_0.6,0.20819666666666667,higher
dynamic_rule,Mult_acc_5,0.1_0.6,0.16181666666666666,higher
dynamic_rule,Mult_acc_7,0.0_0.6,0.18518374999999998,higher
dynamic_rule,Mult_acc_7,0.1_0.6,0.14559208333333332,higher
dynamic_rule,MAE,0.0_0.6,0.6291116666666667,lower
dynamic_rule,MAE,0.1_0.6,0.5458566666666667,lower
dynamic_rule,Corr,0.0_0.6,0.35377583333333334,higher
dynamic_rule,Corr,0.1_0.6,0.2781458333333333,higher
dynamic_lte_mstcn,Mult_acc_5,0.0_0.6,0.2064,higher
dynamic_lte_mstcn,Mult_acc_5,0.1_0.6,0.16029,higher
dynamic_lte_mstcn,Mult_acc_7,0.0_0.6,0.18554500000000002,higher
dynamic_lte_mstcn,Mult_acc_7,0.1_0.6,0.145455,higher
dynamic_lte_mstcn,MAE,0.0_0.6,0.6339,lower
dynamic_lte_mstcn,MAE,0.1_0.6,0.5515749999999999,lower
dynamic_lte_mstcn,Corr,0.0_0.6,0.35883499999999996,higher
dynamic_lte_mstcn,Corr,0.1_0.6,0.28333,higher
oracle_best_point,Mult_acc_5,0.0_0.6,0.21762208333333333,higher
oracle_best_point,Mult_acc_5,0.1_0.6,0.17038374999999997,higher
oracle_best_point,Mult_acc_7,0.0_0.6,0.19340791666666665,higher
oracle_best_point,Mult_acc_7,0.1_0.6,0.15329458333333332,higher
oracle_best_point,MAE,0.0_0.6,0.6150358333333332,lower
oracle_best_point,MAE,0.1_0.6,0.5333391666666667,lower
oracle_best_point,Corr,0.0_0.6,0.36082999999999993,higher
oracle_best_point,Corr,0.1_0.6,0.28493999999999997,higher
regime_policy,Mult_acc_5,0.0_0.6,0.21440041666666668,higher
regime_policy,Mult_acc_5,0.1_0.6,0.16802041666666667,higher
regime_policy,Mult_acc_7,0.0_0.6,0.19047458333333334,higher
regime_policy,Mult_acc_7,0.1_0.6,0.15088291666666664,higher
regime_policy,MAE,0.0_0.6,0.6278158333333334,lower
regime_policy,MAE,0.1_0.6,0.5445608333333333,lower
regime_policy,Corr,0.0_0.6,0.3587641666666666,higher
regime_policy,Corr,0.1_0.6,0.2831341666666666,higher
