missing_rate,selected_method,selected_slug,Has0_acc_2,Has0_F1_score,Non0_acc_2,Non0_F1_score,Mult_acc_5,Mult_acc_7,MAE,Corr,Loss
0.0,dynamic_rule,dynamic_missing_router_rule,0.8155333333333333,0.8169999999999998,0.8326666666666668,0.8333333333333334,0.4784333333333333,0.41866666666666674,0.7841666666666667,0.7830333333333334,0.7806666666666665
0.1,dynamic_rule,dynamic_missing_router_rule,0.7936666666666667,0.7959,0.8133333333333331,0.8146333333333332,0.4491666666666667,0.37316666666666665,0.8809333333333335,0.7295666666666666,0.8774666666666667
0.15,dynamic_rule,dynamic_missing_router_rule,0.7794,0.7801,0.7927,0.7927,0.4213,0.3518,0.9651000000000001,0.6793,0.961
0.2,dynamic_rule,dynamic_missing_router_rule,0.7560499999999999,0.7571,0.76725,0.7674000000000001,0.38534999999999997,0.34065,0.9864999999999999,0.6632,0.9817499999999999
0.25,text_mstcn,text_lte_mstcn,0.7605,0.7622,0.7768999999999999,0.7777,0.3664,0.33039999999999997,0.9758,0.6441,0.9698
0.3,text_mstcn,text_lte_mstcn,0.7395999999999999,0.7414000000000001,0.7561,0.7569,0.4082,0.3644,0.9721,0.621,0.965
0.35,text_mstcn,text_lte_mstcn,0.7187,0.7208,0.7276,0.7288,0.30269999999999997,0.2813,1.0967,0.5594,1.089
0.4,text_mstcn,text_lte_mstcn,0.7036,0.7040000000000001,0.7073,0.7066,0.3178,0.29059999999999997,1.1356,0.5423,1.1265
0.45,text_mstcn,text_lte_mstcn,0.6866,0.6886,0.6915,0.6923999999999999,0.2862,0.2663,1.1508,0.5084000000000001,1.1416
0.5,text_mstcn,text_lte_mstcn,0.6453,0.6556000000000001,0.6433,0.6523,0.2415,0.2274,1.3088,0.4606,1.3003
0.55,text_mstcn,text_lte_mstcn,0.6701,0.67,0.6773,0.6761,0.2809,0.2565,1.2326000000000001,0.43079999999999996,1.2244
0.6,text,text,0.64625,0.6487999999999999,0.6541999999999999,0.6556500000000001,0.25095,0.24345,1.2534999999999998,0.37760000000000005,1.24745
