method_name,metric,r_lo,r_hi,slope
text,Has0_acc_2,0.0,0.1,-0.390625
text,Has0_acc_2,0.1,0.15,0.07400000000000075
text,Has0_acc_2,0.15,0.2,-0.9810000000000026
text,Has0_acc_2,0.2,0.25,0.2730000000000033
text,Has0_acc_2,0.25,0.3,-0.6653333333333334
text,Has0_acc_2,0.3,0.35,0.227333333333335
text,Has0_acc_2,0.35,0.4,-0.46700000000000147
text,Has0_acc_2,0.4,0.45,0.2150000000000008
text,Has0_acc_2,0.45,0.5,-1.8280000000000012
text,Has0_acc_2,0.5,0.55,0.6520000000000009
text,Has0_acc_2,0.55,0.6,-0.20500000000000212
text,Has0_F1_score,0.0,0.1,-0.381999999999999
text,Has0_F1_score,0.1,0.15,0.06799999999999697
text,Has0_F1_score,0.15,0.2,-0.8610000000000003
text,Has0_F1_score,0.2,0.25,0.14900000000000138
text,Has0_F1_score,0.25,0.3,-0.4959999999999988
text,Has0_F1_score,0.3,0.35,0.05799999999999807
text,Has0_F1_score,0.35,0.4,-0.477999999999998
text,Has0_F1_score,0.4,0.45,0.21599999999999847
text,Has0_F1_score,0.45,0.5,-1.3213333333333324
text,Has0_F1_score,0.5,0.55,0.24733333333333474
text,Has0_F1_score,0.55,0.6,-0.2760000000000033
text,Non0_acc_2,0.0,0.1,-0.3962083333333344
text,Non0_acc_2,0.1,0.15,0.11066666666666783
text,Non0_acc_2,0.15,0.2,-1.1530000000000014
text,Non0_acc_2,0.2,0.25,0.36100000000000027
text,Non0_acc_2,0.25,0.3,-0.8466666666666647
text,Non0_acc_2,0.3,0.35,0.30866666666666603
text,Non0_acc_2,0.35,0.4,-0.5440000000000018
text,Non0_acc_2,0.4,0.45,0.3300000000000037
text,Non0_acc_2,0.45,0.5,-2.0426666666666686
text,Non0_acc_2,0.5,0.55,0.8026666666666664
text,Non0_acc_2,0.55,0.6,-0.17800000000000285
text,Non0_F1_score,0.0,0.1,-0.39091666666666525
text,Non0_F1_score,0.1,0.15,0.10733333333333264
text,Non0_F1_score,0.15,0.2,-1.0340000000000034
text,Non0_F1_score,0.2,0.25,0.2380000000000027
text,Non0_F1_score,0.25,0.3,-0.6819999999999983
text,Non0_F1_score,0.3,0.35,0.1419999999999977
text,Non0_F1_score,0.35,0.4,-0.5569999999999982
text,Non0_F1_score,0.4,0.45,0.3370000000000007
text,Non0_F1_score,0.45,0.5,-1.5386666666666686
text,Non0_F1_score,0.5,0.55,0.3906666666666677
text,Non0_F1_score,0.55,0.6,-0.245
text,Mult_acc_5,0.0,0.1,-0.46108333333333307
text,Mult_acc_5,0.1,0.15,-0.3833333333333334
text,Mult_acc_5,0.15,0.2,-1.608
text,Mult_acc_5,0.2,0.25,1.0839999999999996
text,Mult_acc_5,0.25,0.3,-1.2726666666666655
text,Mult_acc_5,0.3,0.35,-0.2053333333333341
text,Mult_acc_5,0.35,0.4,-0.9229999999999997
text,Mult_acc_5,0.4,0.45,0.15500000000000072
text,Mult_acc_5,0.45,0.5,-0.8160000000000008
text,Mult_acc_5,0.5,0.55,0.37999999999999945
text,Mult_acc_5,0.55,0.6,-0.04499999999999955
text,Mult_acc_7,0.0,0.1,-0.6469583333333334
text,Mult_acc_7,0.1,0.15,-0.12933333333333355
text,Mult_acc_7,0.15,0.2,-0.9269999999999997
text,Mult_acc_7,0.2,0.25,0.8010000000000008
text,Mult_acc_7,0.25,0.3,-1.1106666666666678
text,Mult_acc_7,0.3,0.35,0.06066666666666666
text,Mult_acc_7,0.35,0.4,-0.8349999999999994
text,Mult_acc_7,0.4,0.45,0.15500000000000072
text,Mult_acc_7,0.45,0.5,-0.6566666666666672
text,Mult_acc_7,0.5,0.55,0.4426666666666664
text,Mult_acc_7,0.55,0.6,-0.07699999999999994
text,MAE,0.0,0.1,1.4175833333333332
text,MAE,0.1,0.15,-0.12466666666666851
text,MAE,0.15,0.2,2.746000000000001
text,MAE,0.2,0.25,-1.6599999999999997
text,MAE,0.25,0.3,2.4113333333333347
text,MAE,0.3,0.35,-0.03933333333333345
text,MAE,0.35,0.4,1.7219999999999953
text,MAE,0.4,0.45,-0.3839999999999978
text,MAE,0.45,0.5,2.940000000000001
text,MAE,0.5,0.55,-1.3460000000000016
text,MAE,0.55,0.6,0.42599999999999805
text,Corr,0.0,0.1,-0.8228333333333326
text,Corr,0.1,0.15,-0.13933333333333356
text,Corr,0.15,0.2,-0.643
text,Corr,0.2,0.25,-0.4729999999999991
text,Corr,0.25,0.3,-1.374000000000002
text,Corr,0.3,0.35,-0.14199999999999993
text,Corr,0.35,0.4,-1.0329999999999986
text,Corr,0.4,0.45,-0.5150000000000011
text,Corr,0.45,0.5,-0.8199999999999998
text,Corr,0.5,0.55,-0.6799999999999989
text,Corr,0.55,0.6,-0.6920000000000002
text,Loss,0.0,0.1,1.4070833333333332
text,Loss,0.1,0.15,-0.1666666666666661
text,Loss,0.15,0.2,2.7650000000000032
text,Loss,0.2,0.25,-1.711000000000003
text,Loss,0.25,0.3,2.405333333333333
