index,id,y_true,y_pred,w_text,w_audio,w_vision,selected_anchor,availability_text,availability_audio,availability_vision
205,f9O3YtZ2VfI$_$23,1.600000023841858,0.3256654739379883,1.1940637811846955e-08,0.9999983310699463,1.6413666799053317e-06,audio,0.8333333134651184,0.6666666865348816,0.84375
481,tIrG4oNLFzE$_$2,2.4000000953674316,0.9791454672813416,5.734956953773462e-09,0.999998927116394,1.1165359410370002e-06,audio,0.6363636255264282,0.800000011920929,0.8055555820465088
195,etzxEpPuc6I$_$6,0.4000000059604645,-0.5034534335136414,1.3288947720013766e-08,0.9999983310699463,1.611249217603472e-06,audio,0.8333333134651184,0.7222222089767456,0.8139534592628479
474,tIrG4oNLFzE$_$15,-2.0,0.8780789971351624,9.753591712069465e-09,0.9999988079071045,1.1800316315202508e-06,audio,0.875,0.7746478915214539,0.8095238208770752
550,vvZ4IcEtiZc$_$9,2.200000047683716,1.4104640483856201,1.4195964403995731e-08,0.9999986886978149,1.251269623026019e-06,audio,0.84375,0.8279569745063782,0.7477477192878723
440,phBUpBr1hSo$_$2,2.200000047683716,0.649025022983551,1.54804862262381e-08,0.999998927116394,1.061481270880904e-06,audio,1.0,0.75,0.6666666865348816
126,d6hH302o4v8$_$27,-2.5999999046325684,-1.405552625656128,2.9292113623569094e-08,0.9999978542327881,2.1602525066555245e-06,audio,1.0,0.7777777910232544,0.8181818127632141
297,jUzDDGyPkXU$_$14,0.800000011920929,0.9126179814338684,6.885530812184015e-09,0.9999986886978149,1.3254664281703299e-06,audio,0.6153846383094788,0.75,0.800000011920929
359,lXPQBPVc5Cw$_$16,0.20000000298023224,-1.6492767333984375,1.3188806491370997e-08,0.9999986886978149,1.2756578371408978e-06,audio,0.949999988079071,0.8833333253860474,0.8333333134651184
228,f_pcplsH_V0$_$11,-0.4000000059604645,-2.0501999855041504,1.613655875587483e-08,0.9999983310699463,1.5949764247125131e-06,audio,0.7857142686843872,0.8500000238418579,0.7446808218955994
637,yvsjCA6Y5Fc$_$7,-1.7999999523162842,-2.2501840591430664,2.9621840980098568e-08,0.9999972581863403,2.6938787414110266e-06,audio,0.8999999761581421,0.75,0.8571428656578064
202,f9O3YtZ2VfI$_$20,-0.4000000059604645,-0.729705274105072,1.2596175658075026e-08,0.9999983310699463,1.6320871054631425e-06,audio,0.75,0.6969696879386902,0.7692307829856873
508,tmZoasNr4rU$_$15,0.25,-0.8161401152610779,2.4753852301273582e-08,0.9999974966049194,2.4436594685539603e-06,audio,0.6666666865348816,0.7692307829856873,0.71875
3,c7UH_rxdZv4$_$27,-1.7999999523162842,-1.0770435333251953,9.380616283749532e-09,0.9999988079071045,1.2096488717361353e-06,audio,0.782608687877655,0.800000011920929,0.7886179089546204
430,phBUpBr1hSo$_$12,1.7999999523162842,-0.9253659248352051,1.1281843903532263e-08,0.9999986886978149,1.3105553762216005e-06,audio,0.8399999737739563,0.8266666531562805,0.800000011920929
395,nzpVDcQ0ywM$_$19,-2.0,1.155583143234253,9.876014672727251e-09,0.9999983310699463,1.6243154732364928e-06,audio,0.75,0.6851851940155029,0.875
658,zhpQhgha_KU$_$23,-0.5,-0.8578380942344666,8.196743728206002e-09,0.999998927116394,1.0786661732709035e-06,audio,0.8333333134651184,0.8857142925262451,0.8372092843055725
549,vvZ4IcEtiZc$_$6,1.0,1.4134902954101562,7.426712134162017e-09,0.9999990463256836,8.99295059753058e-07,audio,0.75,0.7887324094772339,0.699999988079071
170,dq3Nf_lMPnE$_$1,0.0,0.6765990853309631,1.1248732612045842e-08,0.9999986886978149,1.3016518778385944e-06,audio,0.9130434989929199,0.7758620977401733,0.8372092843055725
511,tmZoasNr4rU$_$16,-1.399999976158142,-1.736954689025879,1.411822125874096e-08,0.9999984502792358,1.481504455114191e-06,audio,0.8666666746139526,0.875,0.8421052694320679
677,zhpQhgha_KU$_$16,1.7999999523162842,0.9467881917953491,8.062540857167733e-09,0.9999988079071045,1.2428341733539128e-06,audio,0.6875,0.739130437374115,0.7636363506317139
453,rnaNMUZpvvg$_$2,2.25,1.6429533958435059,1.7015345576965046e-08,0.9999985694885254,1.4649442618974717e-06,audio,0.7777777910232544,0.7647058963775635,0.6666666865348816
382,nzpVDcQ0ywM$_$4,-1.600000023841858,-0.9889628291130066,1.0107886971866265e-08,0.9999985694885254,1.3894451740270597e-06,audio,0.7666666507720947,0.8194444179534912,0.8372092843055725
513,tmZoasNr4rU$_$18,0.0,-1.140950322151184,2.2154544865315984e-08,0.9999980926513672,1.922805950016482e-06,audio,0.8888888955116272,0.692307710647583,0.7333333492279053
305,k5Y_838nuGo$_$27,-0.800000011920929,-0.9696019291877747,1.1891480689030232e-08,0.9999986886978149,1.2930405546285328e-06,audio,0.8787878751754761,0.7849462628364563,0.7946428656578064
523,tmZoasNr4rU$_$8,-2.0,-1.9414901733398438,2.4409908760958388e-08,0.9999978542327881,2.071009930659784e-06,audio,1.0,0.75,0.8541666865348816
649,yvsjCA6Y5Fc$_$19,-1.600000023841858,-0.9841288924217224,8.646460436523284e-09,0.9999985694885254,1.477391606385936e-06,audio,0.7272727489471436,0.7924528121948242,0.8888888955116272
330,k5Y_838nuGo$_$18,0.4000000059604645,0.6667788624763489,9.584916860205794e-09,0.9999985694885254,1.378414253849769e-06,audio,0.875,0.8823529481887817,0.8999999761581421
192,etzxEpPuc6I$_$5,0.0,0.31971484422683716,7.236648613684338e-09,0.9999986886978149,1.248020907951286e-06,audio,0.6086956262588501,0.7142857313156128,0.7368420958518982
112,d3_k5Xpfmik$_$1,2.0,1.4812464714050293,1.0621527657406205e-08,0.9999990463256836,9.957232123269932e-07,audio,0.9599999785423279,0.8428571224212646,0.773809552192688
594,wMbj6ajWbic$_$10,-1.7999999523162842,-0.7946666479110718,9.259204070133364e-09,0.9999985694885254,1.4071487157707452e-06,audio,0.7272727489471436,0.7894737124443054,0.8181818127632141
414,pLTX3ipuDJI$_$12,-2.0,-1.161863923072815,1.0237344305608076e-08,0.999998927116394,1.0209859055976267e-06,audio,0.8888888955116272,0.8522727489471436,0.7586206793785095
480,tIrG4oNLFzE$_$3,2.5999999046325684,1.4910342693328857,1.12353495396178e-08,0.9999984502792358,1.4878901311021764e-06,audio,0.8571428656578064,0.6666666865348816,0.8297872543334961
265,iiK8YX8oH1E$_$18,-1.0,-0.916344165802002,8.852213184695756e-09,0.9999984502792358,1.5671280380047392e-06,audio,0.7272727489471436,0.7777777910232544,0.875
578,wMbj6ajWbic$_$20,-0.4000000059604645,-0.0958247035741806,9.421249558272393e-09,0.999998927116394,1.0396882998975343e-06,audio,0.8666666746139526,0.8333333134651184,0.7647058963775635
585,wMbj6ajWbic$_$3,0.0,0.19156016409397125,2.502960327888104e-08,0.9999977350234985,2.2079323116486194e-06,audio,0.8888888955116272,0.5925925970077515,0.75
167,dq3Nf_lMPnE$_$12,-1.600000023841858,-0.5413456559181213,1.632368729076461e-08,0.9999983310699463,1.5988874793038121e-06,audio,1.0,0.7692307829856873,0.8709677457809448
224,f9O3YtZ2VfI$_$16,-1.0,1.2037395238876343,7.981814320601188e-09,0.9999990463256836,9.791068578124396e-07,audio,0.8333333134651184,0.8518518805503845,0.7843137383460999
165,dq3Nf_lMPnE$_$10,1.0,1.2691975831985474,6.165951749181886e-09,0.9999991655349731,8.29407099445234e-07,audio,0.699999988079071,0.84375,0.6842105388641357
311,k5Y_838nuGo$_$29,-0.75,-0.8849158883094788,1.01322479295618e-08,0.9999986886978149,1.355350946141698e-06,audio,0.7333333492279053,0.75,0.7631579041481018
399,ob23OKe5a9Q$_$13,1.25,0.03610392287373543,9.222388186458375e-09,0.999998927116394,1.0811728543558274e-06,audio,0.7647058963775635,0.7692307829856873,0.7096773982048035
419,pLTX3ipuDJI$_$3,-1.2000000476837158,-1.1395256519317627,8.750469682183848e-09,0.9999988079071045,1.1704812550306087e-06,audio,0.695652186870575,0.8679245114326477,0.75
584,wMbj6ajWbic$_$1,0.5,0.6275315284729004,1.2239763869104081e-08,0.9999986886978149,1.3486500165527104e-06,audio,0.8999999761581421,0.8500000238418579,0.8333333134651184
439,phBUpBr1hSo$_$3,2.799999952316284,1.0778625011444092,6.8264918162697086e-09,0.9999990463256836,9.647097840570495e-07,audio,0.7857142686843872,0.8780487775802612,0.795918345451355
562,vyB00TXsimI$_$9,-0.25,-0.16642504930496216,1.1420796752759088e-08,0.9999985694885254,1.4348200920721865e-06,audio,0.800000011920929,0.7058823704719543,0.7749999761581421
307,k5Y_838nuGo$_$21,-0.20000000298023224,-1.6631213426589966,1.0786208370916484e-08,0.9999979734420776,2.0053498701599892e-06,audio,0.6666666865348816,0.8181818127632141,0.9259259104728699
561,vyB00TXsimI$_$6,2.0,0.831079363822937,9.616819340863003e-09,0.999998927116394,1.098884126804478e-06,audio,0.8260869383811951,0.7894737124443054,0.75
495,tStelxIAHjw$_$1,0.0,-0.6495532393455505,1.1210094186253627e-08,0.9999986886978149,1.3187423064664472e-06,audio,0.875,0.782608687877655,0.8192771077156067
445,phBUpBr1hSo$_$9,-2.0,-0.49027150869369507,1.0415925899565082e-08,0.9999986886978149,1.3010785551159643e-06,audio,0.7799999713897705,0.7535211443901062,0.7555555701255798
128,d6hH302o4v8$_$21,-2.4000000953674316,-2.3399481773376465,1.4452446350787795e-08,0.9999984502792358,1.568457378198218e-06,audio,0.8181818127632141,0.8275862336158752,0.8235294222831726
223,f9O3YtZ2VfI$_$17,-2.0,-0.5297344326972961,1.1564930346708024e-08,0.9999990463256836,9.987446674131206e-07,audio,0.9411764740943909,0.7808219194412231,0.719298243522644
564,vyB00TXsimI$_$11,-0.20000000298023224,-0.7229167222976685,1.644453462290585e-08,0.9999985694885254,1.4214807606549584e-06,audio,0.9333333373069763,0.8648648858070374,0.800000011920929
103,d3_k5Xpfmik$_$10,0.4000000059604645,-0.8597486615180969,1.267121785275549e-08,0.9999986886978149,1.3446187949739397e-06,audio,0.9285714030265808,0.800000011920929,0.8311688303947449
349,lXPQBPVc5Cw$_$6,-1.399999976158142,-1.9666225910186768,1.1824350387712457e-08,0.9999983310699463,1.7005254449031781e-06,audio,0.6666666865348816,0.7599999904632568,0.8066666722297668
371,nbWiPyCm4g0$_$9,-1.399999976158142,-1.2926628589630127,1.402826921292899e-08,0.9999982118606567,1.810857497730467e-06,audio,0.6666666865348816,0.8510638475418091,0.8214285969734192
134,d6hH302o4v8$_$41,-2.4000000953674316,-1.880682349205017,1.302364616151408e-08,0.9999986886978149,1.332229999206902e-06,audio,0.875,0.8947368264198303,0.8260869383811951
491,tStelxIAHjw$_$12,-1.0,-0.48920875787734985,1.0674718886605206e-08,0.9999990463256836,9.23009793041274e-07,audio,1.0,0.9655172228813171,0.7941176295280457
133,d6hH302o4v8$_$40,-1.0,-1.8850735425949097,9.360024222360153e-08,0.9999978542327881,2.102167854900472e-06,audio,1.0,1.0,0.5
459,rnaNMUZpvvg$_$8,-1.600000023841858,-1.4330928325653076,1.4023163963372554e-08,0.9999985694885254,1.4008554671818274e-06,audio,0.9090909361839294,0.8275862336158752,0.800000011920929
232,f_pcplsH_V0$_$15,-1.0,-1.7210427522659302,1.5566280708867453e-08,0.9999982118606567,1.7272008108193404e-06,audio,1.0,0.8278688788414001,0.9428571462631226
364,nbWiPyCm4g0$_$1,1.2000000476837158,1.1900931596755981,2.3444799879257516e-08,0.9999978542327881,2.149670763174072e-06,audio,0.8999999761581421,0.78125,0.8461538553237915
623,yDtzw_Y-7RU$_$14,2.200000047683716,1.7548835277557373,8.368634674127406e-09,0.9999988079071045,1.1473824770291685e-06,audio,0.782608687877655,0.8202247023582458,0.7943925261497498
52,cW1FSBF59ik$_$22,-1.0,-0.17735515534877777,1.2226700540907132e-08,0.999998927116394,1.1126064691779902e-06,audio,0.9200000166893005,0.813725471496582,0.737500011920929
365,nbWiPyCm4g0$_$3,-1.7999999523162842,-0.2750750780105591,1.575223151917271e-08,0.9999980926513672,1.9025516166948364e-06,audio,0.75,0.7333333492279053,0.800000011920929
487,tIrG4oNLFzE$_$8,-1.2000000476837158,-0.3074294328689575,8.628391334752905e-09,0.999998927116394,1.0649591786204837e-06,audio,0.7599999904632568,0.8358974456787109,0.75
83,cXypl4FnoZo$_$1,1.0,-0.80510413646698,1.0945903738956986e-08,0.9999988079071045,1.1547537042133627e-06,audio,0.8461538553237915,0.8695651888847351,0.7777777910232544
92,cXypl4FnoZo$_$11,1.399999976158142,-1.3143481016159058,9.789112631608532e-09,0.9999986886978149,1.279815478483215e-06,audio,0.8387096524238586,0.8620689511299133,0.8571428656578064
303,k5Y_838nuGo$_$25,-0.20000000298023224,-1.00197172164917,1.529522108967285e-08,0.9999983310699463,1.6511430658283643e-06,audio,0.8571428656578064,0.7446808218955994,0.8070175647735596
320,k5Y_838nuGo$_$8,-1.399999976158142,-0.7169287204742432,1.8080905661577162e-08,0.9999979734420776,1.9862784483848372e-06,audio,0.8571428656578064,0.800000011920929,0.8333333134651184
458,rnaNMUZpvvg$_$9,-1.399999976158142,-1.4938688278198242,8.319598343575763e-09,0.9999986886978149,1.328378175458056e-06,audio,0.75,0.8275862336158752,0.8550724387168884
64,cW1FSBF59ik$_$10,-1.0,1.3901941776275635,1.3779604124408706e-08,0.9999984502792358,1.5191066040642909e-06,audio,0.8888888955116272,0.7361111044883728,0.8023256063461304
475,tIrG4oNLFzE$_$14,-2.4000000953674316,-1.3490959405899048,1.1196803484381235e-08,0.9999988079071045,1.1560638313312666e-06,audio,0.8444444537162781,0.7837837934494019,0.7344632744789124
360,lXPQBPVc5Cw$_$19,-1.7999999523162842,-1.1631197929382324,1.563186202702127e-08,0.9999986886978149,1.3141059298504842e-06,audio,0.8888888955116272,0.8500000238418579,0.7200000286102295
5,c7UH_rxdZv4$_$21,-0.800000011920929,0.02677471935749054,1.6508707290086022e-08,0.9999984502792358,1.5356669109678478e-06,audio,0.8421052694320679,0.8478260636329651,0.7701149582862854
636,yvsjCA6Y5Fc$_$4,-0.20000000298023224,-0.8756251931190491,9.948088575129077e-09,0.9999988079071045,1.1671861557260854e-06,audio,0.8421052694320679,0.8070175647735596,0.7941176295280457
153,d6hH302o4v8$_$16,-2.0,-0.5390284061431885,9.11198672071123e-09,0.9999986886978149,1.2507613291745656e-06,audio,0.6666666865348816,0.75,0.7142857313156128
263,iiK8YX8oH1E$_$17,1.600000023841858,1.9908576011657715,1.564658447250622e-08,0.9999978542327881,2.139954858648707e-06,audio,0.8666666746139526,0.7200000286102295,0.931034505367279
493,tStelxIAHjw$_$14,-1.7999999523162842,-0.8990590572357178,1.920635206431598e-08,0.9999977350234985,2.2724323116563028e-06,audio,0.875,0.8571428656578064,0.9411764740943909
