dataset,phase,missing,mode,MAE_mean,MAE_std,Corr_mean,Corr_std,Non0_acc_2_mean,Non0_acc_2_std,Non0_F1_score_mean,Non0_F1_score_std,Mult_acc_5_mean,Mult_acc_5_std,Mult_acc_7_mean,Mult_acc_7_std
mosi,core,0.000000,text,0.775800,0.040030,0.787567,0.011826,0.835300,0.017592,0.834800,0.018892,0.492067,0.034546,0.429567,0.021705
mosi,core,0.300000,audio,1.100267,0.131317,0.604033,0.011832,0.741033,0.026030,0.741967,0.027751,0.327867,0.015460,0.289667,0.021234
mosi,core,0.300000,dynamic_soft,1.061500,0.027459,0.607367,0.002894,0.742600,0.020803,0.741133,0.020800,0.337267,0.006870,0.305033,0.007881
mosi,core,0.300000,dynamic_soft_moe,0.998433,0.019092,0.614533,0.007778,0.750900,0.009545,0.751067,0.009240,0.340800,0.040284,0.312500,0.026800
mosi,core,0.300000,text,1.075767,0.039995,0.603333,0.027299,0.731567,0.014431,0.734333,0.018294,0.333833,0.023150,0.292133,0.005622
mosi,core,0.300000,vision,0.967333,0.017503,0.627367,0.027539,0.768667,0.014137,0.772333,0.015900,0.383933,0.015546,0.334333,0.012009
mosi,full,0.400000,audio,1.136933,0.062501,0.533533,0.011609,0.708367,0.003024,0.707033,0.003035,0.289200,0.055936,0.264400,0.042089
mosi,full,0.400000,dynamic_soft,1.069033,0.037902,0.557033,0.011774,0.732333,0.001358,0.730867,0.001206,0.334333,0.017465,0.300100,0.014925
mosi,full,0.400000,dynamic_soft_moe,1.179567,0.107238,0.539633,0.024904,0.705033,0.009188,0.711533,0.009697,0.322400,0.023151,0.278767,0.020212
mosi,full,0.400000,text,1.106567,0.028193,0.548067,0.016243,0.705400,0.005600,0.704467,0.005052,0.314967,0.009587,0.281733,0.009587
mosi,full,0.400000,vision,1.226067,0.115178,0.523733,0.048065,0.703000,0.028567,0.705600,0.025052,0.244033,0.043401,0.230667,0.035711
mosi,full,0.500000,audio,1.281533,0.097317,0.451200,0.017299,0.646567,0.038173,0.653267,0.030860,0.261367,0.018178,0.241533,0.006870
mosi,full,0.500000,dynamic_soft,1.299000,0.119313,0.374133,0.120267,0.624633,0.081943,0.638767,0.065384,0.227667,0.056173,0.218767,0.046438
mosi,full,0.500000,dynamic_soft_moe,1.347767,0.291291,0.447067,0.043685,0.613800,0.138077,0.659467,0.061724,0.253433,0.040630,0.241100,0.042173
mosi,full,0.500000,text,1.277567,0.032113,0.460400,0.022203,0.650233,0.021658,0.654767,0.016307,0.249500,0.005268,0.229667,0.009877
mosi,full,0.500000,vision,1.272333,0.094992,0.471133,0.029180,0.657533,0.046159,0.664067,0.034226,0.276767,0.017850,0.255467,0.019827
