dataset,phase,missing,mode,MAE_mean,MAE_text,delta_MAE,Corr_mean,Corr_text,delta_Corr,Non0_acc_2_mean,Non0_acc_2_text,delta_Non0_acc_2,Non0_F1_score_mean,Non0_F1_score_text,delta_Non0_F1_score,Mult_acc_5_mean,Mult_acc_5_text,delta_Mult_acc_5,Mult_acc_7_mean,Mult_acc_7_text,delta_Mult_acc_7
mosi,core,0.000000,text,0.775800,0.775800,0.000000,0.787567,0.787567,0.000000,0.835300,0.835300,0.000000,0.834800,0.834800,0.000000,0.492067,0.492067,0.000000,0.429567,0.429567,0.000000
mosi,core,0.300000,audio,1.100267,1.075767,0.024500,0.604033,0.603333,0.000700,0.741033,0.731567,0.009467,0.741967,0.734333,0.007633,0.327867,0.333833,-0.005967,0.289667,0.292133,-0.002467
mosi,core,0.300000,dynamic_soft,1.061500,1.075767,-0.014267,0.607367,0.603333,0.004033,0.742600,0.731567,0.011033,0.741133,0.734333,0.006800,0.337267,0.333833,0.003433,0.305033,0.292133,0.012900
mosi,core,0.300000,dynamic_soft_moe,0.998433,1.075767,-0.077333,0.614533,0.603333,0.011200,0.750900,0.731567,0.019333,0.751067,0.734333,0.016733,0.340800,0.333833,0.006967,0.312500,0.292133,0.020367
mosi,core,0.300000,text,1.075767,1.075767,0.000000,0.603333,0.603333,0.000000,0.731567,0.731567,0.000000,0.734333,0.734333,0.000000,0.333833,0.333833,0.000000,0.292133,0.292133,0.000000
mosi,core,0.300000,vision,0.967333,1.075767,-0.108433,0.627367,0.603333,0.024033,0.768667,0.731567,0.037100,0.772333,0.734333,0.038000,0.383933,0.333833,0.050100,0.334333,0.292133,0.042200
mosi,full,0.400000,audio,1.136933,1.106567,0.030367,0.533533,0.548067,-0.014533,0.708367,0.705400,0.002967,0.707033,0.704467,0.002567,0.289200,0.314967,-0.025767,0.264400,0.281733,-0.017333
mosi,full,0.400000,dynamic_soft,1.069033,1.106567,-0.037533,0.557033,0.548067,0.008967,0.732333,0.705400,0.026933,0.730867,0.704467,0.026400,0.334333,0.314967,0.019367,0.300100,0.281733,0.018367
mosi,full,0.400000,dynamic_soft_moe,1.179567,1.106567,0.073000,0.539633,0.548067,-0.008433,0.705033,0.705400,-0.000367,0.711533,0.704467,0.007067,0.322400,0.314967,0.007433,0.278767,0.281733,-0.002967
mosi,full,0.400000,text,1.106567,1.106567,0.000000,0.548067,0.548067,0.000000,0.705400,0.705400,0.000000,0.704467,0.704467,0.000000,0.314967,0.314967,0.000000,0.281733,0.281733,0.000000
mosi,full,0.400000,vision,1.226067,1.106567,0.119500,0.523733,0.548067,-0.024333,0.703000,0.705400,-0.002400,0.705600,0.704467,0.001133,0.244033,0.314967,-0.070933,0.230667,0.281733,-0.051067
mosi,full,0.500000,audio,1.281533,1.277567,0.003967,0.451200,0.460400,-0.009200,0.646567,0.650233,-0.003667,0.653267,0.654767,-0.001500,0.261367,0.249500,0.011867,0.241533,0.229667,0.011867
mosi,full,0.500000,dynamic_soft,1.299000,1.277567,0.021433,0.374133,0.460400,-0.086267,0.624633,0.650233,-0.025600,0.638767,0.654767,-0.016000,0.227667,0.249500,-0.021833,0.218767,0.229667,-0.010900
mosi,full,0.500000,dynamic_soft_moe,1.347767,1.277567,0.070200,0.447067,0.460400,-0.013333,0.613800,0.650233,-0.036433,0.659467,0.654767,0.004700,0.253433,0.249500,0.003933,0.241100,0.229667,0.011433
mosi,full,0.500000,text,1.277567,1.277567,0.000000,0.460400,0.460400,0.000000,0.650233,0.650233,0.000000,0.654767,0.654767,0.000000,0.249500,0.249500,0.000000,0.229667,0.229667,0.000000
mosi,full,0.500000,vision,1.272333,1.277567,-0.005233,0.471133,0.460400,0.010733,0.657533,0.650233,0.007300,0.664067,0.654767,0.009300,0.276767,0.249500,0.027267,0.255467,0.229667,0.025800
