dataset,missing,mode,phase,fusion_center_mode,use_anchor_moe,seed,status,log_path,Has0_acc_2,Has0_F1_score,Non0_acc_2,Non0_F1_score,Mult_acc_5,Mult_acc_7,MAE,Corr,Loss
mosi,0.000000,text,core,text,0,111.000000,success,results/auto_anchor_runs/logs/mosi_missing0.0_text_core.log,0.818500,0.817800,0.824500,0.823200,0.479200,0.427100,0.805600,0.793000,0.805600
mosi,0.000000,text,core,text,0,1111.000000,success,results/auto_anchor_runs/logs/mosi_missing0.0_text_core.log,0.834800,0.836600,0.855600,0.856600,0.531200,0.452400,0.730300,0.795700,0.730300
mosi,0.000000,text,core,text,0,11111.000000,success,results/auto_anchor_runs/logs/mosi_missing0.0_text_core.log,0.819900,0.819400,0.825800,0.824600,0.465800,0.409200,0.791500,0.774000,0.791500
mosi,0.300000,audio,core,audio,0,111.000000,success,results/auto_anchor_runs/logs/mosi_missing0.3_audio_core.log,0.744000,0.749400,0.761700,0.765800,0.345200,0.308000,1.004200,0.614100,1.004200
mosi,0.300000,audio,core,audio,0,1111.000000,success,results/auto_anchor_runs/logs/mosi_missing0.3_audio_core.log,0.738100,0.737900,0.749600,0.748600,0.315500,0.294600,1.046700,0.607000,1.046700
mosi,0.300000,audio,core,audio,0,11111.000000,success,results/auto_anchor_runs/logs/mosi_missing0.3_audio_core.log,0.714300,0.715200,0.711800,0.711500,0.322900,0.266400,1.249900,0.591000,1.249900
mosi,0.300000,dynamic_soft,core,dynamic_soft,0,111.000000,success,results/auto_anchor_runs/logs/mosi_missing0.3_dynamic_soft_core.log,0.738100,0.737300,0.743000,0.741200,0.333300,0.308000,1.036200,0.610700,1.036200
mosi,0.300000,dynamic_soft,core,dynamic_soft,0,1111.000000,success,results/auto_anchor_runs/logs/mosi_missing0.3_dynamic_soft_core.log,0.751500,0.750900,0.763200,0.761900,0.345200,0.296100,1.090700,0.605500,1.090700
mosi,0.300000,dynamic_soft,core,dynamic_soft,0,11111.000000,success,results/auto_anchor_runs/logs/mosi_missing0.3_dynamic_soft_core.log,0.723200,0.723100,0.721600,0.720300,0.333300,0.311000,1.057600,0.605900,1.057600
mosi,0.300000,dynamic_soft_moe,core,dynamic_soft,1,111.000000,success,results/auto_anchor_runs/logs/mosi_missing0.3_dynamic_soft_moe_core.log,0.727700,0.729000,0.739900,0.740400,0.343800,0.312500,1.006100,0.605600,1.006100
mosi,0.300000,dynamic_soft_moe,core,dynamic_soft,1,1111.000000,success,results/auto_anchor_runs/logs/mosi_missing0.3_dynamic_soft_moe_core.log,0.750000,0.749800,0.757000,0.756200,0.299100,0.285700,1.012500,0.618200,1.012500
mosi,0.300000,dynamic_soft_moe,core,dynamic_soft,1,11111.000000,success,results/auto_anchor_runs/logs/mosi_missing0.3_dynamic_soft_moe_core.log,0.741100,0.742700,0.755800,0.756600,0.379500,0.339300,0.976700,0.619800,0.976700
mosi,0.300000,text,core,text,0,111.000000,success,results/auto_anchor_runs/logs/mosi_missing0.3_text_core.log,0.709800,0.709500,0.715000,0.713600,0.352700,0.296100,1.097800,0.580100,1.097800
mosi,0.300000,text,core,text,0,1111.000000,success,results/auto_anchor_runs/logs/mosi_missing0.3_text_core.log,0.741100,0.742000,0.741400,0.741200,0.340800,0.294600,1.099900,0.633400,1.099900
mosi,0.300000,text,core,text,0,11111.000000,success,results/auto_anchor_runs/logs/mosi_missing0.3_text_core.log,0.717300,0.728900,0.738300,0.748200,0.308000,0.285700,1.029600,0.596500,1.029600
mosi,0.300000,vision,core,vision,0,111.000000,success,results/auto_anchor_runs/logs/mosi_missing0.3_vision_core.log,0.739600,0.743400,0.755800,0.758700,0.401800,0.348200,0.968900,0.616400,0.968900
mosi,0.300000,vision,core,vision,0,1111.000000,success,results/auto_anchor_runs/logs/mosi_missing0.3_vision_core.log,0.748500,0.751700,0.766400,0.768500,0.373500,0.327400,0.984000,0.607000,0.984000
mosi,0.300000,vision,core,vision,0,11111.000000,success,results/auto_anchor_runs/logs/mosi_missing0.3_vision_core.log,0.758900,0.766900,0.783800,0.789800,0.376500,0.327400,0.949100,0.658700,0.949100
mosi,0.400000,audio,full,audio,0,111.000000,success,results/auto_anchor_runs/logs/mosi_missing0.4_audio_full.log,0.706800,0.706200,0.711800,0.710300,0.324400,0.288700,1.074200,0.546200,1.074200
mosi,0.400000,audio,full,audio,0,1111.000000,success,results/auto_anchor_runs/logs/mosi_missing0.4_audio_full.log,0.706800,0.707400,0.707200,0.706500,0.224700,0.215800,1.199200,0.531000,1.199200
mosi,0.400000,audio,full,audio,0,11111.000000,success,results/auto_anchor_runs/logs/mosi_missing0.4_audio_full.log,0.696400,0.695600,0.706100,0.704300,0.318500,0.288700,1.137400,0.523400,1.137400
mosi,0.400000,dynamic_soft,full,dynamic_soft,0,111.000000,success,results/auto_anchor_runs/logs/mosi_missing0.4_dynamic_soft_full.log,0.723200,0.722500,0.732500,0.731000,0.321400,0.285700,1.111200,0.544400,1.111200
mosi,0.400000,dynamic_soft,full,dynamic_soft,0,1111.000000,success,results/auto_anchor_runs/logs/mosi_missing0.4_dynamic_soft_full.log,0.721700,0.721200,0.730900,0.729600,0.327400,0.299100,1.037800,0.567700,1.037800
mosi,0.400000,dynamic_soft,full,dynamic_soft,0,11111.000000,success,results/auto_anchor_runs/logs/mosi_missing0.4_dynamic_soft_full.log,0.729200,0.728400,0.733600,0.732000,0.354200,0.315500,1.058100,0.559000,1.058100
mosi,0.400000,dynamic_soft_moe,full,dynamic_soft,1,111.000000,success,results/auto_anchor_runs/logs/mosi_missing0.4_dynamic_soft_moe_full.log,0.703900,0.711000,0.695200,0.700500,0.319900,0.294600,1.150300,0.567000,1.150300
mosi,0.400000,dynamic_soft_moe,full,dynamic_soft,1,1111.000000,success,results/auto_anchor_runs/logs/mosi_missing0.4_dynamic_soft_moe_full.log,0.702400,0.708300,0.713400,0.718700,0.300600,0.285700,1.090000,0.518300,1.090000
mosi,0.400000,dynamic_soft_moe,full,dynamic_soft,1,11111.000000,success,results/auto_anchor_runs/logs/mosi_missing0.4_dynamic_soft_moe_full.log,0.694900,0.704500,0.706500,0.715400,0.346700,0.256000,1.298400,0.533600,1.298400
mosi,0.400000,text,full,text,0,111.000000,success,results/auto_anchor_runs/logs/mosi_missing0.4_text_full.log,0.711300,0.710600,0.711800,0.710000,0.311000,0.288700,1.098900,0.566800,1.098900
mosi,0.400000,text,full,text,0,1111.000000,success,results/auto_anchor_runs/logs/mosi_missing0.4_text_full.log,0.702400,0.703900,0.703000,0.703300,0.308000,0.270800,1.137800,0.539500,1.137800
mosi,0.400000,text,full,text,0,11111.000000,success,results/auto_anchor_runs/logs/mosi_missing0.4_text_full.log,0.694900,0.694600,0.701400,0.700100,0.325900,0.285700,1.083000,0.537900,1.083000
mosi,0.400000,vision,full,vision,0,111.000000,success,results/auto_anchor_runs/logs/mosi_missing0.4_vision_full.log,0.686000,0.692600,0.680700,0.685600,0.233600,0.218800,1.327200,0.502900,1.327200
mosi,0.400000,vision,full,vision,0,1111.000000,success,results/auto_anchor_runs/logs/mosi_missing0.4_vision_full.log,0.699400,0.705400,0.693100,0.697500,0.206800,0.202400,1.250300,0.489600,1.250300
mosi,0.400000,vision,full,vision,0,11111.000000,success,results/auto_anchor_runs/logs/mosi_missing0.4_vision_full.log,0.729200,0.728500,0.735200,0.733700,0.291700,0.270800,1.100700,0.578700,1.100700
mosi,0.500000,audio,full,audio,0,111.000000,success,results/auto_anchor_runs/logs/mosi_missing0.5_audio_full.log,0.622000,0.633200,0.621500,0.631600,0.281200,0.245500,1.300300,0.452700,1.300300
mosi,0.500000,audio,full,audio,0,1111.000000,success,results/auto_anchor_runs/logs/mosi_missing0.5_audio_full.log,0.683000,0.682100,0.690500,0.688600,0.257400,0.245500,1.176200,0.467700,1.176200
mosi,0.500000,audio,full,audio,0,11111.000000,success,results/auto_anchor_runs/logs/mosi_missing0.5_audio_full.log,0.632400,0.645700,0.627700,0.639600,0.245500,0.233600,1.368100,0.433200,1.368100
mosi,0.500000,dynamic_soft,full,dynamic_soft,0,111.000000,success,results/auto_anchor_runs/logs/mosi_missing0.5_dynamic_soft_full.log,0.694900,0.693900,0.705000,0.702900,0.287200,0.267900,1.165700,0.446400,1.165700
mosi,0.500000,dynamic_soft,full,dynamic_soft,0,1111.000000,success,results/auto_anchor_runs/logs/mosi_missing0.5_dynamic_soft_full.log,0.553600,0.586300,0.541200,0.572200,0.175600,0.175600,1.395800,0.235300,1.395800
mosi,0.500000,dynamic_soft,full,dynamic_soft,0,11111.000000,success,results/auto_anchor_runs/logs/mosi_missing0.5_dynamic_soft_full.log,0.638400,0.654000,0.627700,0.641200,0.220200,0.212800,1.335500,0.440700,1.335500
mosi,0.500000,dynamic_soft_moe,full,dynamic_soft,1,111.000000,success,results/auto_anchor_runs/logs/mosi_missing0.5_dynamic_soft_moe_full.log,0.699400,0.702600,0.710700,0.713100,0.281200,0.273800,1.135700,0.496800,1.135700
mosi,0.500000,dynamic_soft_moe,full,dynamic_soft,1,1111.000000,success,results/auto_anchor_runs/logs/mosi_missing0.5_dynamic_soft_moe_full.log,0.477700,0.613600,0.455700,0.592000,0.206800,0.193500,1.679900,0.414900,1.679900
mosi,0.500000,dynamic_soft_moe,full,dynamic_soft,1,11111.000000,success,results/auto_anchor_runs/logs/mosi_missing0.5_dynamic_soft_moe_full.log,0.672600,0.672100,0.675000,0.673300,0.272300,0.256000,1.227700,0.429500,1.227700
mosi,0.500000,text,full,text,0,111.000000,success,results/auto_anchor_runs/logs/mosi_missing0.5_text_full.log,0.650300,0.654300,0.645400,0.647800,0.250000,0.232100,1.276500,0.454000,1.276500
mosi,0.500000,text,full,text,0,1111.000000,success,results/auto_anchor_runs/logs/mosi_missing0.5_text_full.log,0.671100,0.671600,0.673900,0.673400,0.254500,0.238100,1.246000,0.442100,1.246000
mosi,0.500000,text,full,text,0,11111.000000,success,results/auto_anchor_runs/logs/mosi_missing0.5_text_full.log,0.638400,0.651800,0.631400,0.643100,0.244000,0.218800,1.310200,0.485100,1.310200
mosi,0.500000,vision,full,vision,0,111.000000,success,results/auto_anchor_runs/logs/mosi_missing0.5_vision_full.log,0.616100,0.638300,0.605000,0.625200,0.276800,0.242600,1.381900,0.467400,1.381900
mosi,0.500000,vision,full,vision,0,1111.000000,success,results/auto_anchor_runs/logs/mosi_missing0.5_vision_full.log,0.677100,0.679800,0.676000,0.677300,0.258900,0.245500,1.213100,0.502000,1.213100
mosi,0.500000,vision,full,vision,0,11111.000000,success,results/auto_anchor_runs/logs/mosi_missing0.5_vision_full.log,0.687500,0.686800,0.691600,0.689700,0.294600,0.278300,1.222000,0.444000,1.222000
