dataset,phase,missing,mode,protocol_tag,train_drop_last,eval_drop_last,test_drop_last,task_router_lambda,center_aux_lambda,router_oracle_temperature,router_oracle_type,gate_balance_lambda,gate_target,MAE_mean,MAE_std,Corr_mean,Corr_std,Non0_acc_2_mean,Non0_acc_2_std,Non0_F1_score_mean,Non0_F1_score_std,Mult_acc_5_mean,Mult_acc_5_std,Mult_acc_7_mean,Mult_acc_7_std,effective_test_samples
mosi,full,0.100000,audio,trainDL1_evalDL0_testDL0,1,0,0,0.100000,0.050000,0.500000,soft,0.010000,0.500000,0.884967,0.089322,0.731100,0.015660,0.801833,0.019977,0.802567,0.021247,0.414467,0.072096,0.375600,0.057462,686.000000
mosi,full,0.100000,dynamic_soft,trainDL1_evalDL0_testDL0,1,0,0,0.100000,0.050000,0.500000,soft,0.010000,0.500000,0.864900,0.068222,0.735000,0.010278,0.804400,0.006341,0.803933,0.007116,0.440700,0.038712,0.379000,0.038234,686.000000
mosi,full,0.100000,dynamic_soft_moe,trainDL1_evalDL0_testDL0,1,0,0,0.100000,0.050000,0.500000,soft,0.010000,0.500000,0.897600,0.090567,0.716700,0.013617,0.788100,0.020541,0.788000,0.021606,0.433933,0.027392,0.370767,0.052744,686.000000
mosi,full,0.100000,text,trainDL1_evalDL0_testDL0,1,0,0,0.100000,0.050000,0.500000,soft,0.010000,0.500000,0.892467,0.081305,0.730267,0.022926,0.804900,0.017598,0.804600,0.018382,0.462600,0.033133,0.373167,0.040600,686.000000
mosi,full,0.100000,vision,trainDL1_evalDL0_testDL0,1,0,0,0.100000,0.050000,0.500000,soft,0.010000,0.500000,0.850200,0.010672,0.737733,0.008951,0.804367,0.012698,0.803733,0.013580,0.446567,0.024778,0.382400,0.008525,686.000000
mosi,full,0.200000,audio,trainDL1_evalDL0_testDL0,1,0,0,0.100000,0.050000,0.500000,soft,0.010000,0.500000,0.939700,0.032050,0.675833,0.015169,0.772867,0.021321,0.772033,0.021456,0.400400,0.007351,0.360533,0.007298,686.000000
mosi,full,0.200000,dynamic_soft,trainDL1_evalDL0_testDL0,1,0,0,0.100000,0.050000,0.500000,soft,0.010000,0.500000,1.040867,0.120918,0.640233,0.032985,0.767300,0.022863,0.766700,0.023404,0.350833,0.063141,0.307067,0.058551,686.000000
mosi,full,0.200000,dynamic_soft_moe,trainDL1_evalDL0_testDL0,1,0,0,0.100000,0.050000,0.500000,soft,0.010000,0.500000,1.054067,0.050920,0.649400,0.005956,0.752033,0.029724,0.751767,0.029148,0.361067,0.043484,0.315367,0.011774,686.000000
mosi,full,0.200000,text,trainDL1_evalDL0_testDL0,1,0,0,0.100000,0.050000,0.500000,soft,0.010000,0.500000,1.031433,0.119954,0.657467,0.047404,0.758633,0.022178,0.757733,0.022084,0.361033,0.040102,0.318767,0.052059,686.000000
mosi,full,0.200000,vision,trainDL1_evalDL0_testDL0,1,0,0,0.100000,0.050000,0.500000,soft,0.010000,0.500000,0.942100,0.041152,0.672433,0.011750,0.785600,0.012231,0.785367,0.012848,0.403300,0.010792,0.351300,0.022075,686.000000
mosi,full,0.300000,audio,trainDL1_evalDL0_testDL0,1,0,0,0.100000,0.050000,0.500000,soft,0.010000,0.500000,1.084633,0.134591,0.611333,0.015961,0.744900,0.024595,0.745700,0.026142,0.340633,0.019026,0.299300,0.031162,686.000000
mosi,full,0.300000,dynamic_soft,trainDL1_evalDL0_testDL0,1,0,0,0.100000,0.050000,0.500000,soft,0.010000,0.500000,1.060967,0.027462,0.605300,0.003205,0.740867,0.019850,0.739533,0.019751,0.336233,0.008321,0.304700,0.007300,686.000000
mosi,full,0.300000,dynamic_soft_moe,trainDL1_evalDL0_testDL0,1,0,0,0.100000,0.050000,0.500000,soft,0.010000,0.500000,1.000800,0.020092,0.614767,0.006819,0.749500,0.007491,0.749733,0.007392,0.342100,0.038656,0.312900,0.026466,686.000000
mosi,full,0.300000,text,trainDL1_evalDL0_testDL0,1,0,0,0.100000,0.050000,0.500000,soft,0.010000,0.500000,1.077033,0.047160,0.616667,0.016167,0.729167,0.017706,0.733400,0.020196,0.329433,0.016544,0.297367,0.012756,686.000000
mosi,full,0.300000,vision,trainDL1_evalDL0_testDL0,1,0,0,0.100000,0.050000,0.500000,soft,0.010000,0.500000,0.972433,0.006218,0.620167,0.010852,0.764733,0.007514,0.767300,0.007197,0.398933,0.022302,0.343533,0.012260,686.000000
mosi,full,0.400000,audio,trainDL1_evalDL0_testDL0,1,0,0,0.100000,0.050000,0.500000,soft,0.010000,0.500000,1.134667,0.058994,0.533367,0.011774,0.711367,0.003163,0.710167,0.002994,0.287667,0.054723,0.262867,0.040854,686.000000
mosi,full,0.400000,dynamic_soft,trainDL1_evalDL0_testDL0,1,0,0,0.100000,0.050000,0.500000,soft,0.010000,0.500000,1.092133,0.038453,0.552400,0.012481,0.726633,0.003821,0.725133,0.003844,0.320667,0.002540,0.289133,0.006037,686.000000
mosi,full,0.400000,dynamic_soft_moe,trainDL1_evalDL0_testDL0,1,0,0,0.100000,0.050000,0.500000,soft,0.010000,0.500000,1.159600,0.114497,0.526367,0.013425,0.714433,0.007240,0.721100,0.006782,0.311000,0.030587,0.269700,0.013911,686.000000
mosi,full,0.400000,text,trainDL1_evalDL0_testDL0,1,0,0,0.100000,0.050000,0.500000,soft,0.010000,0.500000,1.105867,0.025135,0.549667,0.018124,0.705267,0.009188,0.704533,0.008851,0.314367,0.009295,0.280833,0.008429,686.000000
mosi,full,0.400000,vision,trainDL1_evalDL0_testDL0,1,0,0,0.100000,0.050000,0.500000,soft,0.010000,0.500000,1.221933,0.111926,0.524067,0.045804,0.702233,0.026912,0.704867,0.023230,0.246367,0.041974,0.232733,0.034544,686.000000
mosi,full,0.500000,audio,trainDL1_evalDL0_testDL0,1,0,0,0.100000,0.050000,0.500000,soft,0.010000,0.500000,1.277600,0.099202,0.456000,0.020191,0.645833,0.038712,0.652633,0.031360,0.263833,0.019612,0.243467,0.006667,686.000000
mosi,full,0.500000,dynamic_soft,trainDL1_evalDL0_testDL0,1,0,0,0.100000,0.050000,0.500000,soft,0.010000,0.500000,1.298767,0.121549,0.378833,0.117771,0.624000,0.080147,0.641100,0.067570,0.215267,0.040834,0.209933,0.036450,686.000000
mosi,full,0.500000,dynamic_soft_moe,trainDL1_evalDL0_testDL0,1,0,0,0.100000,0.050000,0.500000,soft,0.010000,0.500000,1.348567,0.301079,0.449033,0.045202,0.612300,0.140811,0.657767,0.064898,0.253167,0.042798,0.241033,0.044349,686.000000
mosi,full,0.500000,text,trainDL1_evalDL0_testDL0,1,0,0,0.100000,0.050000,0.500000,soft,0.010000,0.500000,1.259267,0.039348,0.464733,0.021102,0.662600,0.027324,0.666833,0.020384,0.244900,0.007300,0.228900,0.009103,686.000000
mosi,full,0.500000,vision,trainDL1_evalDL0_testDL0,1,0,0,0.100000,0.050000,0.500000,soft,0.010000,0.500000,1.249433,0.107530,0.461933,0.010731,0.670733,0.053121,0.676300,0.040815,0.300767,0.022604,0.271633,0.023162,686.000000
