dataset,phase,missing,mode,train_drop_last,eval_drop_last,test_drop_last,MAE_mean,MAE_text,delta_MAE,Corr_mean,Corr_text,delta_Corr,Non0_acc_2_mean,Non0_acc_2_text,delta_Non0_acc_2,Non0_F1_score_mean,Non0_F1_score_text,delta_Non0_F1_score,Mult_acc_5_mean,Mult_acc_5_text,delta_Mult_acc_5,Mult_acc_7_mean,Mult_acc_7_text,delta_Mult_acc_7
mosi,full,0.100000,audio,-1,-1,-1,0.884967,0.892467,-0.007500,0.731100,0.730267,0.000833,0.801833,0.804900,-0.003067,0.802567,0.804600,-0.002033,0.414467,0.462600,-0.048133,0.375600,0.373167,0.002433
mosi,full,0.100000,dynamic_soft,-1,-1,-1,0.864900,0.892467,-0.027567,0.735000,0.730267,0.004733,0.804400,0.804900,-0.000500,0.803933,0.804600,-0.000667,0.440700,0.462600,-0.021900,0.379000,0.373167,0.005833
mosi,full,0.100000,dynamic_soft_moe,-1,-1,-1,0.897600,0.892467,0.005133,0.716700,0.730267,-0.013567,0.788100,0.804900,-0.016800,0.788000,0.804600,-0.016600,0.433933,0.462600,-0.028667,0.370767,0.373167,-0.002400
mosi,full,0.100000,text,-1,-1,-1,0.892467,0.892467,0.000000,0.730267,0.730267,0.000000,0.804900,0.804900,0.000000,0.804600,0.804600,0.000000,0.462600,0.462600,0.000000,0.373167,0.373167,0.000000
mosi,full,0.100000,vision,-1,-1,-1,0.850200,0.892467,-0.042267,0.737733,0.730267,0.007467,0.804367,0.804900,-0.000533,0.803733,0.804600,-0.000867,0.446567,0.462600,-0.016033,0.382400,0.373167,0.009233
mosi,full,0.200000,audio,-1,-1,-1,0.939700,1.031433,-0.091733,0.675833,0.657467,0.018367,0.772867,0.758633,0.014233,0.772033,0.757733,0.014300,0.400400,0.361033,0.039367,0.360533,0.318767,0.041767
mosi,full,0.200000,dynamic_soft,-1,-1,-1,1.040867,1.031433,0.009433,0.640233,0.657467,-0.017233,0.767300,0.758633,0.008667,0.766700,0.757733,0.008967,0.350833,0.361033,-0.010200,0.307067,0.318767,-0.011700
mosi,full,0.200000,dynamic_soft_moe,-1,-1,-1,1.054067,1.031433,0.022633,0.649400,0.657467,-0.008067,0.752033,0.758633,-0.006600,0.751767,0.757733,-0.005967,0.361067,0.361033,0.000033,0.315367,0.318767,-0.003400
mosi,full,0.200000,text,-1,-1,-1,1.031433,1.031433,0.000000,0.657467,0.657467,0.000000,0.758633,0.758633,0.000000,0.757733,0.757733,0.000000,0.361033,0.361033,0.000000,0.318767,0.318767,0.000000
mosi,full,0.200000,vision,-1,-1,-1,0.942100,1.031433,-0.089333,0.672433,0.657467,0.014967,0.785600,0.758633,0.026967,0.785367,0.757733,0.027633,0.403300,0.361033,0.042267,0.351300,0.318767,0.032533
mosi,full,0.300000,audio,-1,-1,-1,1.084633,1.077033,0.007600,0.611333,0.616667,-0.005333,0.744900,0.729167,0.015733,0.745700,0.733400,0.012300,0.340633,0.329433,0.011200,0.299300,0.297367,0.001933
