missing,mode,completed_seeds,expected_seeds,status,need_rerun,source_phase,log_path
0.1,audio,3,3,completed,0,full,results/auto_anchor_runs_fulltest/logs/mosi_missing0.1_audio_full.log
0.1,dynamic_soft,3,3,completed,0,full,results/auto_anchor_runs_fulltest/logs/mosi_missing0.1_dynamic_soft_full.log
0.1,dynamic_soft_moe,3,3,completed,0,full,results/auto_anchor_runs_fulltest/logs/mosi_missing0.1_dynamic_soft_moe_full.log
0.1,text,3,3,completed,0,full,results/auto_anchor_runs_fulltest/logs/mosi_missing0.1_text_full.log
0.1,vision,3,3,completed,0,full,results/auto_anchor_runs_fulltest/logs/mosi_missing0.1_vision_full.log
0.2,audio,3,3,completed,0,full,results/auto_anchor_runs_fulltest/logs/mosi_missing0.2_audio_full.log
0.2,dynamic_soft,3,3,completed,0,full,results/auto_anchor_runs_fulltest/logs/mosi_missing0.2_dynamic_soft_full.log
0.2,dynamic_soft_moe,3,3,completed,0,full,results/auto_anchor_runs_fulltest/logs/mosi_missing0.2_dynamic_soft_moe_full.log
0.2,text,3,3,completed,0,full,results/auto_anchor_runs_fulltest/logs/mosi_missing0.2_text_full.log
0.2,vision,3,3,completed,0,full,results/auto_anchor_runs_fulltest/logs/mosi_missing0.2_vision_full.log
0.3,audio,3,3,completed,0,full,results/auto_anchor_runs_fulltest/logs/mosi_missing0.3_audio_full.log
0.3,dynamic_soft,3,3,completed,0,full,results/auto_anchor_runs_fulltest/logs/mosi_missing0.3_dynamic_soft_full.log
0.3,dynamic_soft_moe,3,3,completed,0,full,results/auto_anchor_runs_fulltest/logs/mosi_missing0.3_dynamic_soft_moe_full.log
0.3,text,3,3,completed,0,full,results/auto_anchor_runs_fulltest/logs/mosi_missing0.3_text_full.log
0.3,vision,3,3,completed,0,full,results/auto_anchor_runs_fulltest/logs/mosi_missing0.3_vision_full.log
0.4,audio,3,3,completed,0,full,results/auto_anchor_runs_fulltest/logs/mosi_missing0.4_audio_full.log
0.4,dynamic_soft,3,3,completed,0,full,results/auto_anchor_runs_fulltest/logs/mosi_missing0.4_dynamic_soft_full.log
0.4,dynamic_soft_moe,3,3,completed,0,full,results/auto_anchor_runs_fulltest/logs/mosi_missing0.4_dynamic_soft_moe_full.log
0.4,text,3,3,completed,0,full,results/auto_anchor_runs_fulltest/logs/mosi_missing0.4_text_full.log
0.4,vision,3,3,completed,0,full,results/auto_anchor_runs_fulltest/logs/mosi_missing0.4_vision_full.log
0.5,audio,3,3,completed,0,full,results/auto_anchor_runs_fulltest/logs/mosi_missing0.5_audio_full.log
0.5,dynamic_soft,3,3,completed,0,full,results/auto_anchor_runs_fulltest/logs/mosi_missing0.5_dynamic_soft_full.log
0.5,dynamic_soft_moe,3,3,completed,0,full,results/auto_anchor_runs_fulltest/logs/mosi_missing0.5_dynamic_soft_moe_full.log
0.5,text,3,3,completed,0,full,results/auto_anchor_runs_fulltest/logs/mosi_missing0.5_text_full.log
0.5,vision,3,3,completed,0,full,results/auto_anchor_runs_fulltest/logs/mosi_missing0.5_vision_full.log
