dataset,missing,mode,phase,fusion_center_mode,use_anchor_moe,seed,train_drop_last,eval_drop_last,test_drop_last,effective_train_samples,effective_valid_samples,effective_test_samples,status,log_path,Has0_acc_2,Has0_F1_score,Non0_acc_2,Non0_F1_score,Mult_acc_5,Mult_acc_7,MAE,Corr,Loss
mosi,0.100000,dynamic_rta,full,dynamic_rta,0,111,-1,-1,-1,1272.000000,229.000000,686.000000,success,results/auto_anchor_runs_rta/logs/mosi_missing0.1_dynamic_rta_full.log,0.794500,0.793900,0.800300,0.799200,0.463600,0.395000,0.872300,0.741700,0.872200
mosi,0.100000,dynamic_rta,full,dynamic_rta,0,1111,-1,-1,-1,1272.000000,229.000000,686.000000,success,results/auto_anchor_runs_rta/logs/mosi_missing0.1_dynamic_rta_full.log,0.788600,0.789700,0.806400,0.806800,0.266800,0.266800,1.058500,0.700500,1.061900
mosi,0.100000,dynamic_rta,full,dynamic_rta,0,11111,-1,-1,-1,1272.000000,229.000000,686.000000,success,results/auto_anchor_runs_rta/logs/mosi_missing0.1_dynamic_rta_full.log,0.809000,0.810100,0.829300,0.829600,0.386300,0.345500,0.920500,0.720500,0.919800
mosi,0.200000,dynamic_rta,full,dynamic_rta,0,111,-1,-1,-1,1272.000000,229.000000,686.000000,success,results/auto_anchor_runs_rta/logs/mosi_missing0.2_dynamic_rta_full.log,0.749300,0.748600,0.759100,0.757700,0.368800,0.341100,0.991200,0.647500,0.989300
mosi,0.200000,dynamic_rta,full,dynamic_rta,0,1111,-1,-1,-1,1272.000000,229.000000,686.000000,success,results/auto_anchor_runs_rta/logs/mosi_missing0.2_dynamic_rta_full.log,0.775500,0.781400,0.798800,0.803200,0.415500,0.371700,0.892000,0.687800,0.891200
mosi,0.200000,dynamic_rta,full,dynamic_rta,0,11111,-1,-1,-1,1272.000000,229.000000,686.000000,success,results/auto_anchor_runs_rta/logs/mosi_missing0.2_dynamic_rta_full.log,0.756600,0.756100,0.768300,0.767100,0.396500,0.357100,0.965900,0.628600,0.966100
mosi,0.300000,dynamic_rta,full,dynamic_rta,0,111,-1,-1,-1,1272.000000,229.000000,686.000000,success,results/auto_anchor_runs_rta/logs/mosi_missing0.3_dynamic_rta_full.log,0.723000,0.730000,0.743900,0.749200,0.325100,0.300300,1.022500,0.597700,1.020300
mosi,0.300000,dynamic_rta,full,dynamic_rta,0,1111,-1,-1,-1,1272.000000,229.000000,686.000000,success,results/auto_anchor_runs_rta/logs/mosi_missing0.3_dynamic_rta_full.log,0.772600,0.773300,0.779000,0.779200,0.365900,0.295900,1.031100,0.615300,1.028000
mosi,0.300000,dynamic_rta,full,dynamic_rta,0,11111,-1,-1,-1,1272.000000,229.000000,686.000000,success,results/auto_anchor_runs_rta/logs/mosi_missing0.3_dynamic_rta_full.log,0.650100,0.666800,0.641800,0.656700,0.207000,0.205500,1.274200,0.541000,1.277100
mosi,0.400000,dynamic_rta,full,dynamic_rta,0,111,-1,-1,-1,1272.000000,229.000000,686.000000,success,results/auto_anchor_runs_rta/logs/mosi_missing0.4_dynamic_rta_full.log,0.683700,0.689700,0.682900,0.687700,0.243400,0.230300,1.187800,0.537500,1.191200
mosi,0.400000,dynamic_rta,full,dynamic_rta,0,1111,-1,-1,-1,1272.000000,229.000000,686.000000,success,results/auto_anchor_runs_rta/logs/mosi_missing0.4_dynamic_rta_full.log,0.715700,0.720900,0.711900,0.715600,0.255100,0.243400,1.184700,0.571800,1.187500
mosi,0.400000,dynamic_rta,full,dynamic_rta,0,11111,-1,-1,-1,1272.000000,229.000000,686.000000,success,results/auto_anchor_runs_rta/logs/mosi_missing0.4_dynamic_rta_full.log,0.672000,0.692900,0.690500,0.709600,0.246400,0.236200,1.168400,0.514900,1.171000
mosi,0.500000,dynamic_rta,full,dynamic_rta,0,111,-1,-1,-1,1272.000000,229.000000,686.000000,success,results/auto_anchor_runs_rta/logs/mosi_missing0.5_dynamic_rta_full.log,0.691000,0.690100,0.699700,0.697900,0.300300,0.269700,1.168300,0.470100,1.166600
mosi,0.500000,dynamic_rta,full,dynamic_rta,0,1111,-1,-1,-1,1272.000000,229.000000,686.000000,success,results/auto_anchor_runs_rta/logs/mosi_missing0.5_dynamic_rta_full.log,0.682200,0.687800,0.699700,0.703700,0.279900,0.265300,1.164300,0.451000,1.161900
mosi,0.500000,dynamic_rta,full,dynamic_rta,0,11111,-1,-1,-1,1272.000000,229.000000,686.000000,success,results/auto_anchor_runs_rta/logs/mosi_missing0.5_dynamic_rta_full.log,0.656000,0.655900,0.660100,0.658800,0.285700,0.266800,1.233200,0.456000,1.235100
