dataset,phase,missing,mode,protocol_tag,train_drop_last,eval_drop_last,test_drop_last,task_router_lambda,center_aux_lambda,router_oracle_temperature,router_oracle_type,gate_balance_lambda,gate_target,rta_gate_mode,use_prediction_gate_supervision,gate_oracle_temperature,gate_task_lambda,MAE_mean,MAE_std,Corr_mean,Corr_std,Non0_acc_2_mean,Non0_acc_2_std,Non0_F1_score_mean,Non0_F1_score_std,Mult_acc_5_mean,Mult_acc_5_std,Mult_acc_7_mean,Mult_acc_7_std,effective_test_samples
mosi,full,0.600000,dynamic_rta_pred_residual,trainDL1_evalDL0_testDL0,1,0,0,0.100000,0.050000,0.800000,soft,0.000000,0.500000,learned,1,0.800000,0.020000,1.285133,0.092221,0.339133,0.049639,0.633133,0.041786,0.642767,0.038463,0.222567,0.049107,0.214767,0.044506,686.000000
mosi,full,0.600000,dynamic_soft,trainDL1_evalDL0_testDL0,1,0,0,0.100000,0.050000,0.800000,soft,0.000000,0.500000,learned,1,0.800000,0.020000,1.319133,0.032081,0.392100,0.006931,0.625000,0.031697,0.630800,0.025122,0.236167,0.029263,0.225933,0.025260,686.000000
mosi,full,0.600000,text,trainDL1_evalDL0_testDL0,1,0,0,0.100000,0.050000,0.800000,soft,0.000000,0.500000,learned,1,0.800000,0.020000,1.298367,0.032936,0.398900,0.013190,0.649367,0.020023,0.650767,0.014853,0.275533,0.043466,0.247333,0.019593,686.000000
mosi,full,0.600000,vision,trainDL1_evalDL0_testDL0,1,0,0,0.100000,0.050000,0.800000,soft,0.000000,0.500000,learned,1,0.800000,0.020000,1.315933,0.022444,0.378567,0.010777,0.635167,0.009318,0.638100,0.003503,0.205533,0.054390,0.201633,0.050373,686.000000
mosi,full,0.700000,dynamic_rta_pred_residual,trainDL1_evalDL0_testDL0,1,0,0,0.100000,0.050000,0.800000,soft,0.000000,0.500000,learned,1,0.800000,0.020000,1.333167,0.090371,0.257933,0.102318,0.597033,0.042674,0.607967,0.046545,0.205533,0.049647,0.201633,0.043348,686.000000
mosi,full,0.700000,dynamic_soft,trainDL1_evalDL0_testDL0,1,0,0,0.100000,0.050000,0.800000,soft,0.000000,0.500000,learned,1,0.800000,0.020000,1.457100,0.210054,0.212300,0.109222,0.553867,0.115101,0.601333,0.057746,0.188567,0.050512,0.185633,0.046875,686.000000
mosi,full,0.700000,text,trainDL1_evalDL0_testDL0,1,0,0,0.100000,0.050000,0.800000,soft,0.000000,0.500000,learned,1,0.800000,0.020000,1.276733,0.021109,0.327767,0.009063,0.655967,0.018819,0.656500,0.017681,0.227433,0.028714,0.223533,0.026083,686.000000
mosi,full,0.700000,vision,trainDL1_evalDL0_testDL0,1,0,0,0.100000,0.050000,0.800000,soft,0.000000,0.500000,learned,1,0.800000,0.020000,1.369067,0.027427,0.340400,0.031266,0.617900,0.014456,0.625467,0.009162,0.228867,0.020558,0.217700,0.014626,686.000000
mosi,full,0.800000,dynamic_rta_pred_residual,trainDL1_evalDL0_testDL0,1,0,0,0.100000,0.050000,0.800000,soft,0.000000,0.500000,learned,1,0.800000,0.020000,1.372167,0.067383,0.224233,0.085947,0.586900,0.050971,0.593400,0.043040,0.210433,0.027902,0.206067,0.024142,686.000000
mosi,full,0.800000,dynamic_soft,trainDL1_evalDL0_testDL0,1,0,0,0.100000,0.050000,0.800000,soft,0.000000,0.500000,learned,1,0.800000,0.020000,1.506167,0.039683,0.138600,0.051041,0.437033,0.025519,0.587333,0.011201,0.159367,0.006093,0.159367,0.006093,686.000000
mosi,full,0.800000,text,trainDL1_evalDL0_testDL0,1,0,0,0.100000,0.050000,0.800000,soft,0.000000,0.500000,learned,1,0.800000,0.020000,1.452167,0.034870,0.165767,0.109508,0.532500,0.096029,0.578067,0.051997,0.189967,0.042865,0.184633,0.034068,686.000000
mosi,full,0.800000,vision,trainDL1_evalDL0_testDL0,1,0,0,0.100000,0.050000,0.800000,soft,0.000000,0.500000,learned,1,0.800000,0.020000,1.411333,0.047647,0.218800,0.032353,0.584333,0.011265,0.583300,0.013095,0.218167,0.015993,0.209900,0.014030,686.000000
mosi,full,0.900000,dynamic_rta_pred_residual,trainDL1_evalDL0_testDL0,1,0,0,0.100000,0.050000,0.800000,soft,0.000000,0.500000,learned,1,0.800000,0.020000,1.433267,0.042879,0.164300,0.082549,0.519300,0.080805,0.573367,0.023169,0.184633,0.027032,0.182700,0.026591,686.000000
mosi,full,0.900000,dynamic_soft,trainDL1_evalDL0_testDL0,1,0,0,0.100000,0.050000,0.800000,soft,0.000000,0.500000,learned,1,0.800000,0.020000,1.455600,0.021403,0.150400,0.039436,0.501033,0.064541,0.561767,0.028047,0.170067,0.013800,0.168100,0.011778,686.000000
mosi,full,0.900000,text,trainDL1_evalDL0_testDL0,1,0,0,0.100000,0.050000,0.800000,soft,0.000000,0.500000,learned,1,0.800000,0.020000,1.453167,0.095572,0.082333,0.092204,0.517267,0.082528,0.575833,0.015721,0.177867,0.026540,0.176867,0.024809,686.000000
mosi,full,0.900000,vision,trainDL1_evalDL0_testDL0,1,0,0,0.100000,0.050000,0.800000,soft,0.000000,0.500000,learned,1,0.800000,0.020000,1.458300,0.067081,0.145467,0.092676,0.485800,0.092156,0.585600,0.014203,0.170067,0.013521,0.169100,0.011918,686.000000
mosi,full,1.000000,dynamic_rta_pred_residual,trainDL1_evalDL0_testDL0,1,0,0,0.100000,0.050000,0.800000,soft,0.000000,0.500000,learned,1,0.800000,0.020000,1.517267,0.044811,-0.032467,0.058871,0.422300,0.000000,0.593800,0.000000,0.160833,0.003349,0.160833,0.003349,686.000000
mosi,full,1.000000,dynamic_soft,trainDL1_evalDL0_testDL0,1,0,0,0.100000,0.050000,0.800000,soft,0.000000,0.500000,learned,1,0.800000,0.020000,1.474433,0.024655,-0.067067,0.107216,0.422300,0.000000,0.593800,0.000000,0.153533,0.005910,0.153533,0.005910,686.000000
mosi,full,1.000000,text,trainDL1_evalDL0_testDL0,1,0,0,0.100000,0.050000,0.800000,soft,0.000000,0.500000,learned,1,0.800000,0.020000,1.465833,0.044947,0.038267,0.074754,0.497467,0.066859,0.563933,0.026670,0.160333,0.001450,0.160333,0.001450,686.000000
mosi,full,1.000000,vision,trainDL1_evalDL0_testDL0,1,0,0,0.100000,0.050000,0.800000,soft,0.000000,0.500000,learned,1,0.800000,0.020000,1.466000,0.022819,0.056633,0.047409,0.455800,0.029172,0.572633,0.018355,0.159400,0.003676,0.159400,0.003676,686.000000
