dataset,phase,missing,mode,protocol_tag,train_drop_last,eval_drop_last,test_drop_last,MAE_mean,MAE_text,delta_MAE,Corr_mean,Corr_text,delta_Corr,Non0_acc_2_mean,Non0_acc_2_text,delta_Non0_acc_2,Non0_F1_score_mean,Non0_F1_score_text,delta_Non0_F1_score,Mult_acc_5_mean,Mult_acc_5_text,delta_Mult_acc_5,Mult_acc_7_mean,Mult_acc_7_text,delta_Mult_acc_7
mosi,full,0.600000,dynamic_rta_pred_residual,trainDL1_evalDL0_testDL0,1,0,0,1.285133,1.298367,-0.013233,0.339133,0.398900,-0.059767,0.633133,0.649367,-0.016233,0.642767,0.650767,-0.008000,0.222567,0.275533,-0.052967,0.214767,0.247333,-0.032567
mosi,full,0.600000,dynamic_soft,trainDL1_evalDL0_testDL0,1,0,0,1.319133,1.298367,0.020767,0.392100,0.398900,-0.006800,0.625000,0.649367,-0.024367,0.630800,0.650767,-0.019967,0.236167,0.275533,-0.039367,0.225933,0.247333,-0.021400
mosi,full,0.600000,text,trainDL1_evalDL0_testDL0,1,0,0,1.298367,1.298367,0.000000,0.398900,0.398900,0.000000,0.649367,0.649367,0.000000,0.650767,0.650767,0.000000,0.275533,0.275533,0.000000,0.247333,0.247333,0.000000
mosi,full,0.600000,vision,trainDL1_evalDL0_testDL0,1,0,0,1.315933,1.298367,0.017567,0.378567,0.398900,-0.020333,0.635167,0.649367,-0.014200,0.638100,0.650767,-0.012667,0.205533,0.275533,-0.070000,0.201633,0.247333,-0.045700
mosi,full,0.700000,dynamic_rta_pred_residual,trainDL1_evalDL0_testDL0,1,0,0,1.333167,1.276733,0.056433,0.257933,0.327767,-0.069833,0.597033,0.655967,-0.058933,0.607967,0.656500,-0.048533,0.205533,0.227433,-0.021900,0.201633,0.223533,-0.021900
mosi,full,0.700000,dynamic_soft,trainDL1_evalDL0_testDL0,1,0,0,1.457100,1.276733,0.180367,0.212300,0.327767,-0.115467,0.553867,0.655967,-0.102100,0.601333,0.656500,-0.055167,0.188567,0.227433,-0.038867,0.185633,0.223533,-0.037900
mosi,full,0.700000,text,trainDL1_evalDL0_testDL0,1,0,0,1.276733,1.276733,0.000000,0.327767,0.327767,0.000000,0.655967,0.655967,0.000000,0.656500,0.656500,0.000000,0.227433,0.227433,0.000000,0.223533,0.223533,0.000000
mosi,full,0.700000,vision,trainDL1_evalDL0_testDL0,1,0,0,1.369067,1.276733,0.092333,0.340400,0.327767,0.012633,0.617900,0.655967,-0.038067,0.625467,0.656500,-0.031033,0.228867,0.227433,0.001433,0.217700,0.223533,-0.005833
mosi,full,0.800000,dynamic_rta_pred_residual,trainDL1_evalDL0_testDL0,1,0,0,1.372167,1.452167,-0.080000,0.224233,0.165767,0.058467,0.586900,0.532500,0.054400,0.593400,0.578067,0.015333,0.210433,0.189967,0.020467,0.206067,0.184633,0.021433
mosi,full,0.800000,dynamic_soft,trainDL1_evalDL0_testDL0,1,0,0,1.506167,1.452167,0.054000,0.138600,0.165767,-0.027167,0.437033,0.532500,-0.095467,0.587333,0.578067,0.009267,0.159367,0.189967,-0.030600,0.159367,0.184633,-0.025267
mosi,full,0.800000,text,trainDL1_evalDL0_testDL0,1,0,0,1.452167,1.452167,0.000000,0.165767,0.165767,0.000000,0.532500,0.532500,0.000000,0.578067,0.578067,0.000000,0.189967,0.189967,0.000000,0.184633,0.184633,0.000000
mosi,full,0.800000,vision,trainDL1_evalDL0_testDL0,1,0,0,1.411333,1.452167,-0.040833,0.218800,0.165767,0.053033,0.584333,0.532500,0.051833,0.583300,0.578067,0.005233,0.218167,0.189967,0.028200,0.209900,0.184633,0.025267
mosi,full,0.900000,dynamic_rta_pred_residual,trainDL1_evalDL0_testDL0,1,0,0,1.433267,1.453167,-0.019900,0.164300,0.082333,0.081967,0.519300,0.517267,0.002033,0.573367,0.575833,-0.002467,0.184633,0.177867,0.006767,0.182700,0.176867,0.005833
mosi,full,0.900000,dynamic_soft,trainDL1_evalDL0_testDL0,1,0,0,1.455600,1.453167,0.002433,0.150400,0.082333,0.068067,0.501033,0.517267,-0.016233,0.561767,0.575833,-0.014067,0.170067,0.177867,-0.007800,0.168100,0.176867,-0.008767
mosi,full,0.900000,text,trainDL1_evalDL0_testDL0,1,0,0,1.453167,1.453167,0.000000,0.082333,0.082333,0.000000,0.517267,0.517267,0.000000,0.575833,0.575833,0.000000,0.177867,0.177867,0.000000,0.176867,0.176867,0.000000
mosi,full,0.900000,vision,trainDL1_evalDL0_testDL0,1,0,0,1.458300,1.453167,0.005133,0.145467,0.082333,0.063133,0.485800,0.517267,-0.031467,0.585600,0.575833,0.009767,0.170067,0.177867,-0.007800,0.169100,0.176867,-0.007767
mosi,full,1.000000,dynamic_rta_pred_residual,trainDL1_evalDL0_testDL0,1,0,0,1.517267,1.465833,0.051433,-0.032467,0.038267,-0.070733,0.422300,0.497467,-0.075167,0.593800,0.563933,0.029867,0.160833,0.160333,0.000500,0.160833,0.160333,0.000500
mosi,full,1.000000,dynamic_soft,trainDL1_evalDL0_testDL0,1,0,0,1.474433,1.465833,0.008600,-0.067067,0.038267,-0.105333,0.422300,0.497467,-0.075167,0.593800,0.563933,0.029867,0.153533,0.160333,-0.006800,0.153533,0.160333,-0.006800
mosi,full,1.000000,text,trainDL1_evalDL0_testDL0,1,0,0,1.465833,1.465833,0.000000,0.038267,0.038267,0.000000,0.497467,0.497467,0.000000,0.563933,0.563933,0.000000,0.160333,0.160333,0.000000,0.160333,0.160333,0.000000
mosi,full,1.000000,vision,trainDL1_evalDL0_testDL0,1,0,0,1.466000,1.465833,0.000167,0.056633,0.038267,0.018367,0.455800,0.497467,-0.041667,0.572633,0.563933,0.008700,0.159400,0.160333,-0.000933,0.159400,0.160333,-0.000933
