dataset,missing,mode,phase,protocol_tag,fusion_center_mode,use_anchor_moe,seed,train_drop_last,eval_drop_last,test_drop_last,task_router_lambda,center_aux_lambda,router_oracle_temperature,router_oracle_type,router_missing_bias,gate_balance_lambda,gate_target,rta_gate_mode,use_prediction_gate_supervision,gate_oracle_temperature,gate_task_lambda,use_task_aware_router,use_reliability_task_gate,export_anchor_weights,export_task_router_info,train_batch_size,eval_batch_size,test_batch_size,output_dir,effective_train_samples,effective_valid_samples,effective_test_samples,status,log_path,run_id,Has0_acc_2,Has0_F1_score,Non0_acc_2,Non0_F1_score,Mult_acc_5,Mult_acc_7,MAE,Corr,Loss
mosi,0.600000,dynamic_rta_pred_residual,full,trainDL1_evalDL0_testDL0,dynamic_rta_pred_residual,0,111,1,0,0,0.100000,0.050000,0.800000,soft,2.000000,0.000000,0.500000,learned,1,0.800000,0.020000,1,1,1,1,24,24,24,results/auto_anchor_runs_stress_06_10/rta_pred_residual_analysis,1272.000000,229.000000,686.000000,success,"results/auto_anchor_runs_stress_06_10/logs/mosi_m0.6_dynamic_rta_pred_residual_seed111,1111,11111_trainDL1_evalDL0_testDL0_full.log",mosi_m0.6_dynamic_rta_pred_residual_seed111_trainDL1_evalDL0_testDL0_20260526_0735,0.597700,0.613200,0.585400,0.598600,0.170600,0.166200,1.389100,0.291300,1.390600
mosi,0.600000,dynamic_rta_pred_residual,full,trainDL1_evalDL0_testDL0,dynamic_rta_pred_residual,0,1111,1,0,0,0.100000,0.050000,0.800000,soft,2.000000,0.000000,0.500000,learned,1,0.800000,0.020000,1,1,1,1,24,24,24,results/auto_anchor_runs_stress_06_10/rta_pred_residual_analysis,1272.000000,229.000000,686.000000,success,"results/auto_anchor_runs_stress_06_10/logs/mosi_m0.6_dynamic_rta_pred_residual_seed111,1111,11111_trainDL1_evalDL0_testDL0_full.log",mosi_m0.6_dynamic_rta_pred_residual_seed1111_trainDL1_evalDL0_testDL0_20260526_0735,0.639900,0.650700,0.650900,0.660800,0.228900,0.224500,1.253100,0.335700,1.250600
mosi,0.600000,dynamic_rta_pred_residual,full,trainDL1_evalDL0_testDL0,dynamic_rta_pred_residual,0,11111,1,0,0,0.100000,0.050000,0.800000,soft,2.000000,0.000000,0.500000,learned,1,0.800000,0.020000,1,1,1,1,24,24,24,results/auto_anchor_runs_stress_06_10/rta_pred_residual_analysis,1272.000000,229.000000,686.000000,success,"results/auto_anchor_runs_stress_06_10/logs/mosi_m0.6_dynamic_rta_pred_residual_seed111,1111,11111_trainDL1_evalDL0_testDL0_full.log",mosi_m0.6_dynamic_rta_pred_residual_seed11111_trainDL1_evalDL0_testDL0_20260526_0735,0.653100,0.659700,0.663100,0.668900,0.268200,0.253600,1.213200,0.390400,1.215100
mosi,0.600000,dynamic_soft,full,trainDL1_evalDL0_testDL0,dynamic_soft,0,111,1,0,0,0.100000,0.050000,0.800000,soft,2.000000,0.000000,0.500000,learned,1,0.800000,0.020000,0,1,1,1,24,24,24,results/auto_anchor_runs_stress_06_10,1272.000000,229.000000,686.000000,success,"results/auto_anchor_runs_stress_06_10/logs/mosi_m0.6_dynamic_soft_seed111,1111,11111_trainDL1_evalDL0_testDL0_full.log",mosi_m0.6_dynamic_soft_seed111_trainDL1_evalDL0_testDL0_20260526_0713,0.658900,0.658200,0.661600,0.659800,0.266800,0.253600,1.289200,0.395900,1.290600
mosi,0.600000,dynamic_soft,full,trainDL1_evalDL0_testDL0,dynamic_soft,0,1111,1,0,0,0.100000,0.050000,0.800000,soft,2.000000,0.000000,0.500000,learned,1,0.800000,0.020000,0,1,1,1,24,24,24,results/auto_anchor_runs_stress_06_10,1272.000000,229.000000,686.000000,success,"results/auto_anchor_runs_stress_06_10/logs/mosi_m0.6_dynamic_soft_seed111,1111,11111_trainDL1_evalDL0_testDL0_full.log",mosi_m0.6_dynamic_soft_seed1111_trainDL1_evalDL0_testDL0_20260526_0713,0.613700,0.625700,0.606700,0.616900,0.208500,0.204100,1.315200,0.384100,1.312800
mosi,0.600000,dynamic_soft,full,trainDL1_evalDL0_testDL0,dynamic_soft,0,11111,1,0,0,0.100000,0.050000,0.800000,soft,2.000000,0.000000,0.500000,learned,1,0.800000,0.020000,0,1,1,1,24,24,24,results/auto_anchor_runs_stress_06_10,1272.000000,229.000000,686.000000,success,"results/auto_anchor_runs_stress_06_10/logs/mosi_m0.6_dynamic_soft_seed111,1111,11111_trainDL1_evalDL0_testDL0_full.log",mosi_m0.6_dynamic_soft_seed11111_trainDL1_evalDL0_testDL0_20260526_0713,0.613700,0.624400,0.606700,0.615700,0.233200,0.220100,1.353000,0.396300,1.352400
mosi,0.600000,text,full,trainDL1_evalDL0_testDL0,text,0,111,1,0,0,0.100000,0.050000,0.800000,soft,2.000000,0.000000,0.500000,learned,1,0.800000,0.020000,0,1,1,1,24,24,24,results/auto_anchor_runs_stress_06_10,1272.000000,229.000000,686.000000,success,"results/auto_anchor_runs_stress_06_10/logs/mosi_m0.6_text_seed111,1111,11111_trainDL1_evalDL0_testDL0_full.log",mosi_m0.6_text_seed111_trainDL1_evalDL0_testDL0_20260526_0637,0.631200,0.640700,0.628000,0.636100,0.236200,0.233200,1.284300,0.402800,1.282200
mosi,0.600000,text,full,trainDL1_evalDL0_testDL0,text,0,1111,1,0,0,0.100000,0.050000,0.800000,soft,2.000000,0.000000,0.500000,learned,1,0.800000,0.020000,0,1,1,1,24,24,24,results/auto_anchor_runs_stress_06_10,1272.000000,229.000000,686.000000,success,"results/auto_anchor_runs_stress_06_10/logs/mosi_m0.6_text_seed111,1111,11111_trainDL1_evalDL0_testDL0_full.log",mosi_m0.6_text_seed1111_trainDL1_evalDL0_testDL0_20260526_0637,0.661800,0.661000,0.667700,0.665800,0.322200,0.269700,1.274800,0.409700,1.280700
mosi,0.600000,text,full,trainDL1_evalDL0_testDL0,text,0,11111,1,0,0,0.100000,0.050000,0.800000,soft,2.000000,0.000000,0.500000,learned,1,0.800000,0.020000,0,1,1,1,24,24,24,results/auto_anchor_runs_stress_06_10,1272.000000,229.000000,686.000000,success,"results/auto_anchor_runs_stress_06_10/logs/mosi_m0.6_text_seed111,1111,11111_trainDL1_evalDL0_testDL0_full.log",mosi_m0.6_text_seed11111_trainDL1_evalDL0_testDL0_20260526_0637,0.648700,0.647800,0.652400,0.650400,0.268200,0.239100,1.336000,0.384200,1.340300
mosi,0.600000,vision,full,trainDL1_evalDL0_testDL0,vision,0,111,1,0,0,0.100000,0.050000,0.800000,soft,2.000000,0.000000,0.500000,learned,1,0.800000,0.020000,0,1,1,1,24,24,24,results/auto_anchor_runs_stress_06_10,1272.000000,229.000000,686.000000,success,"results/auto_anchor_runs_stress_06_10/logs/mosi_m0.6_vision_seed111,1111,11111_trainDL1_evalDL0_testDL0_full.log",mosi_m0.6_vision_seed111_trainDL1_evalDL0_testDL0_20260526_0656,0.642900,0.646200,0.637200,0.638800,0.268200,0.259500,1.292400,0.372800,1.294300
