missing,mode,completed_seeds,expected_seeds,status,need_rerun,source_phase,log_path
0.6,dynamic_rta_pred_residual,3,3,completed,0,full,"results/auto_anchor_runs_stress_06_10/logs/mosi_m0.6_dynamic_rta_pred_residual_seed111,1111,11111_trainDL1_evalDL0_testDL0_full.log"
0.6,dynamic_soft,3,3,completed,0,full,"results/auto_anchor_runs_stress_06_10/logs/mosi_m0.6_dynamic_soft_seed111,1111,11111_trainDL1_evalDL0_testDL0_full.log"
0.6,text,3,3,completed,0,full,"results/auto_anchor_runs_stress_06_10/logs/mosi_m0.6_text_seed111,1111,11111_trainDL1_evalDL0_testDL0_full.log"
0.6,vision,3,3,completed,0,full,"results/auto_anchor_runs_stress_06_10/logs/mosi_m0.6_vision_seed111,1111,11111_trainDL1_evalDL0_testDL0_full.log"
0.7,dynamic_rta_pred_residual,3,3,completed,0,full,"results/auto_anchor_runs_stress_06_10/logs/mosi_m0.7_dynamic_rta_pred_residual_seed111,1111,11111_trainDL1_evalDL0_testDL0_full.log"
0.7,dynamic_soft,3,3,completed,0,full,"results/auto_anchor_runs_stress_06_10/logs/mosi_m0.7_dynamic_soft_seed111,1111,11111_trainDL1_evalDL0_testDL0_full.log"
0.7,text,3,3,completed,0,full,"results/auto_anchor_runs_stress_06_10/logs/mosi_m0.7_text_seed111,1111,11111_trainDL1_evalDL0_testDL0_full.log"
0.7,vision,3,3,completed,0,full,"results/auto_anchor_runs_stress_06_10/logs/mosi_m0.7_vision_seed111,1111,11111_trainDL1_evalDL0_testDL0_full.log"
0.8,dynamic_rta_pred_residual,3,3,completed,0,full,"results/auto_anchor_runs_stress_06_10/logs/mosi_m0.8_dynamic_rta_pred_residual_seed111,1111,11111_trainDL1_evalDL0_testDL0_full.log"
0.8,dynamic_soft,3,3,completed,0,full,"results/auto_anchor_runs_stress_06_10/logs/mosi_m0.8_dynamic_soft_seed111,1111,11111_trainDL1_evalDL0_testDL0_full.log"
0.8,text,3,3,completed,0,full,"results/auto_anchor_runs_stress_06_10/logs/mosi_m0.8_text_seed111,1111,11111_trainDL1_evalDL0_testDL0_full.log"
0.8,vision,3,3,completed,0,full,"results/auto_anchor_runs_stress_06_10/logs/mosi_m0.8_vision_seed111,1111,11111_trainDL1_evalDL0_testDL0_full.log"
0.9,dynamic_rta_pred_residual,3,3,completed,0,full,"results/auto_anchor_runs_stress_06_10/logs/mosi_m0.9_dynamic_rta_pred_residual_seed111,1111,11111_trainDL1_evalDL0_testDL0_full.log"
0.9,dynamic_soft,3,3,completed,0,full,"results/auto_anchor_runs_stress_06_10/logs/mosi_m0.9_dynamic_soft_seed111,1111,11111_trainDL1_evalDL0_testDL0_full.log"
0.9,text,3,3,completed,0,full,"results/auto_anchor_runs_stress_06_10/logs/mosi_m0.9_text_seed111,1111,11111_trainDL1_evalDL0_testDL0_full.log"
0.9,vision,3,3,completed,0,full,"results/auto_anchor_runs_stress_06_10/logs/mosi_m0.9_vision_seed111,1111,11111_trainDL1_evalDL0_testDL0_full.log"
1.0,dynamic_rta_pred_residual,3,3,completed,0,full,"results/auto_anchor_runs_stress_06_10/logs/mosi_m1.0_dynamic_rta_pred_residual_seed111,1111,11111_trainDL1_evalDL0_testDL0_full.log"
1.0,dynamic_soft,3,3,completed,0,full,"results/auto_anchor_runs_stress_06_10/logs/mosi_m1.0_dynamic_soft_seed111,1111,11111_trainDL1_evalDL0_testDL0_full.log"
1.0,text,3,3,completed,0,full,"results/auto_anchor_runs_stress_06_10/logs/mosi_m1.0_text_seed111,1111,11111_trainDL1_evalDL0_testDL0_full.log"
1.0,vision,3,3,completed,0,full,"results/auto_anchor_runs_stress_06_10/logs/mosi_m1.0_vision_seed111,1111,11111_trainDL1_evalDL0_testDL0_full.log"
