missing,MAE,Corr,Non0_acc_2,Non0_F1,Mult_acc_5,Mult_acc_7
0.0,0.881133,0.764367,0.829267,0.829233,0.4213,0.3712
0.1,0.9068,0.718067,0.7932,0.792433,0.4164,0.3581
0.2,0.935633,0.669967,0.784533,0.784367,0.4135,0.3615
0.3,1.022433,0.616767,0.748467,0.747533,0.353233,0.3124
0.4,1.153433,0.535233,0.708833,0.7095,0.275,0.259967
0.5,1.187467,0.454233,0.6946,0.700967,0.2653,0.257033
0.6,1.285133,0.339133,0.633133,0.642767,0.222567,0.214767
0.7,1.333167,0.257933,0.597033,0.607967,0.205533,0.201633
0.8,1.372167,0.224233,0.5869,0.5934,0.210433,0.206067
0.9,1.433267,0.1643,0.5193,0.573367,0.184633,0.1827
1.0,1.517267,-0.032467,0.4223,0.5938,0.160833,0.160833
