missing,mode,MAE,Corr,Non0_acc_2,Non0_F1,Mult_acc_5,Mult_acc_7,method
0.6,text,1.298367,0.3989,0.649367,0.650767,0.275533,0.247333,Text center
0.6,vision,1.315933,0.378567,0.635167,0.6381,0.205533,0.201633,Vision center
0.6,dynamic_soft,1.319133,0.3921,0.625,0.6308,0.236167,0.225933,Dynamic Soft
0.6,dynamic_rta_pred_residual,1.285133,0.339133,0.633133,0.642767,0.222567,0.214767,Ours
0.7,text,1.276733,0.327767,0.655967,0.6565,0.227433,0.223533,Text center
0.7,vision,1.369067,0.3404,0.6179,0.625467,0.228867,0.2177,Vision center
0.7,dynamic_soft,1.4571,0.2123,0.553867,0.601333,0.188567,0.185633,Dynamic Soft
0.7,dynamic_rta_pred_residual,1.333167,0.257933,0.597033,0.607967,0.205533,0.201633,Ours
0.8,text,1.452167,0.165767,0.5325,0.578067,0.189967,0.184633,Text center
0.8,vision,1.411333,0.2188,0.584333,0.5833,0.218167,0.2099,Vision center
0.8,dynamic_soft,1.506167,0.1386,0.437033,0.587333,0.159367,0.159367,Dynamic Soft
0.8,dynamic_rta_pred_residual,1.372167,0.224233,0.5869,0.5934,0.210433,0.206067,Ours
0.9,text,1.453167,0.082333,0.517267,0.575833,0.177867,0.176867,Text center
0.9,vision,1.4583,0.145467,0.4858,0.5856,0.170067,0.1691,Vision center
0.9,dynamic_soft,1.4556,0.1504,0.501033,0.561767,0.170067,0.1681,Dynamic Soft
0.9,dynamic_rta_pred_residual,1.433267,0.1643,0.5193,0.573367,0.184633,0.1827,Ours
1.0,text,1.465833,0.038267,0.497467,0.563933,0.160333,0.160333,Text center
1.0,vision,1.466,0.056633,0.4558,0.572633,0.1594,0.1594,Vision center
1.0,dynamic_soft,1.474433,-0.067067,0.4223,0.5938,0.153533,0.153533,Dynamic Soft
1.0,dynamic_rta_pred_residual,1.517267,-0.032467,0.4223,0.5938,0.160833,0.160833,Ours
