dataset,missing,mode,phase,fusion_center_mode,use_anchor_moe,seed,train_drop_last,eval_drop_last,test_drop_last,effective_train_samples,effective_valid_samples,effective_test_samples,status,log_path,Has0_acc_2,Has0_F1_score,Non0_acc_2,Non0_F1_score,Mult_acc_5,Mult_acc_7,MAE,Corr,Loss
mosi,0.100000,dynamic_task_soft,full,dynamic_task_soft,0,111,-1,-1,-1,1272.000000,229.000000,686.000000,success,results/auto_anchor_runs_taskrouter_final/logs/mosi_missing0.1_dynamic_task_soft_full.log,0.779900,0.780700,0.797300,0.797300,0.412500,0.367300,0.889700,0.710600,0.892200
mosi,0.100000,dynamic_task_soft,full,dynamic_task_soft,0,1111,-1,-1,-1,1272.000000,229.000000,686.000000,success,results/auto_anchor_runs_taskrouter_final/logs/mosi_missing0.1_dynamic_task_soft_full.log,0.784300,0.790600,0.809500,0.814100,0.411100,0.354200,0.872700,0.722700,0.875500
mosi,0.100000,dynamic_task_soft,full,dynamic_task_soft,0,11111,-1,-1,-1,1272.000000,229.000000,686.000000,success,results/auto_anchor_runs_taskrouter_final/logs/mosi_missing0.1_dynamic_task_soft_full.log,0.795900,0.795700,0.812500,0.811700,0.466500,0.351300,0.886000,0.738100,0.887700
mosi,0.100000,dynamic_task_soft,full,dynamic_task_soft,0,111,1,0,0,1272.000000,229.000000,686.000000,success,results/auto_anchor_runs_taskrouter_final/logs/mosi_missing0.1_dynamic_task_soft_full.log,0.779900,0.780700,0.797300,0.797300,0.412500,0.367300,0.889700,0.710600,0.892200
mosi,0.100000,dynamic_task_soft,full,dynamic_task_soft,0,1111,1,0,0,1272.000000,229.000000,686.000000,success,results/auto_anchor_runs_taskrouter_final/logs/mosi_missing0.1_dynamic_task_soft_full.log,0.784300,0.790600,0.809500,0.814100,0.411100,0.354200,0.872700,0.722700,0.875500
mosi,0.100000,dynamic_task_soft,full,dynamic_task_soft,0,11111,1,0,0,1272.000000,229.000000,686.000000,success,results/auto_anchor_runs_taskrouter_final/logs/mosi_missing0.1_dynamic_task_soft_full.log,0.795900,0.795700,0.812500,0.811700,0.466500,0.351300,0.886000,0.738100,0.887700
mosi,0.200000,dynamic_task_soft,full,dynamic_task_soft,0,111,-1,-1,-1,1272.000000,229.000000,686.000000,success,results/auto_anchor_runs_taskrouter_final/logs/mosi_missing0.2_dynamic_task_soft_full.log,0.727400,0.731100,0.722600,0.724700,0.377600,0.309000,1.159600,0.651900,1.161300
mosi,0.200000,dynamic_task_soft,full,dynamic_task_soft,0,1111,-1,-1,-1,1272.000000,229.000000,686.000000,success,results/auto_anchor_runs_taskrouter_final/logs/mosi_missing0.2_dynamic_task_soft_full.log,0.766800,0.766200,0.779000,0.777700,0.399400,0.351300,0.992400,0.663200,0.994300
mosi,0.200000,dynamic_task_soft,full,dynamic_task_soft,0,11111,-1,-1,-1,1272.000000,229.000000,686.000000,success,results/auto_anchor_runs_taskrouter_final/logs/mosi_missing0.2_dynamic_task_soft_full.log,0.727400,0.727500,0.731700,0.730800,0.291500,0.266800,1.128900,0.649000,1.124400
mosi,0.200000,dynamic_task_soft,full,dynamic_task_soft,0,111,1,0,0,1272.000000,229.000000,686.000000,success,results/auto_anchor_runs_taskrouter_final/logs/mosi_missing0.2_dynamic_task_soft_full.log,0.727400,0.731100,0.722600,0.724700,0.377600,0.309000,1.159600,0.651900,1.161300
