missing,method,delta_MAE,delta_Corr,delta_Non0_acc_2,delta_Non0_F1_score,delta_Mult_acc_5,delta_Mult_acc_7
0.1,audio,-0.007500000000000062,0.0008329999999999727,-0.003066999999999931,-0.0020329999999999515,-0.04813300000000004,0.002432999999999963
0.1,vision,-0.042267000000000055,0.007465999999999973,-0.0005329999999998947,-0.0008669999999999511,-0.01603300000000002,0.009232999999999991
0.1,dynamic_soft,-0.027567000000000008,0.004732999999999987,-0.0004999999999999449,-0.0006669999999999732,-0.02190000000000003,0.005832999999999977
0.1,dynamic_soft_moe,0.005132999999999943,-0.013566999999999996,-0.016799999999999926,-0.016599999999999948,-0.028666999999999998,-0.0024000000000000132
0.1,dynamic_task_soft_tuned,-0.009666999999999981,-0.0064670000000000005,0.0015330000000000066,0.0030999999999999917,-0.03256700000000001,-0.015567000000000053
0.2,audio,-0.09173300000000006,0.018365999999999993,0.014233999999999969,0.01429999999999998,0.039366999999999985,0.04176599999999997
0.2,vision,-0.089333,0.014965999999999924,0.026966999999999963,0.027634000000000047,0.042267,0.03253299999999998
0.2,dynamic_soft,0.009433999999999942,-0.01723399999999997,0.00866699999999998,0.008967000000000058,-0.010199999999999987,-0.011700000000000044
0.2,dynamic_soft_moe,0.022634000000000043,-0.008067000000000046,-0.00660000000000005,-0.005966000000000027,3.4000000000034e-05,-0.003400000000000014
0.2,dynamic_task_soft_tuned,0.06220000000000003,-0.002767000000000075,-0.01419999999999999,-0.01333300000000004,-0.0048659999999999815,-0.00973400000000002
0.3,audio,0.007600000000000051,-0.00533399999999995,0.015732999999999997,0.012299999999999978,0.011200000000000043,0.001933000000000018
0.3,vision,-0.10459999999999992,0.0035000000000000586,0.035565999999999987,0.03389999999999993,0.0695,0.046165999999999985
0.3,dynamic_soft,-0.016065999999999914,-0.011367000000000016,0.011700000000000044,0.006132999999999944,0.006800000000000028,0.007333000000000034
0.3,dynamic_soft_moe,-0.076233,-0.0019000000000000128,0.020333000000000045,0.01633299999999993,0.01266700000000004,0.015533000000000019
0.3,dynamic_task_soft_tuned,0.003267000000000131,-0.019866999999999968,0.004066000000000014,0.0021999999999999797,-0.010699999999999987,-0.0005000000000000004
0.4,audio,0.02880000000000016,-0.01629999999999998,0.006099999999999994,0.005634000000000028,-0.0267,-0.017965999999999982
0.4,vision,0.116066,-0.025600000000000067,-0.003033999999999981,0.0003340000000000565,-0.068,-0.048100000000000004
0.4,dynamic_soft,-0.013733999999999913,0.0027329999999999854,0.021365999999999996,0.020600000000000063,0.006299999999999972,0.008299999999999974
0.4,dynamic_soft_moe,0.05373300000000003,-0.023299999999999987,0.009166000000000007,0.016567,-0.003367000000000009,-0.011133000000000004
0.4,dynamic_task_soft_tuned,-0.01626700000000003,-0.030267000000000044,0.020333000000000045,0.020299999999999985,-0.0043340000000000045,0.011199999999999988
0.5,audio,0.018333000000000155,-0.00873299999999999,-0.016766999999999976,-0.01419999999999999,0.018932999999999978,0.014566999999999997
0.5,vision,-0.009833999999999898,-0.0028000000000000247,0.008133000000000057,0.009467000000000003,0.055867,0.04273300000000002
0.5,dynamic_soft,0.03950000000000009,-0.08590000000000003,-0.03859999999999997,-0.025733000000000006,-0.02963300000000002,-0.018966999999999984
0.5,dynamic_soft_moe,0.08930000000000016,-0.015699999999999992,-0.05030000000000001,-0.009066000000000018,0.008266999999999969,0.012133000000000005
0.5,dynamic_task_soft_tuned,-0.04713400000000001,0.0015339999999999798,0.02286700000000008,0.019233999999999973,0.012633000000000005,0.0121
