missing,method,MAE,Corr,Non0_acc_2,Non0_F1_score,Mult_acc_5,Mult_acc_7
0.1,text,0.892467,0.730267,0.8049,0.8046,0.4626,0.373167
0.1,audio,0.884967,0.7311,0.801833,0.802567,0.414467,0.3756
0.1,vision,0.8502,0.737733,0.804367,0.803733,0.446567,0.3824
0.1,dynamic_soft,0.8649,0.735,0.8044,0.803933,0.4407,0.379
0.1,dynamic_soft_moe,0.8976,0.7167,0.7881,0.788,0.433933,0.370767
0.1,dynamic_task_soft_tuned,0.8828,0.7238,0.806433,0.8077,0.430033,0.3576
0.2,text,1.031433,0.657467,0.758633,0.757733,0.361033,0.318767
0.2,audio,0.9397,0.675833,0.772867,0.772033,0.4004,0.360533
0.2,vision,0.9421,0.672433,0.7856,0.785367,0.4033,0.3513
0.2,dynamic_soft,1.040867,0.640233,0.7673,0.7667,0.350833,0.307067
0.2,dynamic_soft_moe,1.054067,0.6494,0.752033,0.751767,0.361067,0.315367
0.2,dynamic_task_soft_tuned,1.093633,0.6547,0.744433,0.7444,0.356167,0.309033
0.3,text,1.077033,0.616667,0.729167,0.7334,0.329433,0.297367
0.3,audio,1.084633,0.611333,0.7449,0.7457,0.340633,0.2993
0.3,vision,0.972433,0.620167,0.764733,0.7673,0.398933,0.343533
0.3,dynamic_soft,1.060967,0.6053,0.740867,0.739533,0.336233,0.3047
0.3,dynamic_soft_moe,1.0008,0.614767,0.7495,0.749733,0.3421,0.3129
0.3,dynamic_task_soft_tuned,1.0803,0.5968,0.733233,0.7356,0.318733,0.296867
0.4,text,1.105867,0.549667,0.705267,0.704533,0.314367,0.280833
0.4,audio,1.134667,0.533367,0.711367,0.710167,0.287667,0.262867
0.4,vision,1.221933,0.524067,0.702233,0.704867,0.246367,0.232733
0.4,dynamic_soft,1.092133,0.5524,0.726633,0.725133,0.320667,0.289133
0.4,dynamic_soft_moe,1.1596,0.526367,0.714433,0.7211,0.311,0.2697
0.4,dynamic_task_soft_tuned,1.0896,0.5194,0.7256,0.724833,0.310033,0.292033
0.5,text,1.259267,0.464733,0.6626,0.666833,0.2449,0.2289
0.5,audio,1.2776,0.456,0.645833,0.652633,0.263833,0.243467
0.5,vision,1.249433,0.461933,0.670733,0.6763,0.300767,0.271633
0.5,dynamic_soft,1.298767,0.378833,0.624,0.6411,0.215267,0.209933
0.5,dynamic_soft_moe,1.348567,0.449033,0.6123,0.657767,0.253167,0.241033
0.5,dynamic_task_soft_tuned,1.212133,0.466267,0.685467,0.686067,0.257533,0.241
