dataset,missing,mode,phase,fusion_center_mode,use_anchor_moe,seed,train_drop_last,eval_drop_last,test_drop_last,effective_train_samples,effective_valid_samples,effective_test_samples,status,log_path,Has0_acc_2,Has0_F1_score,Non0_acc_2,Non0_F1_score,Mult_acc_5,Mult_acc_7,MAE,Corr,Loss
mosi,0.400000,dynamic_task_soft,full,dynamic_task_soft,0,111,-1,-1,-1,1272.000000,229.000000,686.000000,success,results/auto_anchor_runs_taskrouter_tune/lambda0.1_temp0.8/logs/mosi_missing0.4_dynamic_task_soft_full.log,0.702600,0.701800,0.708800,0.707100,0.274100,0.259500,1.148800,0.466700,1.151000
mosi,0.400000,dynamic_task_soft,full,dynamic_task_soft,0,1111,-1,-1,-1,1272.000000,229.000000,686.000000,success,results/auto_anchor_runs_taskrouter_tune/lambda0.1_temp0.8/logs/mosi_missing0.4_dynamic_task_soft_full.log,0.727400,0.727000,0.736300,0.735000,0.335300,0.307600,1.044400,0.567900,1.045300
mosi,0.400000,dynamic_task_soft,full,dynamic_task_soft,0,11111,-1,-1,-1,1272.000000,229.000000,686.000000,success,results/auto_anchor_runs_taskrouter_tune/lambda0.1_temp0.8/logs/mosi_missing0.4_dynamic_task_soft_full.log,0.718700,0.720300,0.731700,0.732400,0.320700,0.309000,1.075600,0.523600,1.079300
mosi,0.400000,dynamic_task_soft,full,dynamic_task_soft,0,111,1,0,0,1272.000000,229.000000,686.000000,success,results/auto_anchor_runs_taskrouter_tune/lambda0.1_temp0.8/logs/mosi_missing0.4_dynamic_task_soft_full.log,0.702600,0.701800,0.708800,0.707100,0.274100,0.259500,1.148800,0.466700,1.151000
mosi,0.400000,dynamic_task_soft,full,dynamic_task_soft,0,1111,1,0,0,1272.000000,229.000000,686.000000,success,results/auto_anchor_runs_taskrouter_tune/lambda0.1_temp0.8/logs/mosi_missing0.4_dynamic_task_soft_full.log,0.727400,0.727000,0.736300,0.735000,0.335300,0.307600,1.044400,0.567900,1.045300
mosi,0.400000,dynamic_task_soft,full,dynamic_task_soft,0,11111,1,0,0,1272.000000,229.000000,686.000000,success,results/auto_anchor_runs_taskrouter_tune/lambda0.1_temp0.8/logs/mosi_missing0.4_dynamic_task_soft_full.log,0.718700,0.720300,0.731700,0.732400,0.320700,0.309000,1.075600,0.523600,1.079300
mosi,0.500000,dynamic_task_soft,full,dynamic_task_soft,0,111,-1,-1,-1,1272.000000,229.000000,686.000000,success,results/auto_anchor_runs_taskrouter_tune/lambda0.1_temp0.8/logs/mosi_missing0.5_dynamic_task_soft_full.log,0.667600,0.673600,0.661600,0.665800,0.170600,0.170600,1.325100,0.486400,1.324400
mosi,0.500000,dynamic_task_soft,full,dynamic_task_soft,0,1111,-1,-1,-1,1272.000000,229.000000,686.000000,success,results/auto_anchor_runs_taskrouter_tune/lambda0.1_temp0.8/logs/mosi_missing0.5_dynamic_task_soft_full.log,0.692400,0.691700,0.698200,0.696500,0.265300,0.250700,1.176300,0.441400,1.175200
mosi,0.500000,dynamic_task_soft,full,dynamic_task_soft,0,11111,-1,-1,-1,1272.000000,229.000000,686.000000,success,results/auto_anchor_runs_taskrouter_tune/lambda0.1_temp0.8/logs/mosi_missing0.5_dynamic_task_soft_full.log,0.680800,0.681300,0.696600,0.695900,0.336700,0.301700,1.135000,0.471000,1.128000
mosi,0.500000,dynamic_task_soft,full,dynamic_task_soft,0,111,1,0,0,1272.000000,229.000000,686.000000,success,results/auto_anchor_runs_taskrouter_tune/lambda0.1_temp0.8/logs/mosi_missing0.5_dynamic_task_soft_full.log,0.667600,0.673600,0.661600,0.665800,0.170600,0.170600,1.325100,0.486400,1.324400
mosi,0.500000,dynamic_task_soft,full,dynamic_task_soft,0,1111,1,0,0,1272.000000,229.000000,686.000000,success,results/auto_anchor_runs_taskrouter_tune/lambda0.1_temp0.8/logs/mosi_missing0.5_dynamic_task_soft_full.log,0.692400,0.691700,0.698200,0.696500,0.265300,0.250700,1.176300,0.441400,1.175200
mosi,0.500000,dynamic_task_soft,full,dynamic_task_soft,0,11111,1,0,0,1272.000000,229.000000,686.000000,success,results/auto_anchor_runs_taskrouter_tune/lambda0.1_temp0.8/logs/mosi_missing0.5_dynamic_task_soft_full.log,0.680800,0.681300,0.696600,0.695900,0.336700,0.301700,1.135000,0.471000,1.128000
