index,id,y_true,y_pred,w_text,w_audio,w_vision,pred_text_center,pred_audio_center,pred_vision_center,err_text_center,err_audio_center,err_vision_center,oracle_w_text,oracle_w_audio,oracle_w_vision,router_selected_anchor,oracle_selected_anchor,router_oracle_match,availability_text,availability_audio,availability_vision
344,lXPQBPVc5Cw$_$3,-2.4000000953674316,-1.5975639820098877,0.2851082980632782,0.31236857175827026,0.40252310037612915,-1.2556949853897095,-1.276157259941101,-1.342389702796936,1.1443051099777222,1.1238428354263306,1.0576103925704956,0.2936292290687561,0.3143557608127594,0.3920150399208069,vision,vision,1,0.5,0.38461539149284363,0.5483871102333069
63,cW1FSBF59ik$_$11,-1.0,-1.4727123975753784,0.2743327021598816,0.39378535747528076,0.33188197016716003,-1.1686441898345947,-1.1761683225631714,-1.2499321699142456,0.16864418983459473,0.1761683225631714,0.2499321699142456,0.3652462959289551,0.3561996519565582,0.2785539925098419,audio,text,0,0.529411792755127,0.5529412031173706,0.5048543810844421
93,cXypl4FnoZo$_$10,2.0,-0.12982356548309326,0.3058880567550659,0.3694674074649811,0.3246444761753082,0.05495818704366684,0.07571238279342651,0.01903260126709938,1.9450417757034302,1.9242875576019287,1.980967402458191,0.33797818422317505,0.36218762397766113,0.29983413219451904,audio,audio,1,0.5833333134651184,0.5151515007019043,0.4871794879436493
428,phBUpBr1hSo$_$10,-1.399999976158142,-1.7132883071899414,0.33364254236221313,0.2747938632965088,0.3915635943412781,-1.348212480545044,-1.3675307035446167,-1.4402062892913818,0.051787495613098145,0.03246927261352539,0.040206313133239746,0.3219708502292633,0.3433859646320343,0.3346432149410248,vision,audio,0,0.5555555820465088,0.30000001192092896,0.5142857432365417
607,yDtzw_Y-7RU$_$22,2.0,1.1514681577682495,0.3489026725292206,0.3115282952785492,0.3395690321922302,1.194211721420288,1.2336392402648926,1.1861342191696167,0.8057882785797119,0.7663607597351074,0.8138657808303833,0.3211421072483063,0.3662472069263458,0.3126107156276703,text,audio,0,0.7142857313156128,0.5,0.5789473652839661
597,wMbj6ajWbic$_$15,2.0,-1.8752613067626953,0.27354326844215393,0.31459543108940125,0.411861389875412,-1.5246104001998901,-1.5443627834320068,-1.6204195022583008,3.5246105194091797,3.544362783432007,3.620419502258301,0.3755316734313965,0.35160279273986816,0.27286556363105774,vision,text,0,0.47058823704719543,0.3913043439388275,0.5636363625526428
46,cM3Yna7AavY$_$6,2.799999952316284,0.8895936012268066,0.2682024836540222,0.3559189736843109,0.37587854266166687,0.956007182598114,1.0044490098953247,0.967837929725647,1.8439927101135254,1.7955509424209595,1.8321620225906372,0.3109970986843109,0.36549636721611023,0.32350656390190125,vision,audio,0,0.46666666865348816,0.4642857015132904,0.5259259343147278
353,lXPQBPVc5Cw$_$10,-2.200000047683716,-0.9476615190505981,0.3089257776737213,0.35910674929618835,0.3319675028324127,-0.7243717908859253,-0.7204017639160156,-0.7813829183578491,1.4756282567977905,1.4795982837677002,1.4186171293258667,0.31287655234336853,0.3087634742259979,0.37835997343063354,audio,vision,0,0.5714285969734192,0.5,0.4972677528858185
195,etzxEpPuc6I$_$6,0.4000000059604645,0.5529864430427551,0.3203088045120239,0.29953011870384216,0.3801610469818115,0.580105185508728,0.6215211749076843,0.5893917679786682,0.18010517954826355,0.22152116894721985,0.18939176201820374,0.3520418703556061,0.3066468834877014,0.3413112759590149,vision,text,0,0.6666666865348816,0.4722222089767456,0.6279069781303406
173,dq3Nf_lMPnE$_$5,1.2000000476837158,-0.597750723361969,0.28860485553741455,0.3564516305923462,0.35494348406791687,-0.4228268265724182,-0.454715371131897,-0.49017107486724854,1.6228268146514893,1.6547154188156128,1.6901711225509644,0.3706326484680176,0.33325761556625366,0.29610976576805115,audio,text,0,0.6000000238418579,0.5416666865348816,0.5769230723381042
393,nzpVDcQ0ywM$_$17,1.600000023841858,0.7768401503562927,0.31691843271255493,0.29388630390167236,0.3891952335834503,0.809639573097229,0.835812509059906,0.8041970729827881,0.7903604507446289,0.7641875147819519,0.7958029508590698,0.325395405292511,0.3550591468811035,0.3195454478263855,vision,audio,0,0.5,0.30434781312942505,0.48148149251937866
638,yvsjCA6Y5Fc$_$6,0.0,-1.251908779144287,0.35548335313796997,0.3282918930053711,0.3162247836589813,-0.9238835573196411,-0.9389556646347046,-1.001150131225586,0.9238835573196411,0.9389556646347046,1.001150131225586,0.367115318775177,0.3491269648075104,0.2837577164173126,text,text,1,0.7272727489471436,0.523809552192688,0.5416666865348816
108,d3_k5Xpfmik$_$17,1.600000023841858,0.36935651302337646,0.33166542649269104,0.2713261842727661,0.39700838923454285,0.41682422161102295,0.45661211013793945,0.4200371503829956,1.183175802230835,1.1433879137039185,1.1799628734588623,0.3171994686126709,0.36218568682670593,0.32061487436294556,vision,audio,0,0.5384615659713745,0.29729729890823364,0.5227272510528564
478,tIrG4oNLFzE$_$18,-2.200000047683716,-2.1049163341522217,0.3152884840965271,0.38111189007759094,0.30359968543052673,-1.6893000602722168,-1.7024543285369873,-1.7831192016601562,0.510699987411499,0.4975457191467285,0.41688084602355957,0.2930853068828583,0.3062223196029663,0.4006924331188202,audio,vision,0,0.6800000071525574,0.6212121248245239,0.5443037748336792
275,jUzDDGyPkXU$_$24,-1.0,-0.4960619807243347,0.33999961614608765,0.39076030254364014,0.2692401111125946,-0.3312511444091797,-0.338115394115448,-0.3929833173751831,0.6687488555908203,0.661884605884552,0.6070166826248169,0.3075390160083771,0.3146568536758423,0.37780410051345825,audio,vision,0,0.6296296119689941,0.5416666865348816,0.3928571343421936
