missing,mode,MAE,Corr,Non0_acc_2,Non0_F1_score,Mult_acc_5,Mult_acc_7
0.300000,audio,1.084633,0.611333,0.744900,0.745700,0.340633,0.299300
0.300000,dynamic_soft,1.060967,0.605300,0.740867,0.739533,0.336233,0.304700
0.300000,dynamic_soft_moe,1.000800,0.614767,0.749500,0.749733,0.342100,0.312900
0.300000,text,1.077033,0.616667,0.729167,0.733400,0.329433,0.297367
0.300000,vision,0.972433,0.620167,0.764733,0.767300,0.398933,0.343533
0.400000,audio,1.134667,0.533367,0.711367,0.710167,0.287667,0.262867
0.400000,dynamic_soft,1.092133,0.552400,0.726633,0.725133,0.320667,0.289133
0.400000,dynamic_soft_moe,1.159600,0.526367,0.714433,0.721100,0.311000,0.269700
0.400000,dynamic_task_soft,1.127733,0.547200,0.720533,0.720267,0.284733,0.268233
0.400000,text,1.105867,0.549667,0.705267,0.704533,0.314367,0.280833
0.400000,vision,1.221933,0.524067,0.702233,0.704867,0.246367,0.232733
0.500000,audio,1.277600,0.456000,0.645833,0.652633,0.263833,0.243467
0.500000,dynamic_soft,1.298767,0.378833,0.624000,0.641100,0.215267,0.209933
0.500000,dynamic_soft_moe,1.348567,0.449033,0.612300,0.657767,0.253167,0.241033
0.500000,dynamic_task_soft,1.250067,0.449833,0.649900,0.668333,0.245867,0.226467
0.500000,text,1.259267,0.464733,0.662600,0.666833,0.244900,0.228900
0.500000,vision,1.249433,0.461933,0.670733,0.676300,0.300767,0.271633
