missing,task_router_lambda,center_aux_lambda,router_oracle_temperature,router_oracle_type,MAE,Corr,Non0_acc_2,Non0_F1_score,Mult_acc_5,Mult_acc_7,delta_MAE_vs_dynamic_soft,delta_Corr_vs_dynamic_soft,delta_Non0_acc_2_vs_dynamic_soft,delta_Non0_F1_vs_dynamic_soft,delta_MAE_vs_best_fixed,delta_Corr_vs_best_fixed,delta_Non0_acc_2_vs_best_fixed,delta_Non0_F1_vs_best_fixed,router_oracle_match_rate
0.400000,0.050000,0.050000,0.300000,soft,1.110600,0.544500,0.723067,0.724333,0.285233,0.267767,0.018467,-0.007900,-0.003566,-0.000800,0.004733,-0.005167,0.017800,0.019800,0.376579
0.400000,0.050000,0.050000,0.500000,soft,1.095233,0.535167,0.715933,0.718167,0.294933,0.272600,0.003100,-0.017233,-0.010700,-0.006966,-0.010634,-0.014500,0.010666,0.013634,0.369291
0.400000,0.050000,0.050000,0.800000,soft,1.191000,0.522233,0.688033,0.692833,0.265800,0.245400,0.098867,-0.030167,-0.038600,-0.032300,0.085133,-0.027434,-0.017234,-0.011700,0.386297
0.400000,0.100000,0.050000,0.300000,soft,1.205033,0.515633,0.671733,0.676100,0.270200,0.248300,0.112900,-0.036767,-0.054900,-0.049033,0.099166,-0.034034,-0.033534,-0.028433,0.330904
0.400000,0.100000,0.050000,0.500000,soft,1.160333,0.540100,0.710367,0.711433,0.286200,0.267233,0.068200,-0.012300,-0.016266,-0.013700,0.054466,-0.009567,0.005100,0.006900,0.357629
0.400000,0.100000,0.050000,0.800000,soft,1.089600,0.519400,0.725600,0.724833,0.310033,0.292033,-0.002533,-0.033000,-0.001033,-0.000300,-0.016267,-0.030267,0.020333,0.020300,0.369776
0.400000,0.200000,0.050000,0.300000,soft,1.127733,0.547200,0.720533,0.720267,0.284733,0.268233,0.035600,-0.005200,-0.006100,-0.004866,0.021866,-0.002467,0.015266,0.015734,0.321672
0.400000,0.200000,0.050000,0.500000,soft,1.146200,0.545433,0.712900,0.719433,0.255600,0.248800,0.054067,-0.006967,-0.013733,-0.005700,0.040333,-0.004234,0.007633,0.014900,0.367347
0.400000,0.200000,0.050000,0.800000,soft,1.157067,0.543200,0.708867,0.714967,0.314867,0.282800,0.064934,-0.009200,-0.017766,-0.010166,0.051200,-0.006467,0.003600,0.010434,0.317784
0.500000,0.050000,0.050000,0.300000,soft,1.312733,0.462167,0.611800,0.643500,0.196800,0.189033,0.013966,0.083334,-0.012200,0.002400,0.063300,0.000234,-0.058933,-0.032800,0.338192
0.500000,0.050000,0.050000,0.500000,soft,1.224167,0.442033,0.683933,0.684500,0.240533,0.232267,-0.074600,0.063200,0.059933,0.043400,-0.025266,-0.019900,0.013200,0.008200,0.303207
0.500000,0.050000,0.050000,0.800000,soft,1.324267,0.379667,0.599100,0.613067,0.190967,0.188033,0.025500,0.000834,-0.024900,-0.028033,0.074834,-0.082266,-0.071633,-0.063233,0.270165
0.500000,0.100000,0.050000,0.300000,soft,1.305767,0.416200,0.567567,0.624033,0.234233,0.226433,0.007000,0.037367,-0.056433,-0.017067,0.056334,-0.045733,-0.103166,-0.052267,0.453353
0.500000,0.100000,0.050000,0.500000,soft,1.242400,0.449867,0.667667,0.671433,0.227867,0.221067,-0.056367,0.071034,0.043667,0.030333,-0.007033,-0.012066,-0.003066,-0.004867,0.345481
0.500000,0.100000,0.050000,0.800000,soft,1.212133,0.466267,0.685467,0.686067,0.257533,0.241000,-0.086634,0.087434,0.061467,0.044967,-0.037300,0.004334,0.014734,0.009767,0.279883
0.500000,0.200000,0.050000,0.300000,soft,1.250067,0.449833,0.649900,0.668333,0.245867,0.226467,-0.048700,0.071000,0.025900,0.027233,0.000634,-0.012100,-0.020833,-0.007967,0.339164
0.500000,0.200000,0.050000,0.500000,soft,1.166833,0.467033,0.701200,0.701867,0.262867,0.253667,-0.131934,0.088200,0.077200,0.060767,-0.082600,0.005100,0.030467,0.025567,0.350340
0.500000,0.200000,0.050000,0.800000,soft,1.319867,0.390833,0.574700,0.628300,0.223033,0.216733,0.021100,0.012000,-0.049300,-0.012800,0.070434,-0.071100,-0.096033,-0.048000,0.353256
