path,fc,te,tc,mode,model,Has0_acc_2_mean,Has0_acc_2_std,Has0_F1_score_mean,Has0_F1_score_std,Non0_acc_2_mean,Non0_acc_2_std,Non0_F1_score_mean,Non0_F1_score_std,Mult_acc_5_mean,Mult_acc_5_std,Mult_acc_7_mean,Mult_acc_7_std,MAE_mean,MAE_std,Corr_mean,Corr_std,Loss_mean,Loss_std
/code/MFMB-Net/MFMB-Net/results/bench_te_sweep_quick/A1_te0_fcdynamic/normals/mosi-regression-0.0-0.0-0.0-fcdynamic-tc0.0-te0.0-mix.csv,dynamic,0.0,0.0,mix,mfmb_net_A1_te0_fcdynamic,80.6,1.52,80.62,1.54,81.6,2.09,81.54,2.13,43.01,1.43,37.9,1.52,84.51,4.76,76.19,1.9,84.51,4.76
/code/MFMB-Net/MFMB-Net/results/bench_te_sweep_quick/A1_te0_fctext/normals/mosi-regression-0.0-0.0-0.0-fctext-tc0.0-te0.0-mix.csv,text,0.0,0.0,mix,mfmb_net_A1_te0_fctext,81.65,1.02,81.62,1.03,82.84,1.03,82.76,1.05,46.73,1.91,41.17,1.65,77.37,4.05,78.59,1.08,77.37,4.05
/code/MFMB-Net/MFMB-Net/results/bench_te_sweep_quick/A1_te0_1_fcdynamic/normals/mosi-regression-0.0-0.0-0.0-fcdynamic-tc0.0-te0.1-mix.csv,dynamic,0.1,0.0,mix,mfmb_net_A1_te0_1_fcdynamic,73.36,1.64,73.52,1.48,74.08,2.23,74.14,2.1,33.43,2.81,30.36,1.95,105.48,6.44,63.12,1.59,105.48,6.44
/code/MFMB-Net/MFMB-Net/results/bench_te_sweep_quick/A1_te0_1_fctext/normals/mosi-regression-0.0-0.0-0.0-fctext-tc0.0-te0.1-mix.csv,text,0.1,0.0,mix,mfmb_net_A1_te0_1_fctext,73.66,1.08,73.68,1.03,74.53,1.21,74.47,1.15,37.5,1.38,32.54,1.47,107.15,6.43,63.18,2.13,107.15,6.43
/code/MFMB-Net/MFMB-Net/results/bench_te_sweep_quick/A1_te0_2_fcdynamic/normals/mosi-regression-0.0-0.0-0.0-fcdynamic-tc0.0-te0.2-mix.csv,dynamic,0.2,0.0,mix,mfmb_net_A1_te0_2_fcdynamic,70.34,0.3,70.31,0.24,70.86,0.51,70.74,0.45,28.37,0.88,25.74,1.9,116.16,4.3,54.66,1.45,116.16,4.3
/code/MFMB-Net/MFMB-Net/results/bench_te_sweep_quick/A1_te0_2_fctext/normals/mosi-regression-0.0-0.0-0.0-fctext-tc0.0-te0.2-mix.csv,text,0.2,0.0,mix,mfmb_net_A1_te0_2_fctext,68.21,4.06,68.81,3.71,69.26,5.17,69.73,4.83,28.08,6.48,26.89,5.57,114.38,13.81,52.78,5.85,114.38,13.81
/code/MFMB-Net/MFMB-Net/results/bench_te_sweep_quick/A1_te0_3_fcdynamic/normals/mosi-regression-0.0-0.0-0.0-fcdynamic-tc0.0-te0.3-mix.csv,dynamic,0.3,0.0,mix,mfmb_net_A1_te0_3_fcdynamic,65.37,1.41,65.52,1.29,65.59,1.47,65.62,1.33,23.81,1.28,22.47,0.73,126.93,3.13,42.03,1.31,126.93,3.13
/code/MFMB-Net/MFMB-Net/results/bench_te_sweep_quick/A1_te0_3_fctext/normals/mosi-regression-0.0-0.0-0.0-fctext-tc0.0-te0.3-mix.csv,text,0.3,0.0,mix,mfmb_net_A1_te0_3_fctext,63.84,1.72,64.46,1.1,63.76,2.43,64.24,1.8,23.61,1.31,22.22,1.27,130.17,7.12,41.55,1.95,130.17,7.12
/code/MFMB-Net/MFMB-Net/results/bench_te_sweep_quick/A1_te0_4_fcdynamic/normals/mosi-regression-0.0-0.0-0.0-fcdynamic-tc0.0-te0.4-mix.csv,dynamic,0.4,0.0,mix,mfmb_net_A1_te0_4_fcdynamic,61.56,4.68,63.32,3.69,62.36,5.93,63.95,4.93,23.02,1.89,21.68,2.13,133.42,14.15,35.49,4.35,133.42,14.15
/code/MFMB-Net/MFMB-Net/results/bench_te_sweep_quick/A1_te0_4_fctext/normals/mosi-regression-0.0-0.0-0.0-fctext-tc0.0-te0.4-mix.csv,text,0.4,0.0,mix,mfmb_net_A1_te0_4_fctext,62.1,0.43,63.28,0.98,62.84,1.19,63.88,1.61,24.21,2.04,22.57,1.96,129.54,5.23,32.97,1.24,129.54,5.23
/code/MFMB-Net/MFMB-Net/results/bench_te_sweep_quick/A1_te0_5_fcdynamic/normals/mosi-regression-0.0-0.0-0.0-fcdynamic-tc0.0-te0.5-mix.csv,dynamic,0.5,0.0,mix,mfmb_net_A1_te0_5_fcdynamic,50.94,4.47,57.23,3.5,49.79,5.51,56.01,2.89,19.64,1.08,19.15,1.03,149.11,11.68,23.6,4.05,149.11,11.68
/code/MFMB-Net/MFMB-Net/results/bench_te_sweep_quick/A1_te0_5_fctext/normals/mosi-regression-0.0-0.0-0.0-fctext-tc0.0-te0.5-mix.csv,text,0.5,0.0,mix,mfmb_net_A1_te0_5_fctext,52.63,6.26,59.71,1.63,51.74,7.83,58.73,2.86,19.49,2.86,18.45,2.57,147.05,15.27,23.26,3.75,147.05,15.27
