memory.used [MiB], memory.total [MiB], utilization.gpu [%]
398 MiB, 22528 MiB, 0 %
7 MiB, 22528 MiB, 0 %
398 MiB, 22528 MiB, 0 %
7 MiB, 22528 MiB, 0 %
398 MiB, 22528 MiB, 0 %
7 MiB, 22528 MiB, 0 %
398 MiB, 22528 MiB, 0 %
7 MiB, 22528 MiB, 0 %
398 MiB, 22528 MiB, 0 %
7 MiB, 22528 MiB, 0 %
398 MiB, 22528 MiB, 0 %
7 MiB, 22528 MiB, 0 %
398 MiB, 22528 MiB, 0 %
7 MiB, 22528 MiB, 0 %
398 MiB, 22528 MiB, 0 %
7 MiB, 22528 MiB, 0 %
400 MiB, 22528 MiB, 0 %
9 MiB, 22528 MiB, 0 %
400 MiB, 22528 MiB, 0 %
10137 MiB, 22528 MiB, 77 %
400 MiB, 22528 MiB, 0 %
10137 MiB, 22528 MiB, 77 %
400 MiB, 22528 MiB, 0 %
10137 MiB, 22528 MiB, 78 %
400 MiB, 22528 MiB, 0 %
10137 MiB, 22528 MiB, 79 %
400 MiB, 22528 MiB, 0 %
10137 MiB, 22528 MiB, 80 %
400 MiB, 22528 MiB, 0 %
10137 MiB, 22528 MiB, 82 %
400 MiB, 22528 MiB, 0 %
10137 MiB, 22528 MiB, 61 %
400 MiB, 22528 MiB, 0 %
10137 MiB, 22528 MiB, 80 %
400 MiB, 22528 MiB, 0 %
10137 MiB, 22528 MiB, 80 %
400 MiB, 22528 MiB, 0 %
10137 MiB, 22528 MiB, 78 %
400 MiB, 22528 MiB, 0 %
10137 MiB, 22528 MiB, 80 %
400 MiB, 22528 MiB, 0 %
10137 MiB, 22528 MiB, 79 %
400 MiB, 22528 MiB, 0 %
10137 MiB, 22528 MiB, 79 %
400 MiB, 22528 MiB, 0 %
10137 MiB, 22528 MiB, 82 %
400 MiB, 22528 MiB, 0 %
10137 MiB, 22528 MiB, 76 %
400 MiB, 22528 MiB, 0 %
10137 MiB, 22528 MiB, 79 %
400 MiB, 22528 MiB, 0 %
10137 MiB, 22528 MiB, 75 %
400 MiB, 22528 MiB, 0 %
10137 MiB, 22528 MiB, 78 %
400 MiB, 22528 MiB, 0 %
10137 MiB, 22528 MiB, 80 %
400 MiB, 22528 MiB, 0 %
10137 MiB, 22528 MiB, 80 %
400 MiB, 22528 MiB, 0 %
10137 MiB, 22528 MiB, 78 %
400 MiB, 22528 MiB, 0 %
10137 MiB, 22528 MiB, 79 %
400 MiB, 22528 MiB, 0 %
10137 MiB, 22528 MiB, 81 %
400 MiB, 22528 MiB, 0 %
10137 MiB, 22528 MiB, 78 %
400 MiB, 22528 MiB, 0 %
10137 MiB, 22528 MiB, 79 %
400 MiB, 22528 MiB, 0 %
10137 MiB, 22528 MiB, 82 %
400 MiB, 22528 MiB, 0 %
10137 MiB, 22528 MiB, 79 %
400 MiB, 22528 MiB, 0 %
10137 MiB, 22528 MiB, 78 %
400 MiB, 22528 MiB, 0 %
10137 MiB, 22528 MiB, 80 %
399 MiB, 22528 MiB, 0 %
10137 MiB, 22528 MiB, 74 %
399 MiB, 22528 MiB, 0 %
10137 MiB, 22528 MiB, 80 %
399 MiB, 22528 MiB, 0 %
10137 MiB, 22528 MiB, 79 %
399 MiB, 22528 MiB, 0 %
10137 MiB, 22528 MiB, 82 %
399 MiB, 22528 MiB, 0 %
10137 MiB, 22528 MiB, 76 %
400 MiB, 22528 MiB, 0 %
10137 MiB, 22528 MiB, 79 %
400 MiB, 22528 MiB, 0 %
10137 MiB, 22528 MiB, 83 %
400 MiB, 22528 MiB, 0 %
10137 MiB, 22528 MiB, 78 %
400 MiB, 22528 MiB, 0 %
10137 MiB, 22528 MiB, 81 %
400 MiB, 22528 MiB, 0 %
10137 MiB, 22528 MiB, 80 %
400 MiB, 22528 MiB, 0 %
10137 MiB, 22528 MiB, 74 %
400 MiB, 22528 MiB, 0 %
10137 MiB, 22528 MiB, 81 %
401 MiB, 22528 MiB, 0 %
10137 MiB, 22528 MiB, 80 %
401 MiB, 22528 MiB, 0 %
10137 MiB, 22528 MiB, 79 %
401 MiB, 22528 MiB, 0 %
10137 MiB, 22528 MiB, 78 %
401 MiB, 22528 MiB, 0 %
10137 MiB, 22528 MiB, 82 %
401 MiB, 22528 MiB, 0 %
10137 MiB, 22528 MiB, 80 %
