Model,Has0_acc_2,Has0_F1_score,Non0_acc_2,Non0_F1_score,Mult_acc_5,Mult_acc_7,MAE,Corr,Loss
mfmb_net,"(70.29, 0.67)","(70.3, 0.66)","(70.54, 0.46)","(70.45, 0.41)","(31.5, 0.78)","(28.17, 0.78)","(110.66, 2.3)","(54.81, 1.33)","(110.66, 2.3)"
mfmb_net,"(70.33, 0.49)","(70.31, 0.53)","(70.84, 0.25)","(70.7, 0.25)","(28.92, 4.57)","(26.44, 3.44)","(113.69, 5.1)","(53.35, 0.95)","(113.69, 5.1)"
mfmb_net,"(70.49, 1.81)","(70.88, 1.49)","(70.3, 2.33)","(70.56, 2.05)","(24.4, 3.54)","(23.07, 2.92)","(122.61, 9.4)","(52.37, 3.92)","(122.61, 9.4)"
mfmb_net,"(72.47, 0.32)","(72.4, 0.31)","(73.23, 0.11)","(73.09, 0.1)","(33.43, 1.43)","(30.01, 1.22)","(106.9, 3.09)","(55.7, 0.96)","(106.9, 3.09)"
mfmb_net,"(70.04, 0.39)","(70.79, 0.27)","(70.5, 0.75)","(71.15, 0.79)","(32.24, 1.89)","(27.88, 1.65)","(117.96, 8.76)","(53.96, 2.03)","(117.96, 8.76)"
mfmb_net,"(71.13, 0.0)","(71.06, 0.0)","(71.18, 0.0)","(71.0, 0.0)","(31.1, 0.0)","(28.87, 0.0)","(109.89, 0.0)","(56.68, 0.0)","(109.89, 0.0)"
mfmb_net,"(71.43, 0.0)","(71.37, 0.0)","(71.49, 0.0)","(71.33, 0.0)","(30.9, 0.0)","(28.57, 0.0)","(109.62, 0.0)","(57.02, 0.0)","(109.44, 0.0)"
mfmb_net,"(70.31, 0.95)","(70.34, 0.95)","(70.53, 0.75)","(70.45, 0.72)","(31.44, 0.76)","(28.08, 0.69)","(110.59, 2.05)","(54.97, 1.48)","(110.54, 1.89)"
mfmb_net,"(70.65, 0.38)","(70.63, 0.41)","(71.14, 0.26)","(71.02, 0.24)","(28.77, 4.47)","(26.29, 3.34)","(113.47, 4.82)","(53.34, 0.96)","(113.31, 4.62)"
mfmb_net,"(70.41, 1.67)","(70.81, 1.33)","(70.22, 2.2)","(70.49, 1.9)","(24.64, 3.43)","(23.27, 2.82)","(122.19, 9.14)","(52.41, 3.74)","(121.91, 8.96)"
mfmb_net,"(72.16, 0.24)","(72.1, 0.24)","(72.66, 0.31)","(72.51, 0.31)","(32.07, 0.21)","(28.91, 0.49)","(109.21, 3.14)","(55.24, 1.02)","(109.6, 2.94)"
mfmb_net,"(70.12, 0.48)","(70.87, 0.41)","(71.44, 0.59)","(72.11, 0.55)","(31.1, 2.5)","(26.97, 1.14)","(115.96, 9.35)","(52.64, 1.1)","(115.92, 9.06)"
mfmb_net,"(69.1, 0.0)","(69.87, 0.0)","(68.6, 0.0)","(69.22, 0.0)","(25.22, 0.0)","(23.32, 0.0)","(125.57, 0.0)","(54.14, 0.0)","(125.22, 0.0)"
mfmb_net,"(70.75, 1.75)","(70.96, 1.53)","(71.04, 2.13)","(71.14, 1.85)","(28.62, 2.68)","(26.72, 2.48)","(116.03, 6.76)","(54.01, 0.27)","(115.76, 6.7)"
mfmb_net,"(71.48, 0.48)","(71.69, 0.35)","(72.31, 0.15)","(72.43, 0.17)","(28.52, 1.87)","(26.78, 1.33)","(111.06, 2.44)","(54.45, 1.47)","(110.89, 2.53)"
mfmb_net,"(67.3, 3.68)","(67.87, 3.02)","(67.17, 4.17)","(67.61, 3.54)","(27.02, 4.41)","(24.83, 3.22)","(120.5, 7.18)","(51.56, 4.14)","(120.72, 6.77)"
mfmb_net,"(71.18, 0.66)","(71.26, 0.61)","(72.05, 1.04)","(72.03, 1.01)","(28.47, 3.34)","(26.82, 2.86)","(112.77, 7.85)","(54.72, 1.39)","(112.72, 7.78)"
mfmb_net,"(71.62, 1.03)","(71.64, 1.07)","(72.56, 1.2)","(72.48, 1.26)","(31.0, 2.61)","(29.2, 2.3)","(108.96, 4.38)","(51.94, 4.14)","(109.19, 4.41)"
mfmb_net,"(70.8, 1.2)","(71.13, 0.69)","(71.59, 0.75)","(71.82, 0.48)","(29.49, 3.37)","(27.26, 2.34)","(109.52, 2.76)","(53.52, 2.59)","(109.38, 2.9)"
mfmb_net,"(69.0, 2.2)","(69.61, 1.56)","(68.8, 2.35)","(69.28, 1.69)","(26.58, 1.63)","(24.54, 1.03)","(119.1, 3.9)","(52.22, 3.67)","(119.01, 4.2)"
mfmb_net,"(70.75, 1.75)","(70.96, 1.53)","(71.04, 2.13)","(71.14, 1.85)","(28.62, 2.68)","(26.72, 2.48)","(116.03, 6.76)","(54.01, 0.27)","(115.76, 6.7)"
mfmb_net,"(69.87, 2.02)","(70.72, 1.08)","(71.29, 1.37)","(71.94, 0.98)","(25.56, 1.63)","(24.88, 1.34)","(114.62, 2.47)","(54.54, 0.46)","(114.5, 2.56)"
mfmb_net,"(70.21, 1.49)","(70.99, 1.34)","(70.89, 2.15)","(71.5, 2.29)","(31.49, 3.33)","(28.28, 2.69)","(115.71, 10.37)","(54.32, 0.72)","(115.53, 10.26)"
