path,dataset,train_mode,missing_t,missing_a,missing_v,run_tag,Has0_acc_2,Has0_acc_2_std,Has0_F1_score,Has0_F1_score_std,Non0_acc_2,Non0_acc_2_std,Non0_F1_score,Non0_F1_score_std,Mult_acc_5,Mult_acc_5_std,Mult_acc_7,Mult_acc_7_std,MAE,MAE_std,Corr,Corr_std,Loss,Loss_std
/lyx/MFMB-Net/MFMB-Net/results/results/normals/mosi-regression-t0_a0_v0-keep_audio_grid.csv,mosi,regression,0.0,0.0,0.0,keep_audio_grid,82.99,0.43,82.92,0.56,84.34,0.19,84.34,0.07,43.55,7.15,39.68,5.46,0.8003,0.0637,0.7843000000000001,0.0184,0.8003,0.0637
/lyx/MFMB-Net/MFMB-Net/results/results/normals/mosi-regression-t0_a0_v0.25-keep_audio_grid.csv,mosi,regression,0.0,0.0,0.25,keep_audio_grid,82.24,0.62,82.19,0.66,83.92,0.54,83.94,0.49,48.21,2.23,40.83,2.17,0.7879999999999999,0.0339,0.7863,0.0039000000000000003,0.7879999999999999,0.0339
/lyx/MFMB-Net/MFMB-Net/results/results/normals/mosi-regression-t0_a0_v0.5-keep_audio_grid.csv,mosi,regression,0.0,0.0,0.5,keep_audio_grid,81.15,0.71,81.1,0.57,82.41,1.46,82.43,1.33,44.39,7.59,38.19,5.71,0.8498,0.0668,0.7726000000000001,0.0055000000000000005,0.8498,0.0668
/lyx/MFMB-Net/MFMB-Net/results/results/normals/mosi-regression-t0_a0_v0.75-keep_audio_grid.csv,mosi,regression,0.0,0.0,0.75,keep_audio_grid,81.2,1.33,81.19,1.32,82.72,1.89,82.77,1.86,44.0,8.09,36.75,8.0,0.8768,0.18289999999999998,0.7796,0.0264,0.8768,0.18289999999999998
/lyx/MFMB-Net/MFMB-Net/results/results/normals/mosi-regression-t0_a0_v1-keep_audio_grid.csv,mosi,regression,0.0,0.0,1.0,keep_audio_grid,80.56,0.89,80.47,0.86,82.19,1.63,82.19,1.55,43.7,3.57,37.65,3.37,0.8778,0.0709,0.7725,0.009899999999999999,0.8778,0.0709
/lyx/MFMB-Net/MFMB-Net/results/results/normals/mosi-regression-t0.25_a0_v0-keep_audio_grid.csv,mosi,regression,0.25,0.0,0.0,keep_audio_grid,73.81,2.27,73.33,2.56,74.63,3.27,74.27,3.54,34.77,5.79,31.6,4.51,1.023,0.1005,0.6386,0.0129,1.023,0.1005
/lyx/MFMB-Net/MFMB-Net/results/results/normals/mosi-regression-t0.25_a0_v0.25-keep_audio_grid.csv,mosi,regression,0.25,0.0,0.25,keep_audio_grid,75.55,0.49,75.46,0.33,76.64,0.89,76.63,0.72,33.93,2.11,31.25,2.42,0.9978,0.043,0.6335000000000001,0.0326,0.9978,0.043
/lyx/MFMB-Net/MFMB-Net/results/results/normals/mosi-regression-t0.25_a0_v0.5-keep_audio_grid.csv,mosi,regression,0.25,0.0,0.5,keep_audio_grid,74.95,0.14,74.77,0.08,76.56,0.28,76.47,0.23,35.22,4.53,31.89,2.94,1.0036,0.0527,0.6255,0.022099999999999998,1.0036,0.0527
/lyx/MFMB-Net/MFMB-Net/results/results/normals/mosi-regression-t0.25_a0_v0.75-keep_audio_grid.csv,mosi,regression,0.25,0.0,0.75,keep_audio_grid,73.96,1.49,73.86,1.38,74.99,2.16,74.99,2.06,36.11,4.66,30.41,3.57,1.0418,0.0692,0.6448999999999999,0.0296,1.0418,0.0692
/lyx/MFMB-Net/MFMB-Net/results/results/normals/mosi-regression-t0.25_a0_v1-keep_audio_grid.csv,mosi,regression,0.25,0.0,1.0,keep_audio_grid,71.08,5.76,70.28,6.8,71.43,6.96,70.76,7.93,29.81,6.93,27.48,5.62,1.1161,0.1311,0.6059,0.031400000000000004,1.1161,0.1311
/lyx/MFMB-Net/MFMB-Net/results/results/normals/mosi-regression-t0.5_a0_v0-keep_audio_grid.csv,mosi,regression,0.5,0.0,0.0,keep_audio_grid,67.66,2.07,67.28,2.38,67.7,2.43,67.45,2.72,27.73,3.21,25.05,1.59,1.2401,0.038599999999999995,0.4918,0.0091,1.2401,0.038599999999999995
/lyx/MFMB-Net/MFMB-Net/results/results/normals/mosi-regression-t0.5_a0_v0.25-keep_audio_grid.csv,mosi,regression,0.5,0.0,0.25,keep_audio_grid,68.85,1.41,68.66,1.5,69.72,1.84,69.64,1.9,24.5,4.18,23.56,3.62,1.1924,0.0441,0.47659999999999997,0.011200000000000002,1.1924,0.0441
/lyx/MFMB-Net/MFMB-Net/results/results/normals/mosi-regression-t0.5_a0_v0.5-keep_audio_grid.csv,mosi,regression,0.5,0.0,0.5,keep_audio_grid,67.61,0.57,67.19,0.44,68.29,0.68,67.99,0.7,29.17,0.99,25.7,0.69,1.1886,0.028900000000000002,0.45890000000000003,0.021099999999999997,1.1886,0.028900000000000002
/lyx/MFMB-Net/MFMB-Net/results/results/normals/mosi-regression-t0.5_a0_v0.75-keep_audio_grid.csv,mosi,regression,0.5,0.0,0.75,keep_audio_grid,67.11,0.73,67.11,0.78,67.31,0.84,67.42,0.87,26.04,1.93,24.7,1.52,1.2121,0.0062,0.45659999999999995,0.0074,1.2121,0.0062
/lyx/MFMB-Net/MFMB-Net/results/results/normals/mosi-regression-t0.5_a0_v1-keep_audio_grid.csv,mosi,regression,0.5,0.0,1.0,keep_audio_grid,66.62,2.38,65.89,3.26,67.19,1.8,66.58,2.67,24.7,2.74,23.61,2.26,1.2528,0.0161,0.39909999999999995,0.07440000000000001,1.2528,0.0161
/lyx/MFMB-Net/MFMB-Net/results/results/normals/mosi-regression-t0.75_a0_v0-keep_audio_grid.csv,mosi,regression,0.75,0.0,0.0,keep_audio_grid,53.57,7.06,47.46,14.31,52.59,8.03,46.54,15.4,18.65,4.62,17.91,3.57,1.4257,0.031400000000000004,0.2659,0.0814,1.4257,0.031400000000000004
/lyx/MFMB-Net/MFMB-Net/results/results/normals/mosi-regression-t0.75_a0_v0.25-keep_audio_grid.csv,mosi,regression,0.75,0.0,0.25,keep_audio_grid,57.69,4.78,55.75,6.11,57.11,5.39,55.31,6.77,21.03,4.32,20.59,4.16,1.3957,0.08560000000000001,0.2386,0.1042,1.3957,0.08560000000000001
/lyx/MFMB-Net/MFMB-Net/results/results/normals/mosi-regression-t0.75_a0_v0.5-keep_audio_grid.csv,mosi,regression,0.75,0.0,0.5,keep_audio_grid,54.41,6.15,50.71,8.18,53.11,6.78,49.58,8.83,18.5,4.08,18.15,3.58,1.374,0.0639,0.2245,0.09210000000000002,1.374,0.0639
/lyx/MFMB-Net/MFMB-Net/results/results/normals/mosi-regression-t0.75_a0_v0.75-keep_audio_grid.csv,mosi,regression,0.75,0.0,0.75,keep_audio_grid,60.27,1.95,58.92,2.46,60.49,2.8,59.32,2.79,19.05,1.28,18.8,1.24,1.3477000000000001,0.0104,0.3046,0.0424,1.3477000000000001,0.0104
/lyx/MFMB-Net/MFMB-Net/results/results/normals/mosi-regression-t0.75_a0_v1-keep_audio_grid.csv,mosi,regression,0.75,0.0,1.0,keep_audio_grid,53.87,8.65,46.73,13.57,52.72,9.94,45.61,14.88,20.09,3.6,19.4,2.86,1.433,0.09759999999999999,0.233,0.109,1.433,0.09759999999999999
/lyx/MFMB-Net/MFMB-Net/results/results/normals/mosi-regression-t1_a0_v0-keep_audio_grid.csv,mosi,regression,1.0,0.0,0.0,keep_audio_grid,54.37,2.39,52.09,3.96,53.29,2.77,51.19,4.37,16.02,0.73,15.87,0.69,1.4354,0.0074,0.1534,0.054900000000000004,1.4354,0.0074
/lyx/MFMB-Net/MFMB-Net/results/results/normals/mosi-regression-t1_a0_v0.25-keep_audio_grid.csv,mosi,regression,1.0,0.0,0.25,keep_audio_grid,53.77,3.08,50.45,6.52,53.04,4.18,49.86,7.59,18.06,0.39,17.71,0.61,1.4415,0.0507,0.17670000000000002,0.0269,1.4415,0.0507
/lyx/MFMB-Net/MFMB-Net/results/results/normals/mosi-regression-t1_a0_v0.5-keep_audio_grid.csv,mosi,regression,1.0,0.0,0.5,keep_audio_grid,45.29,0.35,29.93,1.57,42.76,0.39,27.4,1.65,15.18,0.36,15.18,0.36,1.4562,0.0087,0.10830000000000001,0.020099999999999996,1.4562,0.0087
/lyx/MFMB-Net/MFMB-Net/results/results/normals/mosi-regression-t1_a0_v0.75-keep_audio_grid.csv,mosi,regression,1.0,0.0,0.75,keep_audio_grid,47.77,2.8,35.3,7.71,45.53,3.22,33.09,8.22,15.63,0.64,15.63,0.64,1.4603,0.0298,0.157,0.027200000000000002,1.4603,0.0298
