path,dataset,train_mode,missing_t,missing_a,missing_v,run_tag,Has0_acc_2,Has0_acc_2_std,Has0_F1_score,Has0_F1_score_std,Non0_acc_2,Non0_acc_2_std,Non0_F1_score,Non0_F1_score_std,Mult_acc_5,Mult_acc_5_std,Mult_acc_7,Mult_acc_7_std,MAE,MAE_std,Corr,Corr_std,Loss,Loss_std
/lyx/MFMB-Net/MFMB-Net/results/results/normals/mosi-regression-t0_a0_v0-keep_text_grid.csv,mosi,regression,0.0,0.0,0.0,keep_text_grid,82.99,0.43,82.92,0.56,84.34,0.19,84.34,0.07,43.55,7.15,39.68,5.46,0.8003,0.0637,0.7843000000000001,0.0184,0.8003,0.0637
/lyx/MFMB-Net/MFMB-Net/results/results/normals/mosi-regression-t0_a0_v0.25-keep_text_grid.csv,mosi,regression,0.0,0.0,0.25,keep_text_grid,82.24,0.62,82.19,0.66,83.92,0.54,83.94,0.49,48.21,2.23,40.83,2.17,0.7879999999999999,0.0339,0.7863,0.0039000000000000003,0.7879999999999999,0.0339
/lyx/MFMB-Net/MFMB-Net/results/results/normals/mosi-regression-t0_a0_v0.5-keep_text_grid.csv,mosi,regression,0.0,0.0,0.5,keep_text_grid,81.15,0.71,81.1,0.57,82.41,1.46,82.43,1.33,44.39,7.59,38.19,5.71,0.8498,0.0668,0.7726000000000001,0.0055000000000000005,0.8498,0.0668
/lyx/MFMB-Net/MFMB-Net/results/results/normals/mosi-regression-t0_a0_v0.75-keep_text_grid.csv,mosi,regression,0.0,0.0,0.75,keep_text_grid,81.2,1.33,81.19,1.32,82.72,1.89,82.77,1.86,44.0,8.09,36.75,8.0,0.8768,0.18289999999999998,0.7796,0.0264,0.8768,0.18289999999999998
/lyx/MFMB-Net/MFMB-Net/results/results/normals/mosi-regression-t0_a0_v1-keep_text_grid.csv,mosi,regression,0.0,0.0,1.0,keep_text_grid,80.56,0.89,80.47,0.86,82.19,1.63,82.19,1.55,43.7,3.57,37.65,3.37,0.8778,0.0709,0.7725,0.009899999999999999,0.8778,0.0709
/lyx/MFMB-Net/MFMB-Net/results/results/normals/mosi-regression-t0_a0.25_v0-keep_text_grid.csv,mosi,regression,0.0,0.25,0.0,keep_text_grid,82.69,0.31,82.62,0.24,84.33,0.77,84.32,0.72,43.65,6.09,39.24,4.63,0.8165,0.0837,0.7823,0.0106,0.8165,0.0837
/lyx/MFMB-Net/MFMB-Net/results/results/normals/mosi-regression-t0_a0.25_v0.25-keep_text_grid.csv,mosi,regression,0.0,0.25,0.25,keep_text_grid,83.14,0.49,82.92,0.52,85.67,0.44,85.55,0.45,51.69,1.91,45.43,1.69,0.7164,0.0105,0.7920999999999999,0.0072,0.7164,0.0105
/lyx/MFMB-Net/MFMB-Net/results/results/normals/mosi-regression-t0_a0.25_v0.5-keep_text_grid.csv,mosi,regression,0.0,0.25,0.5,keep_text_grid,81.5,0.73,81.51,0.72,82.92,0.74,82.99,0.71,48.26,2.07,42.56,1.36,0.7714,0.0286,0.78,0.015,0.7714,0.0286
/lyx/MFMB-Net/MFMB-Net/results/results/normals/mosi-regression-t0_a0.25_v0.75-keep_text_grid.csv,mosi,regression,0.0,0.25,0.75,keep_text_grid,81.55,0.64,81.59,0.64,82.67,0.96,82.76,0.95,42.11,5.17,37.05,4.13,0.8370000000000001,0.0546,0.7789,0.0011,0.8370000000000001,0.0546
/lyx/MFMB-Net/MFMB-Net/results/results/normals/mosi-regression-t0_a0.25_v1-keep_text_grid.csv,mosi,regression,0.0,0.25,1.0,keep_text_grid,81.95,1.24,81.85,1.24,83.96,1.11,83.93,1.09,47.02,4.8,41.96,3.39,0.7667,0.0533,0.7811,0.026600000000000002,0.7667,0.0533
