path,dataset,train_mode,missing_t,missing_a,missing_v,run_tag,Has0_acc_2,Has0_acc_2_std,Has0_F1_score,Has0_F1_score_std,Non0_acc_2,Non0_acc_2_std,Non0_F1_score,Non0_F1_score_std,Mult_acc_5,Mult_acc_5_std,Mult_acc_7,Mult_acc_7_std,MAE,MAE_std,Corr,Corr_std,Loss,Loss_std
/lyx/MFMB-Net/MFMB-Net/results/results/ablation/mosi-regression-t0_a0_v0.csv,mosi,regression,0.0,0.0,0.0,,82.99,0.43,83.05,0.3,84.34,0.19,84.35,0.31,43.55,7.15,39.68,5.46,0.8003,0.0637,0.7843000000000001,0.0184,0.8003,0.0637
/lyx/MFMB-Net/MFMB-Net/results/results/ablation/mosi-regression-t0_a0_v0.1.csv,mosi,regression,0.0,0.0,0.1,,83.23,0.07,83.23,0.12,84.59,0.55,84.64,0.49,51.64,1.26,45.19,1.27,0.7399,0.0366,0.7933,0.0079,0.7399,0.0366
/lyx/MFMB-Net/MFMB-Net/results/results/ablation/mosi-regression-t0_a0_v0.2.csv,mosi,regression,0.0,0.0,0.2,,80.95,3.08,80.73,3.07,82.48,4.16,82.35,4.14,44.89,10.63,39.53,8.67,0.836,0.1702,0.7854000000000001,0.016,0.836,0.1702
/lyx/MFMB-Net/MFMB-Net/results/results/ablation/mosi-regression-t0_a0_v0.3.csv,mosi,regression,0.0,0.0,0.3,,82.09,0.49,82.02,0.43,83.97,0.96,83.96,0.85,42.11,5.12,38.09,3.58,0.8038,0.0449,0.7628,0.0125,0.8038,0.0449
/lyx/MFMB-Net/MFMB-Net/results/results/ablation/mosi-regression-t0_a0_v0.4.csv,mosi,regression,0.0,0.0,0.4,,81.45,1.09,81.43,1.06,83.18,1.3,83.23,1.27,47.42,5.49,40.82,3.93,0.7918000000000001,0.0642,0.7646,0.04019999999999999,0.7918000000000001,0.0642
/lyx/MFMB-Net/MFMB-Net/results/results/ablation/mosi-regression-t0_a0_v0.5.csv,mosi,regression,0.0,0.0,0.5,,81.15,0.71,81.1,0.57,82.41,1.46,82.43,1.33,44.39,7.59,38.19,5.71,0.8498,0.0668,0.7726000000000001,0.0055000000000000005,0.8498,0.0668
/lyx/MFMB-Net/MFMB-Net/results/results/ablation/mosi-regression-t0_a0_v0.6.csv,mosi,regression,0.0,0.0,0.6,,81.65,0.51,81.56,0.49,83.8,0.51,83.79,0.49,48.86,1.65,42.51,0.46,0.7553,0.0125,0.7877,0.0072,0.7553,0.0125
/lyx/MFMB-Net/MFMB-Net/results/results/ablation/mosi-regression-t0_a0_v0.7.csv,mosi,regression,0.0,0.0,0.7,,81.75,0.25,81.71,0.36,83.2,0.43,83.23,0.34,46.43,1.95,41.07,1.4,0.7833,0.0412,0.7806000000000001,0.0069,0.7833,0.0412
/lyx/MFMB-Net/MFMB-Net/results/results/ablation/mosi-regression-t0_a0_v0.8.csv,mosi,regression,0.0,0.0,0.8,,82.19,1.46,82.17,1.38,83.54,2.29,83.58,2.21,50.45,3.07,42.06,4.87,0.8024,0.1045,0.7777,0.0202,0.8024,0.1045
/lyx/MFMB-Net/MFMB-Net/results/results/ablation/mosi-regression-t0_a0_v0.9.csv,mosi,regression,0.0,0.0,0.9,,81.75,1.73,81.53,1.59,83.57,2.79,83.46,2.66,47.92,5.9,41.82,5.11,0.7807999999999999,0.1032,0.7723,0.0348,0.7807999999999999,0.1032
