path,dataset,train_mode,missing_t,missing_a,missing_v,run_tag,Has0_acc_2,Has0_acc_2_std,Has0_F1_score,Has0_F1_score_std,Non0_acc_2,Non0_acc_2_std,Non0_F1_score,Non0_F1_score_std,Mult_acc_5,Mult_acc_5_std,Mult_acc_7,Mult_acc_7_std,MAE,MAE_std,Corr,Corr_std,Loss,Loss_std
/lyx/MFMB-Net/MFMB-Net/results/results/normals/mosi-regression-t0_a0_v0-text_missing_full.csv,mosi,regression,0.0,0.0,0.0,text_missing_full,82.99,0.43,82.92,0.56,84.34,0.19,84.34,0.07,43.55,7.15,39.68,5.46,0.8003,0.0637,0.7843000000000001,0.0184,0.8003,0.0637
/lyx/MFMB-Net/MFMB-Net/results/results/normals/mosi-regression-t1_a0_v0-text_missing_full.csv,mosi,regression,1.0,0.0,0.0,text_missing_full,54.37,2.39,52.09,3.96,53.29,2.77,51.19,4.37,16.02,0.73,15.87,0.69,1.4354,0.0074,0.1534,0.054900000000000004,1.4354,0.0074
/lyx/MFMB-Net/MFMB-Net/results/results/normals/mosi-regression-t1_a0_v0.25-text_missing_full.csv,mosi,regression,1.0,0.0,0.25,text_missing_full,53.77,3.08,50.45,6.52,53.04,4.18,49.86,7.59,18.06,0.39,17.71,0.61,1.4415,0.0507,0.17670000000000002,0.0269,1.4415,0.0507
/lyx/MFMB-Net/MFMB-Net/results/results/normals/mosi-regression-t1_a0_v0.5-text_missing_full.csv,mosi,regression,1.0,0.0,0.5,text_missing_full,45.29,0.35,29.93,1.57,42.76,0.39,27.4,1.65,15.18,0.36,15.18,0.36,1.4562,0.0087,0.10830000000000001,0.020099999999999996,1.4562,0.0087
/lyx/MFMB-Net/MFMB-Net/results/results/normals/mosi-regression-t1_a0_v0.75-text_missing_full.csv,mosi,regression,1.0,0.0,0.75,text_missing_full,47.77,2.8,35.3,7.71,45.53,3.22,33.09,8.22,15.63,0.64,15.63,0.64,1.4603,0.0298,0.157,0.027200000000000002,1.4603,0.0298
/lyx/MFMB-Net/MFMB-Net/results/results/normals/mosi-regression-t1_a0_v1-text_missing_full.csv,mosi,regression,1.0,0.0,1.0,text_missing_full,50.74,6.71,40.09,13.35,49.43,8.33,38.8,15.03,15.87,0.43,15.87,0.43,1.4499000000000002,0.067,0.1547,0.0373,1.4499000000000002,0.067
/lyx/MFMB-Net/MFMB-Net/results/results/normals/mosi-regression-t1_a0.25_v0-text_missing_full.csv,mosi,regression,1.0,0.25,0.0,text_missing_full,49.16,3.86,39.25,9.63,47.17,4.47,37.33,10.35,16.22,1.17,16.22,1.17,1.4668999999999999,0.0436,0.1746,0.0048,1.4668999999999999,0.0436
/lyx/MFMB-Net/MFMB-Net/results/results/normals/mosi-regression-t1_a0.25_v0.25-text_missing_full.csv,mosi,regression,1.0,0.25,0.25,text_missing_full,50.6,3.82,43.17,8.02,48.65,4.17,41.38,8.44,15.87,0.46,15.82,0.39,1.4463,0.0074,0.14279999999999998,0.0236,1.4463,0.0074
/lyx/MFMB-Net/MFMB-Net/results/results/normals/mosi-regression-t1_a0.25_v0.5-text_missing_full.csv,mosi,regression,1.0,0.25,0.5,text_missing_full,51.69,3.56,46.53,8.82,50.47,4.5,45.45,9.83,16.47,1.62,16.42,1.55,1.4394999999999998,0.06269999999999999,0.1523,0.0095,1.4394999999999998,0.06269999999999999
/lyx/MFMB-Net/MFMB-Net/results/results/normals/mosi-regression-t1_a0.25_v0.75-text_missing_full.csv,mosi,regression,1.0,0.25,0.75,text_missing_full,47.77,0.49,36.41,1.92,45.54,0.58,34.25,2.04,15.08,0.25,15.08,0.25,1.4644,0.0253,0.066,0.019299999999999998,1.4644,0.0253
