path,dataset,train_mode,missing_t,missing_a,missing_v,run_tag,Has0_acc_2,Has0_acc_2_std,Has0_F1_score,Has0_F1_score_std,Non0_acc_2,Non0_acc_2_std,Non0_F1_score,Non0_F1_score_std,Mult_acc_5,Mult_acc_5_std,Mult_acc_7,Mult_acc_7_std,MAE,MAE_std,Corr,Corr_std,Loss,Loss_std
/lyx/MFMB-Net/MFMB-Net/results/results/normals/mosi-regression-t0_a0_v0-keep_vision_grid.csv,mosi,regression,0.0,0.0,0.0,keep_vision_grid,82.99,0.43,82.92,0.56,84.34,0.19,84.34,0.07,43.55,7.15,39.68,5.46,0.8003,0.0637,0.7843000000000001,0.0184,0.8003,0.0637
/lyx/MFMB-Net/MFMB-Net/results/results/normals/mosi-regression-t0_a0.25_v0-keep_vision_grid.csv,mosi,regression,0.0,0.25,0.0,keep_vision_grid,82.69,0.31,82.62,0.24,84.33,0.77,84.32,0.72,43.65,6.09,39.24,4.63,0.8165,0.0837,0.7823,0.0106,0.8165,0.0837
/lyx/MFMB-Net/MFMB-Net/results/results/normals/mosi-regression-t0_a0.5_v0-keep_vision_grid.csv,mosi,regression,0.0,0.5,0.0,keep_vision_grid,81.45,1.4,81.23,1.28,83.34,2.37,83.23,2.24,44.05,6.97,39.34,6.16,0.8029999999999999,0.0678,0.7669,0.0181,0.8029999999999999,0.0678
/lyx/MFMB-Net/MFMB-Net/results/results/normals/mosi-regression-t0_a0.75_v0-keep_vision_grid.csv,mosi,regression,0.0,0.75,0.0,keep_vision_grid,82.14,1.17,82.07,1.22,83.86,1.19,83.86,1.14,45.93,3.75,39.93,2.0,0.8123999999999999,0.0241,0.7676999999999999,0.013500000000000002,0.8123999999999999,0.0241
/lyx/MFMB-Net/MFMB-Net/results/results/normals/mosi-regression-t0_a1_v0-keep_vision_grid.csv,mosi,regression,0.0,1.0,0.0,keep_vision_grid,81.9,0.79,81.84,0.86,83.34,0.6,83.35,0.58,46.38,2.26,39.98,1.02,0.8034,0.0359,0.772,0.0027,0.8034,0.0359
/lyx/MFMB-Net/MFMB-Net/results/results/normals/mosi-regression-t0.25_a0_v0-keep_vision_grid.csv,mosi,regression,0.25,0.0,0.0,keep_vision_grid,73.81,2.27,73.33,2.56,74.63,3.27,74.27,3.54,34.77,5.79,31.6,4.51,1.023,0.1005,0.6386,0.0129,1.023,0.1005
/lyx/MFMB-Net/MFMB-Net/results/results/normals/mosi-regression-t0.25_a0.25_v0-keep_vision_grid.csv,mosi,regression,0.25,0.25,0.0,keep_vision_grid,75.65,1.41,75.64,1.49,76.66,1.42,76.72,1.5,39.73,0.44,35.62,0.55,0.9765999999999999,0.0049,0.6431999999999999,0.0101,0.9765999999999999,0.0049
/lyx/MFMB-Net/MFMB-Net/results/results/normals/mosi-regression-t0.25_a0.5_v0-keep_vision_grid.csv,mosi,regression,0.25,0.5,0.0,keep_vision_grid,73.91,1.27,73.81,1.15,74.78,1.61,74.77,1.47,35.12,5.19,30.06,3.5,1.0322,0.0493,0.6148,0.0279,1.0322,0.0493
/lyx/MFMB-Net/MFMB-Net/results/results/normals/mosi-regression-t0.25_a0.75_v0-keep_vision_grid.csv,mosi,regression,0.25,0.75,0.0,keep_vision_grid,71.53,4.6,70.85,5.42,72.19,5.59,71.63,6.37,32.34,6.98,29.96,5.31,1.0563,0.1185,0.6211,0.034,1.0563,0.1185
/lyx/MFMB-Net/MFMB-Net/results/results/normals/mosi-regression-t0.25_a1_v0-keep_vision_grid.csv,mosi,regression,0.25,1.0,0.0,keep_vision_grid,74.4,1.11,74.21,0.99,75.91,1.73,75.81,1.62,35.76,6.21,30.6,3.19,1.0511,0.0516,0.6295000000000001,0.0252,1.0511,0.0516
/lyx/MFMB-Net/MFMB-Net/results/results/normals/mosi-regression-t0.5_a0_v0-keep_vision_grid.csv,mosi,regression,0.5,0.0,0.0,keep_vision_grid,67.66,2.07,67.28,2.38,67.7,2.43,67.45,2.72,27.73,3.21,25.05,1.59,1.2401,0.038599999999999995,0.4918,0.0091,1.2401,0.038599999999999995
/lyx/MFMB-Net/MFMB-Net/results/results/normals/mosi-regression-t0.5_a0.25_v0-keep_vision_grid.csv,mosi,regression,0.5,0.25,0.0,keep_vision_grid,67.21,3.17,66.88,3.47,67.6,3.61,67.37,3.88,26.04,1.48,24.65,2.28,1.2331999999999999,0.0932,0.46259999999999996,0.0191,1.2331999999999999,0.0932
/lyx/MFMB-Net/MFMB-Net/results/results/normals/mosi-regression-t0.5_a0.5_v0-keep_vision_grid.csv,mosi,regression,0.5,0.5,0.0,keep_vision_grid,66.22,1.52,65.89,2.03,66.44,1.8,66.23,2.31,24.46,1.59,23.11,1.53,1.2423,0.0574,0.4446,0.0364,1.2423,0.0574
/lyx/MFMB-Net/MFMB-Net/results/results/normals/mosi-regression-t0.5_a0.75_v0-keep_vision_grid.csv,mosi,regression,0.5,0.75,0.0,keep_vision_grid,68.45,1.59,68.43,1.57,69.02,1.71,69.09,1.67,24.75,2.35,23.56,1.63,1.2156,0.0302,0.4604,0.0005,1.2156,0.0302
/lyx/MFMB-Net/MFMB-Net/results/results/normals/mosi-regression-t0.5_a1_v0-keep_vision_grid.csv,mosi,regression,0.5,1.0,0.0,keep_vision_grid,65.72,1.89,64.84,2.24,65.98,2.67,65.22,2.95,22.72,2.14,22.37,1.84,1.2455,0.0521,0.433,0.0096,1.2455,0.0521
/lyx/MFMB-Net/MFMB-Net/results/results/normals/mosi-regression-t0.75_a0_v0-keep_vision_grid.csv,mosi,regression,0.75,0.0,0.0,keep_vision_grid,53.57,7.06,47.46,14.31,52.59,8.03,46.54,15.4,18.65,4.62,17.91,3.57,1.4257,0.031400000000000004,0.2659,0.0814,1.4257,0.031400000000000004
/lyx/MFMB-Net/MFMB-Net/results/results/normals/mosi-regression-t0.75_a0.25_v0-keep_vision_grid.csv,mosi,regression,0.75,0.25,0.0,keep_vision_grid,60.42,3.65,59.36,4.65,60.15,4.14,59.23,5.14,23.17,3.4,22.47,2.98,1.3427,0.049400000000000006,0.3453,0.0206,1.3427,0.049400000000000006
/lyx/MFMB-Net/MFMB-Net/results/results/normals/mosi-regression-t0.75_a0.5_v0-keep_vision_grid.csv,mosi,regression,0.75,0.5,0.0,keep_vision_grid,58.93,2.28,55.86,3.69,59.24,3.35,56.4,4.0,19.3,2.48,18.7,1.65,1.349,0.010700000000000001,0.30519999999999997,0.0564,1.349,0.010700000000000001
/lyx/MFMB-Net/MFMB-Net/results/results/normals/mosi-regression-t0.75_a0.75_v0-keep_vision_grid.csv,mosi,regression,0.75,0.75,0.0,keep_vision_grid,58.53,7.0,54.82,11.57,57.9,8.33,54.33,12.85,23.56,3.31,22.81,3.35,1.3685,0.09300000000000001,0.272,0.09849999999999999,1.3685,0.09300000000000001
/lyx/MFMB-Net/MFMB-Net/results/results/normals/mosi-regression-t0.75_a1_v0-keep_vision_grid.csv,mosi,regression,0.75,1.0,0.0,keep_vision_grid,59.72,3.55,58.24,5.04,59.25,3.84,57.88,5.35,23.81,1.89,23.31,1.71,1.3618999999999999,0.055099999999999996,0.3119,0.0452,1.3618999999999999,0.055099999999999996
